Theme From Shaft	Isaac Hayes
Gypsys, Tramps & Thieves	Cher
Imagine	John Lennon/Plastic Ono Band
Baby I'm - A Want You	Bread
Have You Seen Her	The Chi-lites
Maggie May/Reason To Believe	Rod Stewart
Peace Train	Cat Stevens
Family Affair	Sly & The Family Stone
Got To Be There	Michael Jackson
Yo-Yo	The Osmonds
I've Found Someone Of My Own	The Free Movement
Inner City Blues (Make Me Wanna Holler)	Marvin Gaye
Desiderata	Les Crane
Everybody's Everything	Santana
Rock Steady	Aretha Franklin
Superstar/Bless The Beasts And Children	Carpenters
Easy Loving	Freddie Hart
Two Divided By Love	The Grass Roots
Never My Love	The 5th Dimension
Tired Of Being Alone	Al Green
A Natural Man	Lou Rawls
Do You Know What I Mean	Lee Michaels
Respect Yourself	The Staple Singers
Questions 67 And 68/I'm A Man	Chicago
All I Ever Need Is You	Sonny & Cher
Absolutely Right	Five Man Electrical Band
One Tin Soldier, The Legend of Billy Jack	Coven
The Night They Drove Old Dixie Down	Joan Baez
Cherish	David Cassidy
Where Did Our Love Go	Donnie Elbert
Theme From "Summer Of '42"	Peter Nero
Superstar (Remember How You Got Where You Are)	The Temptations
Scorpio	Dennis Coffey & The Detroit Guitar Band
One Fine Morning	Lighthouse
Only You Know And I Know	Delaney & Bonnie
Wild Night	Van Morrison
You've Got To Crawl (Before You Walk)	The 8th Day
Trapped By A Thing Called Love	Denise LaSalle
An Old Fashioned Love Song	Three Dog Night
I'd Love To Change The World	Ten Years After
She's All I Got	Freddie North
Love	The Lettermen
You Are Everything	The Stylistics
It's A Cryin' Shame	Gayle McCormick
Till	Tom Jones
Long Ago And Far Away	James Taylor
Stones/Crunchy Granola Suite	Neil Diamond
I'm A Greedy Man - Part I	James Brown
What Are You Doing Sunday	Dawn Featuring Tony Orlando
Charity Ball	Fanny
Your Move (I've Seen All Good People)	Yes
It's Impossible	The New Birth
Don't Wanna Live Inside Myself	Bee Gees
Brand New Key	Melanie
Grandma's Hands	Bill Withers
Bless You	Martha Reeves & The Vandellas
Mammy Blue	Pop-Tops
Do I Love You	Paul Anka
You Brought The Joy	Freda Payne
Jennifer	Bobby Sherman
Behind Blue Eyes	The Who
An American Trilogy	Mickey Newbury
I'm Still Waiting	Diana Ross
It's For You	Springwell
Friends With You	John Denver
Hallelujah	Sweathog
Rub It In	Layng Martine
Gimme Some Lovin'-Pt. 1	Traffic, Etc.
Sunshine	Jonathan Edwards
My Part/Make It Funky (Part 3)	James Brown
Let It Be	Joan Baez
You've Lost That Lovin' Feelin'	Roberta Flack & Donny Hathaway
Ain't Nobody Home	B.B. King
One Monkey Don't Stop No Show Part I	The Honey Cone
Life Is A Carnival	The Band
Can I Get A Witness	Lee Michaels
I Like What You Give	Nolan
Lisa, Listen To Me	Blood, Sweat & Tears
(I Know) I'm Losing You	Rod Stewart With Faces
Dolly Dagger	Jimi Hendrix
Long Ago Tomorrow	B.J. Thomas
Walk Right Up To The Sun	The Delfonics
For Ladies Only	Steppenwolf
Satisfaction	Smokey Robinson & The Miracles
I Say A Little Prayer/By The Time I Get To Phoenix	Glen Campbell/Anne Murray
White Lies, Blue Eyes	Bullet
Tell Mama	Savoy Brown
Kiss An Angel Good Mornin'	Charley Pride
Long Promised Road	The Beach Boys
My Boy	Richard Harris
Turn Your Radio On	Ray Stevens
I Bet He Don't Love You (Like I Love You)	The Intruders
Help Me Make It Through The Night	O.C. Smith
Fool Me	Joe South
Get Down	Curtis Mayfield
Show Me How	The Emotions
You Keep Me Holding On	Tyrone Davis
Lookin' Back	Bob Seger
The Witch Queen Of New Orleans	Redbone
Pretty As You Feel	Jefferson Airplane
