Oh Girl	The Chi-lites
I'll Take You There	The Staple Singers
The First Time Ever I Saw Your Face	Roberta Flack
Look What You Done For Me	Al Green
The Candy Man	Sammy Davis, Jr. with The Mike Curb Congregation
Morning Has Broken	Cat Stevens
Tumbling Dice	The Rolling Stones
I Gotcha	Joe Tex
Sylvia's Mother	Dr. Hook And The Medicine Show
Hot Rod Lincoln	Commander Cody & His Lost Planet Airmen
Nice To Be With You	Gallery
(Last Night) I Didn't Get To Sleep At All	The 5th Dimension
Little Bitty Pretty One	Jackson 5
Betcha By Golly, Wow	The Stylistics Featuring Russell Thompkins,Jr.
Day Dreaming	Aretha Franklin
Slippin' Into Darkness	War
It's Going To Take Some Time	Carpenters
Song Sung Blue	Neil Diamond
Diary	Bread
Walkin' In The Rain With The One I Love	Love Unlimited
I Saw The Light	Todd Rundgren
Me And Julio Down By The Schoolyard	Paul Simon
Back Off Boogaloo	Ringo Starr
Doctor My Eyes	Jackson Browne
Taxi	Harry Chapin
Rockin' Robin	Michael Jackson
Vincent (Starry, Starry Night)/Castles In The Air	Don McLean
Outa-Space	Billy Preston
Troglodyte (Cave Man)	The Jimmy Castor Bunch
Ask Me What You Want	Millie Jackson
Amazing Grace	The Pipes And Drums And The Military Band Of The Royal Scots Dragoon Guards
Isn't Life Strange	The Moody Blues
Old Man	Neil Young
Someday Never Comes	Creedence Clearwater Revival
Love Theme From "The Godfather" (Speak Softly Love)	Andy Williams
Lean On Me	Bill Withers
You Could Have Been A Lady	April Wine
I Need You	America
I've Been Lonely For So Long	Frederick Knight
Rocket Man	Elton John
Long Haired Lover From Liverpool	Little Jimmy Osmond with The Mike Curb Congregation
Smilin'	Sly & The Family Stone
Automatically Sunshine	The Supremes
There It Is (Part 1)	James Brown
Everything Good Is Bad	100 Proof Aged in Soul
Immigration Man	Graham Nash & David Crosby
Walk In The Night	Jr. Walker & The All Stars
To Get To You	Jerry Wallace
Daddy Don't You Walk So Fast	Wayne Newton
How Can I Be Sure	David Cassidy
Run Run Run	Jo Jo Gunne
I'm Movin' On	John Kay
You're The Man (Part 1)	Marvin Gaye
Living In A House Divided	Cher
You Are The One	Sugar Bears
Hearsay	The Soul Children
Lay-Away	The Isley Brothers
How Do You Do?	Mouth & MacNeal
I Wanna Be Where You Are	Michael Jackson
Hot 'N' Nasty	Humble Pie
Woman's Gotta Have It	(The Preacher) Bobby Womack
Layla	Derek & The Dominos
You Said A Bad Word	Joe Tex
Superwoman (Where Were You When I Needed You)	Stevie Wonder
Woman Is The Nigger Of The World	John Lennon/Plastic Ono Band With Elephant's Memory
An American Trilogy	Elvis Presley
Love Theme From "The Godfather"	Carlo Savina
We're Free	Beverly Bremers
Baby Blue	Badfinger
Life And Breath	Climax featuring Sonny Geraci
Powder Blue Mercedes Queen	The Raiders
Day By Day	Godspell
Too Late To Turn Back Now	Cornelius Brothers & Sister Rose
Changes	David Bowie
Upsetter	Grand Funk Railroad
It Doesn't Matter	Stephen Stills
Legend In Your Own Time	Carly Simon
Kate	Johnny Cash And The Tennessee Three
Guns, Guns, Guns	The Guess Who
The Young New Mexican Puppeteer	Tom Jones
I Can't Turn You Loose	Edgar Winter's White Trash
The Happiest Girl In The Whole U.S.A.	Donna Fargo
After Midnight	J.J. Cale
Conquistador	Procol Harum
Just As Long As You Need Me, Part I	Independents
Ain't That Loving You (For More Reasons Than One)	Isaac Hayes & David Porter
Giving Up	Donny Hathaway
Francene	ZZ Top
I Only Have Eyes For You	Jerry Butler
Questions	Bang
Victim Of A Foolish Heart	Bettye Swann
Baby Let Me Take You (In My Arms)	Detroit Emeralds
Funk Factory	Wilson Pickett
In A Broken Dream	Python Lee Jackson
I Got Some Help I Don't Need	B.B. King
Beautiful	Gordon Lightfoot
Gone	Joey Heatherton
Bring It Home (And Give It To Me)	Hot Sauce
Pass The Peas	The JB's
I Thank You	Donny Hathaway And June Conquest
