Song Sung Blue	Neil Diamond
The Candy Man	Sammy Davis, Jr. with The Mike Curb Congregation
Outa-Space	Billy Preston
Lean On Me	Bill Withers
Too Late To Turn Back Now	Cornelius Brothers & Sister Rose
Troglodyte (Cave Man)	The Jimmy Castor Bunch
Nice To Be With You	Gallery
Rocket Man	Elton John
I Need You	America
Daddy Don't You Walk So Fast	Wayne Newton
Amazing Grace	The Pipes And Drums And The Military Band Of The Royal Scots Dragoon Guards
I'll Take You There	The Staple Singers
(Last Night) I Didn't Get To Sleep At All	The 5th Dimension
(If Loving You Is Wrong) I Don't Want To Be Right	Luther Ingram
Oh Girl	The Chi-lites
Layla	Derek & The Dominos
Sylvia's Mother	Dr. Hook And The Medicine Show
Too Young	Donny Osmond
How Do You Do?	Mouth & MacNeal
Take It Easy	Eagles
I Wanna Be Where You Are	Michael Jackson
Living In A House Divided	Cher
School's Out	Alice Cooper
Morning Has Broken	Cat Stevens
How Can I Be Sure	David Cassidy
Where Is The Love	Roberta Flack & Donny Hathaway
Brandy (You're A Fine Girl)	Looking Glass
I've Been Lonely For So Long	Frederick Knight
All The Kings Horses	Aretha Franklin
Conquistador	Procol Harum
Walkin' In The Rain With The One I Love	Love Unlimited
Day By Day	Godspell
Tumbling Dice	The Rolling Stones
Alone Again (Naturally)	Gilbert O'Sullivan
It's Going To Take Some Time	Carpenters
The First Time Ever I Saw Your Face	Roberta Flack
I Saw The Light	Todd Rundgren
Superwoman (Where Were You When I Needed You)	Stevie Wonder
People Make The World Go Round	The Stylistics
Immigration Man	Graham Nash & David Crosby
Diary	Bread
You Said A Bad Word	Joe Tex
Mary Had A Little Lamb/Little Woman Love	Wings
Coconut	Nilsson
After Midnight	J.J. Cale
The Happiest Girl In The Whole U.S.A.	Donna Fargo
We're On Our Way	Chris Hodge
We're Free	Beverly Bremers
Sealed With A Kiss	Bobby Vinton
Long Cool Woman (In A Black Dress)	The Hollies
Gone	Joey Heatherton
Automatically Sunshine	The Supremes
The Runway	The Grass Roots
Powder Blue Mercedes Queen	The Raiders
Life And Breath	Climax featuring Sonny Geraci
Hold Your Head Up	Argent
Baby Let Me Take You (In My Arms)	Detroit Emeralds
Honky Tonk - Part 1	The James Brown Soul Train
Funk Factory	Wilson Pickett
You Don't Mess Around With Jim	Jim Croce
Brown Eyed Girl	El Chicano
I'm Coming Home	Stories
Papa Was A Rollin' Stone	The Undisputed Truth
It Doesn't Matter	Stephen Stills
Woman's Gotta Have It	(The Preacher) Bobby Womack
In A Broken Dream	Python Lee Jackson
Motorcycle Mama	Sailcat
Beautiful	Gordon Lightfoot
Victim Of A Foolish Heart	Bettye Swann
Francene	ZZ Top
We've Come Too Far To End It Now	Smokey Robinson & The Miracles
Men Of Learning	Vigrass & Osborne
In The Ghetto	Candi Staton
Bed And Board	Barbara Mason
Sweet Inspiration/Where You Lead	Barbra Streisand
Hold Her Tight	The Osmonds
Baby Don't Get Hooked On Me	Mac Davis
Rip Off	Laura Lee
Small Beginnings	Flash
I Miss You (Part I)	Harold Melvin And The Blue Notes
War Song	Neil Young & Graham Nash
Butterfly	Danyel Gerard
Beautiful Sunday	Daniel Boone
Eddie's Love	Eddie Kendricks
Vanilla Ólay	Jackie DeShannon
I Don't Need No Doctor	New Riders Of The Purple Sage
Pop That Thang	The Isley Brothers
Go All The Way	Raspberries
My Guy	Petula Clark
Cat's Eye In The Window	Tommy James
Tell Me This Is A Dream	The Delfonics
Delta Dawn	Tanya Tucker
Mother Nature	The Temptations
If I Were A Carpenter	Bob Seger
Breaking Up Is Hard To Do	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Vaya Con Dios	Dawn Featuring Tony Orlando
It's The Same Old Love	The Courtship
I Am Woman	Helen Reddy
Hushabye	Robert John
Starman	David Bowie
