Lean On Me	Bill Withers
Too Late To Turn Back Now	Cornelius Brothers & Sister Rose
Outa-Space	Billy Preston
Song Sung Blue	Neil Diamond
Brandy (You're A Fine Girl)	Looking Glass
Rocket Man	Elton John
Daddy Don't You Walk So Fast	Wayne Newton
Alone Again (Naturally)	Gilbert O'Sullivan
(If Loving You Is Wrong) I Don't Want To Be Right	Luther Ingram
Where Is The Love	Roberta Flack & Donny Hathaway
How Do You Do?	Mouth & MacNeal
School's Out	Alice Cooper
Too Young	Donny Osmond
Take It Easy	Eagles
Layla	Derek & The Dominos
I Wanna Be Where You Are	Michael Jackson
The Candy Man	Sammy Davis, Jr. with The Mike Curb Congregation
Troglodyte (Cave Man)	The Jimmy Castor Bunch
Conquistador	Procol Harum
I Need You	America
Nice To Be With You	Gallery
Long Cool Woman (In A Black Dress)	The Hollies
Day By Day	Godspell
Hold Her Tight	The Osmonds
The Happiest Girl In The Whole U.S.A.	Donna Fargo
All The Kings Horses	Aretha Franklin
People Make The World Go Round	The Stylistics
Coconut	Nilsson
Mary Had A Little Lamb/Little Woman Love	Wings
I'm Still In Love With You	Al Green
I've Been Lonely For So Long	Frederick Knight
Sealed With A Kiss	Bobby Vinton
(Last Night) I Didn't Get To Sleep At All	The 5th Dimension
Hold Your Head Up	Argent
Superwoman (Where Were You When I Needed You)	Stevie Wonder
Oh Girl	The Chi-lites
Gone	Joey Heatherton
I'll Take You There	The Staple Singers
Motorcycle Mama	Sailcat
Amazing Grace	The Pipes And Drums And The Military Band Of The Royal Scots Dragoon Guards
You Don't Mess Around With Jim	Jim Croce
After Midnight	J.J. Cale
We're Free	Beverly Bremers
The Runway	The Grass Roots
Brown Eyed Girl	El Chicano
We're On Our Way	Chris Hodge
Baby Let Me Take You (In My Arms)	Detroit Emeralds
Honky Tonk - Part 1	The James Brown Soul Train
Sweet Inspiration/Where You Lead	Barbra Streisand
I'm Coming Home	Stories
How Can I Be Sure	David Cassidy
Small Beginnings	Flash
Life And Breath	Climax featuring Sonny Geraci
We've Come Too Far To End It Now	Smokey Robinson & The Miracles
Breaking Up Is Hard To Do	The Partridge Family Starring Shirley Jones Featuring David Cassidy
In A Broken Dream	Python Lee Jackson
In The Ghetto	Candi Staton
Beautiful Sunday	Daniel Boone
Funk Factory	Wilson Pickett
Beautiful	Gordon Lightfoot
Baby Don't Get Hooked On Me	Mac Davis
Pop That Thang	The Isley Brothers
Victim Of A Foolish Heart	Bettye Swann
War Song	Neil Young & Graham Nash
Men Of Learning	Vigrass & Osborne
Duncan	Paul Simon
I Miss You (Part I)	Harold Melvin And The Blue Notes
Goodbye To Love	Carpenters
Happy	The Rolling Stones
When You Say Love	Sonny & Cher
Power Of Love	Joe Simon
A Simple Man	Lobo
Rip Off	Laura Lee
Popcorn	Hot Butter
Go All The Way	Raspberries
Look What They've Done To My Song, Ma	Ray Charles
Eddie's Love	Eddie Kendricks
Bed And Board	Barbara Mason
Francene	ZZ Top
Vanilla Ólay	Jackie DeShannon
You're Still A Young Man	Tower Of Power
Starting All Over Again	Mel And Tim
Lookin' Through The Windows	Jackson 5
My Guy	Petula Clark
Butterfly	Danyel Gerard
If I Were A Carpenter	Bob Seger
Delta Dawn	Tanya Tucker
The Coldest Days Of My Life (Part 1)	The Chi-lites
Alabama Wild Man	Jerry Reed
Zing Went The Strings Of My Heart	The Trammps
Put It Where You Want It	The Crusaders
Mother Nature	The Temptations
Rock And Roll Crazies	Stephen Stills-Manassas
Everybody Plays The Fool	The Main Ingredient
Starman	David Bowie
That's The Way God Planned It	Billy Preston
Circles	The New Seekers
That's What Friends Are For	B.J. Thomas
Country Woman	The Magic Lantern
Down On Me	Janis Joplin
