Alone Again (Naturally)	Gilbert O'Sullivan
Long Cool Woman (In A Black Dress)	The Hollies
I'm Still In Love With You	Al Green
Baby Don't Get Hooked On Me	Mac Davis
Brandy (You're A Fine Girl)	Looking Glass
Back Stabbers	The O'Jays
Rock And Roll Part 2	Gary Glitter
You Don't Mess Around With Jim	Jim Croce
Black & White	Three Dog Night
Saturday In The Park	Chicago
The Guitar Man	Bread
Hold Your Head Up	Argent
Honky Cat	Elton John
Goodbye To Love	Carpenters
Go All The Way	Raspberries
Beautiful Sunday	Daniel Boone
Join Together	The Who
Power Of Love	Joe Simon
Motorcycle Mama	Sailcat
Run To Me	Bee Gees
Play Me	Neil Diamond
Everybody Plays The Fool	The Main Ingredient
Popcorn	Hot Butter
(If Loving You Is Wrong) I Don't Want To Be Right	Luther Ingram
Pop That Thang	The Isley Brothers
Ben	Michael Jackson
Lookin' Through The Windows	Jackson 5
Nights In White Satin	The Moody Blues
Speak To The Sky	Rick Springfield
You're Still A Young Man	Tower Of Power
My Ding-A-Ling	Chuck Berry
Coconut	Nilsson
Use Me	Bill Withers
The Happiest Girl In The Whole U.S.A.	Donna Fargo
Baby Let Me Take You (In My Arms)	Detroit Emeralds
The City Of New Orleans	Arlo Guthrie
Get On The Good Foot-Part 1	James Brown
This World	The Staple Singers
Sealed With A Kiss	Bobby Vinton
Burning Love	Elvis Presley
Easy Livin	Uriah Heep
Garden Party	Rick Nelson And The Stone Canyon Band
Why/Lonely Boy	Donny Osmond
Starting All Over Again	Mel And Tim
You Wear It Well	Rod Stewart
America	Yes
Sweet Inspiration/Where You Lead	Barbra Streisand
Small Beginnings	Flash
Tight Rope	Leon Russell
The Coldest Days Of My Life (Part 1)	The Chi-lites
Rock Me On The Water	Jackson Browne
My Man, A Sweet Man	Millie Jackson
Freddie's Dead (Theme From "Superfly")	Curtis Mayfield
I Believe In Music	Gallery
Put It Where You Want It	The Crusaders
If You Leave Me Tonight I'll Cry	Jerry Wallace
Don't Ever Be Lonely (A Poor Little Fool Like Me)	Cornelius Brothers & Sister Rose
Geronimo's Cadillac	Michael Murphey
Your Wonderful, Sweet Sweet Love	The Supremes
For Emily, Whenever I May Find Her	Simon & Garfunkel
Jackie Wilson Said (I'm In Heaven When You Smile)	Van Morrison
Listen To The Music	The Doobie Brothers
Sweet Caroline (Good Times Never Seemed So Good)	Bobby Womack & Peace
Zing Went The Strings Of My Heart	The Trammps
When You Say Love	Sonny & Cher
From The Beginning	Emerson, Lake & Palmer
That's The Way God Planned It	Billy Preston
Thunder And Lightning	Chi Coltrane
In The Quiet Morning	Joan Baez
Good Time Charlie's Got The Blues	Danny O'Keefe
If I Could Reach You	The 5th Dimension
Love Song	Tommy James
Rock Me Baby	David Cassidy
In Time	Engelbert Humperdinck
Loving You Just Crossed My Mind	Sam Neely
A Piece Of Paper	Gladstone
How Could I Let You Get Away	The Spinners
Witchy Woman	Eagles
I Will Never Pass This Way Again	Glen Campbell
Slaughter	Billy Preston
Think (About It)	Lyn Collins
Wholy Holy	Aretha Franklin With James Cleveland & The Southern California Community Choir
(It's The Way) Nature Planned It	Four Tops
I Can See Clearly Now	Johnny Nash
Life And Breath	Climax featuring Sonny Geraci
Toast To The Fool	The Dramatics
I've Got To Have You	Sammi Smith
Summer Breeze	Seals & Crofts
Money Back Guarantee	Five Man Electrical Band
Summer Sun	Jamestown Massacre
Lady Eleanor	Lindisfarne
Carry Me, Carrie	Dr. Hook And The Medicine Show
Colorado	Danny Holien
Don't Hide Your Love	Cher
Guess Who/Them Changes	B.B. King
Whatever Turns You On	Travis Wammack
Fool's Paradise	The Sylvers
A Sunday Kind Of Love	Lenny Welch
(They Long To Be) Close To You	Jerry Butler & Brenda Lee Eager
Evil Ways	Carlos Santana & Buddy Miles
