Black & White	Three Dog Night
Baby Don't Get Hooked On Me	Mac Davis
Alone Again (Naturally)	Gilbert O'Sullivan
Saturday In The Park	Chicago
Back Stabbers	The O'Jays
Long Cool Woman (In A Black Dress)	The Hollies
Rock And Roll Part 2	Gary Glitter
Brandy (You're A Fine Girl)	Looking Glass
Honky Cat	Elton John
I'm Still In Love With You	Al Green
The Guitar Man	Bread
Go All The Way	Raspberries
Ben	Michael Jackson
Power Of Love	Joe Simon
Beautiful Sunday	Daniel Boone
Everybody Plays The Fool	The Main Ingredient
Play Me	Neil Diamond
Popcorn	Hot Butter
Run To Me	Bee Gees
Nights In White Satin	The Moody Blues
You Don't Mess Around With Jim	Jim Croce
Burning Love	Elvis Presley
Speak To The Sky	Rick Springfield
Pop That Thang	The Isley Brothers
Use Me	Bill Withers
My Ding-A-Ling	Chuck Berry
Join Together	The Who
Hold Your Head Up	Argent
You're Still A Young Man	Tower Of Power
Goodbye To Love	Carpenters
The City Of New Orleans	Arlo Guthrie
(If Loving You Is Wrong) I Don't Want To Be Right	Luther Ingram
Garden Party	Rick Nelson And The Stone Canyon Band
Motorcycle Mama	Sailcat
Get On The Good Foot-Part 1	James Brown
Lookin' Through The Windows	Jackson 5
Starting All Over Again	Mel And Tim
Why/Lonely Boy	Donny Osmond
You Wear It Well	Rod Stewart
Easy Livin	Uriah Heep
Tight Rope	Leon Russell
If You Leave Me Tonight I'll Cry	Jerry Wallace
This World	The Staple Singers
Freddie's Dead (Theme From "Superfly")	Curtis Mayfield
Baby Let Me Take You (In My Arms)	Detroit Emeralds
America	Yes
My Man, A Sweet Man	Millie Jackson
I Believe In Music	Gallery
Don't Ever Be Lonely (A Poor Little Fool Like Me)	Cornelius Brothers & Sister Rose
Rock Me On The Water	Jackson Browne
Good Time Charlie's Got The Blues	Danny O'Keefe
Listen To The Music	The Doobie Brothers
Geronimo's Cadillac	Michael Murphey
Thunder And Lightning	Chi Coltrane
For Emily, Whenever I May Find Her	Simon & Garfunkel
If I Could Reach You	The 5th Dimension
Sweet Caroline (Good Times Never Seemed So Good)	Bobby Womack & Peace
From The Beginning	Emerson, Lake & Palmer
Your Wonderful, Sweet Sweet Love	The Supremes
Loving You Just Crossed My Mind	Sam Neely
Jackie Wilson Said (I'm In Heaven When You Smile)	Van Morrison
Witchy Woman	Eagles
Rock Me Baby	David Cassidy
(It's The Way) Nature Planned It	Four Tops
Zing Went The Strings Of My Heart	The Trammps
A Piece Of Paper	Gladstone
Love Song	Tommy James
Don't Hide Your Love	Cher
In Time	Engelbert Humperdinck
Midnight Rider	Joe Cocker and The Chris Stainton Band
In The Quiet Morning	Joan Baez
Slaughter	Billy Preston
I Can See Clearly Now	Johnny Nash
I'll Be Around	The Spinners
Think (About It)	Lyn Collins
I Will Never Pass This Way Again	Glen Campbell
Toast To The Fool	The Dramatics
Guess Who/Them Changes	B.B. King
I've Got To Have You	Sammi Smith
Money Back Guarantee	Five Man Electrical Band
Woman Don't Go Astray	King Floyd
Carry Me, Carrie	Dr. Hook And The Medicine Show
That's How Love Goes	Jermaine Jackson
Lady Eleanor	Lindisfarne
Summer Breeze	Seals & Crofts
Don't Do It	The Band
I Am Woman	Helen Reddy
Colorado	Danny Holien
Life And Breath	Climax featuring Sonny Geraci
Spaceman	Nilsson
(They Long To Be) Close To You	Jerry Butler & Brenda Lee Eager
Buzzy Brown	Tim Davis
Best Thing	Styx
Fool's Paradise	The Sylvers
Evil Ways	Carlos Santana & Buddy Miles
Whatever Turns You On	Travis Wammack
I'll Make You Music	Beverly Bremers
Keep On Running	Stevie Wonder
We Can Make It Together	Steve & Eydie Featuring The Osmonds
With Pen In Hand	Bobby Goldsboro
