Me And Mrs. Jones	Billy Paul
I Am Woman	Helen Reddy
If You Don't Know Me By Now	Harold Melvin And The Blue Notes
You Ought To Be With Me	Al Green
It Never Rains In Southern California	Albert Hammond
Papa Was A Rollin' Stone	The Temptations
Clair	Gilbert O'Sullivan
Ventura Highway	America
I Can See Clearly Now	Johnny Nash
I'm Stone In Love With You	The Stylistics
Rockin' Pneumonia - Boogie Woogie Flu	Johnny Rivers
Funny Face	Donna Fargo
Something's Wrong With Me	Austin Roberts
Crazy Horses	The Osmonds
Superfly	Curtis Mayfield
Sweet Surrender	Bread
Keeper Of The Castle	Four Tops
Corner Of The Sky	Jackson 5
Summer Breeze	Seals & Crofts
Living In The Past	Jethro Tull
Walk On Water	Neil Diamond
Operator (That's Not the Way it Feels)	Jim Croce
Sitting	Cat Stevens
Your Mama Don't Dance	Kenny Loggins & Jim Messina
Dialogue (Part I & II)	Chicago
Long Dark Road	The Hollies
Superstition	Stevie Wonder
Pieces Of April	Three Dog Night
I'd Love You To Want Me	Lobo
I'll Be Around	The Spinners
Been To Canaan	Carole King
I Wanna Be With You	Raspberries
If I Could Reach You	The 5th Dimension
Alive	Bee Gees
I Didn't Know I Loved You (Till I Saw You Rock And Roll)	Gary Glitter
Sunny Days	Lighthouse
You're So Vain	Carly Simon
Don't Let Me Be Lonely Tonight	James Taylor
What Am I Crying For?	Dennis Yost And The Classics IV
Angel	Rod Stewart
Theme From The Men	Isaac Hayes
And You And I (Part II)	Yes
Rock 'N Roll Soul	Grand Funk Railroad
I Got A Bag Of My Own	James Brown
Why Can't We Live Together	Timmy Thomas
Crocodile Rock	Elton John
Separate Ways	Elvis Presley
Oh, Babe, What Would You Say?	Hurricane Smith
Smoke Gets In Your Eyes	Blue Haze
No	Bulldog
You Turn Me On, I'm A Radio	Joni Mitchell
In Heaven There Is No Beer	Clean Living
Rocky Mountain High	John Denver
Dancing In The Moonlight	King Harvest
Lies	J.J. Cale
Trouble In My Home/I Found My Dad	Joe Simon
992 Arguments	The O'Jays
Let It Rain	Eric Clapton
Work To Do	The Isley Brothers
One Night Affair	Jerry Butler
Baby Sitter	Betty Wright
The World Is A Ghetto	War
You're A Lady	Peter Skellern
Do It Again	Steely Dan
Day And Night	The Wackers
Everybody Loves A Love Song	Mac Davis
Good Time Sally	Rare Earth
We Need Order	The Chi-lites
Special Someone	The Heywoods
Jambalaya (On The Bayou)	The Blue Ridge Rangers
Woman To Woman	Joe Cocker and The Chris Stainton Band
Reelin' & Rockin'	Chuck Berry
What Would The Children Think	Rick Springfield
The Jean Genie	David Bowie
The Relay	The Who
Let Us Love	Bill Withers
Love Jones	Brighter Side Of Darkness
I'll Be Your Shelter (In Time Of Storm)	Luther Ingram
You're A Lady	Dawn Featuring Tony Orlando
Harry Hippie	Bobby Womack & Peace
Trouble Man	Marvin Gaye
Looking Through The Eyes Of Love	The Partridge Family Starring Shirley Jones Featuring David Cassidy
I Just Want To Make Love To You	Foghat
Daddy's Home	Jermaine Jackson
The Cover Of "Rolling Stone"	Dr. Hook And The Medicine Show
Me And My Baby Got A Good Thing Going	Lyn Collins
Mama Weer All Crazee Now	Slade
One Way Out	The Allman Brothers Band
I Can't Stand To See You Cry	Smokey Robinson & The Miracles
I Received A Letter	Delbert & Glen
You Can Do Magic	Limmie & Family Cookin'
One Last Time	Glen Campbell
Silly Wasn't I	Valerie Simpson
Knock Knock Who's There	Mary Hopkin
I'm Sorry	Joey Heatherton
Didn't We	Barbra Streisand
Jesus Is Just Alright	The Doobie Brothers
Last Song	Edward Bear
Choo Choo Mama	Ten Years After
Hi, Hi, Hi	Wings
