You're So Vain	Carly Simon
Superstition	Stevie Wonder
Me And Mrs. Jones	Billy Paul
Crocodile Rock	Elton John
Your Mama Don't Dance	Kenny Loggins & Jim Messina
Rockin' Pneumonia - Boogie Woogie Flu	Johnny Rivers
Clair	Gilbert O'Sullivan
Superfly	Curtis Mayfield
Why Can't We Live Together	Timmy Thomas
Oh, Babe, What Would You Say?	Hurricane Smith
Funny Face	Donna Fargo
Hi, Hi, Hi	Wings
Trouble Man	Marvin Gaye
Don't Let Me Be Lonely Tonight	James Taylor
The World Is A Ghetto	War
Keeper Of The Castle	Four Tops
I Wanna Be With You	Raspberries
Do It Again	Steely Dan
Love Jones	Brighter Side Of Darkness
Living In The Past	Jethro Tull
Pieces Of April	Three Dog Night
Dancing In The Moonlight	King Harvest
Separate Ways	Elvis Presley
It Never Rains In Southern California	Albert Hammond
Rocky Mountain High	John Denver
Don't Expect Me To Be Your Friend	Lobo
Smoke Gets In Your Eyes	Blue Haze
Daddy's Home	Jermaine Jackson
Jambalaya (On The Bayou)	The Blue Ridge Rangers
You Turn Me On, I'm A Radio	Joni Mitchell
Could It Be I'm Falling In Love	The Spinners
Sitting	Cat Stevens
Been To Canaan	Carole King
Dreidel	Don McLean
Reelin' & Rockin'	Chuck Berry
Do You Want To Dance?	Bette Midler
Harry Hippie	Bobby Womack & Peace
You Ought To Be With Me	Al Green
The Relay	The Who
I'll Be Your Shelter (In Time Of Storm)	Luther Ingram
Walk On Water	Neil Diamond
Looking Through The Eyes Of Love	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Last Song	Edward Bear
I'm Never Gonna Be Alone Anymore	Cornelius Brothers & Sister Rose
Papa Was A Rollin' Stone	The Temptations
I Am Woman	Helen Reddy
Something's Wrong With Me	Austin Roberts
I Can't Stand To See You Cry	Smokey Robinson & The Miracles
The Cover Of "Rolling Stone"	Dr. Hook And The Medicine Show
Sweet Surrender	Bread
Peaceful Easy Feeling	Eagles
I Can See Clearly Now	Johnny Nash
Remember (Christmas)	Nilsson
You've Got To Take It (If You Want It)	The Main Ingredient
No	Bulldog
Jesus Is Just Alright	The Doobie Brothers
Lucky Man	Emerson, Lake & Palmer
Living Together, Growing Together	The 5th Dimension
Big City Miss Ruth Ann	Gallery
If You Don't Know Me By Now	Harold Melvin And The Blue Notes
Love Train	The O'Jays
What My Baby Needs Now Is A Little More Lovin'	James Brown-Lyn Collins
In Heaven There Is No Beer	Clean Living
Dueling Banjos	Deliverance/Eric Weissberg & Steve Mandell
Woman To Woman	Joe Cocker and The Chris Stainton Band
Daytime Night-Time	Keith Hampshire
Don't Leave Me Starvin' For Your Love (Part 1)	Holland-Dozier
Danny's Song	Anne Murray
Songman	Cashman & West
I Never Said Goodbye	Engelbert Humperdinck
Good Morning Heartache	Diana Ross
Anthem	Wayne Newton
Soul Song	Joe Stampley
Silly Wasn't I	Valerie Simpson
Give Me Your Love	Barbara Mason
Hummingbird	Seals & Crofts
Oh No, Not My Baby	Merry Clayton
One Last Time	Glen Campbell
I Got Ants In My Pants (and i want to dance) (Part 1)	James Brown
Boogie Woogie Man	Paul Davis
Mama Weer All Crazee Now	Slade
Didn't We	Barbra Streisand
Happy	Bobby Darin
Fever/My Crew	Rita Coolidge
The Message	Cymande
Control Of Me	Les Emmerson
You Can Do Magic	Limmie & Family Cookin'
But I Do	Bobby Vinton
Choo Choo Mama	Ten Years After
Slow Motion (Part 1)	Johnny Williams
How Can I Tell You	Travis Wammack
We	Shawn Phillips
Hot Wire	Al Green
I'm Sorry	Joey Heatherton
On And Off (Part 1)	Anacostia
Tweedlee Dee	Little Jimmy Osmond
Blind Eye/Sweet Lorraine	Uriah Heep
If It's All Right With You	Dottie West
Little Willy	The Sweet
I Miss You Baby	Millie Jackson
