Crocodile Rock	Elton John
You're So Vain	Carly Simon
Superstition	Stevie Wonder
Why Can't We Live Together	Timmy Thomas
Your Mama Don't Dance	Kenny Loggins & Jim Messina
Oh, Babe, What Would You Say?	Hurricane Smith
Trouble Man	Marvin Gaye
The World Is A Ghetto	War
Do It Again	Steely Dan
Hi, Hi, Hi	Wings
Me And Mrs. Jones	Billy Paul
Don't Expect Me To Be Your Friend	Lobo
Could It Be I'm Falling In Love	The Spinners
Rocky Mountain High	John Denver
Dancing In The Moonlight	King Harvest
Love Jones	Brighter Side Of Darkness
Superfly	Curtis Mayfield
Dueling Banjos	Deliverance/Eric Weissberg & Steve Mandell
Rockin' Pneumonia - Boogie Woogie Flu	Johnny Rivers
Separate Ways	Elvis Presley
Daddy's Home	Jermaine Jackson
Jambalaya (On The Bayou)	The Blue Ridge Rangers
Clair	Gilbert O'Sullivan
Last Song	Edward Bear
You Turn Me On, I'm A Radio	Joni Mitchell
Don't Let Me Be Lonely Tonight	James Taylor
Dreidel	Don McLean
Love Train	The O'Jays
Do You Want To Dance?	Bette Midler
Funny Face	Donna Fargo
I Wanna Be With You	Raspberries
Reelin' & Rockin'	Chuck Berry
Harry Hippie	Bobby Womack & Peace
Killing Me Softly With His Song	Roberta Flack
Smoke Gets In Your Eyes	Blue Haze
The Cover Of "Rolling Stone"	Dr. Hook And The Medicine Show
Pieces Of April	Three Dog Night
Peaceful Easy Feeling	Eagles
Looking Through The Eyes Of Love	The Partridge Family Starring Shirley Jones Featuring David Cassidy
I'm Never Gonna Be Alone Anymore	Cornelius Brothers & Sister Rose
Living In The Past	Jethro Tull
Big City Miss Ruth Ann	Gallery
Jesus Is Just Alright	The Doobie Brothers
Living Together, Growing Together	The 5th Dimension
I Can't Stand To See You Cry	Smokey Robinson & The Miracles
I Got Ants In My Pants (and i want to dance) (Part 1)	James Brown
I'll Be Your Shelter (In Time Of Storm)	Luther Ingram
You've Got To Take It (If You Want It)	The Main Ingredient
Danny's Song	Anne Murray
Hummingbird	Seals & Crofts
Lucky Man	Emerson, Lake & Palmer
Give Me Your Love	Barbara Mason
Good Morning Heartache	Diana Ross
Daytime Night-Time	Keith Hampshire
Don't Leave Me Starvin' For Your Love (Part 1)	Holland-Dozier
What My Baby Needs Now Is A Little More Lovin'	James Brown-Lyn Collins
Don't Cross The River	America
I'm Just A Singer (In A Rock And Roll Band)	The Moody Blues
Songman	Cashman & West
Space Oddity	David Bowie
I Never Said Goodbye	Engelbert Humperdinck
Neither One Of Us (Wants To Be The First To Say Goodbye)	Gladys Knight And The Pips
Silly Wasn't I	Valerie Simpson
Tweedlee Dee	Little Jimmy Osmond
Soul Song	Joe Stampley
Dead Skunk	Loudon Wainwright III
Control Of Me	Les Emmerson
Rosalie	Sam Neely
The Message	Cymande
Boogie Woogie Man	Paul Davis
Today I Started Loving You Again	Bettye Swann
Hello Hurray	Alice Cooper
It Never Rains In Southern California	Albert Hammond
Also Sprach Zarathustra (2001)	Deodato
Palace Guard	Rick Nelson And The Stone Canyon Band
Fever/My Crew	Rita Coolidge
Happy	Bobby Darin
Aubrey	Bread
Hot Wire	Al Green
One Less Set Of Footsteps	Jim Croce
Love Is What You Make It	The Grass Roots
But I Do	Bobby Vinton
Slow Motion (Part 1)	Johnny Williams
How Can I Tell You	Travis Wammack
Peaceful	Helen Reddy
Keep On Singing	Austin Roberts
Ain't No Woman (Like The One I've Got)	Four Tops
Kissing My Love	Bill Withers
Little Willy	The Sweet
Follow Your Daughter Home	The Guess Who
Blind Eye/Sweet Lorraine	Uriah Heep
Do It In The Name Of Love	Candi Staton
Don't Burn Me	Paul Kelly
Sugar Magnolia	Grateful Dead
Come Softly To Me	The New Seekers
Somebody Loves You	The Whispers
Wish That I Could Talk To You	The Sylvers
If It's All Right With You	Dottie West
We're Gonna Have A Good Time	Rare Earth
Love Music	The Raiders
