Bad, Bad Leroy Brown	Jim Croce
Yesterday Once More	Carpenters
Shambala	Three Dog Night
Smoke On The Water	Deep Purple
Will It Go Round In Circles	Billy Preston
Diamond Girl	Seals & Crofts
Kodachrome	Paul Simon
Boogie Woogie Bugle Boy	Bette Midler
The Morning After	Maureen McGovern
Give Me Love - (Give Me Peace On Earth)	George Harrison
Touch Me In The Morning	Diana Ross
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
Money	Pink Floyd
Playground In My Mind	Clint Holmes
Natural High	Bloodstone
Feelin' Stronger Every Day	Chicago
So Very Hard To Go	Tower Of Power
Get Down	Gilbert O'Sullivan
I Believe In You (You Believe In Me)	Johnnie Taylor
Brother Louie	Stories
Live And Let Die	Wings
Misdemeanor	Foster Sylvers
Uneasy Rider	Charlie Daniels
Here I Am Come & Take Me	Al Green
If You Want Me To Stay	Sly & The Family Stone
Long Train Runnin'	The Doobie Brothers
Behind Closed Doors	Charlie Rich
Where Peaceful Waters Flow	Gladys Knight And The Pips
How Can I Tell Her	Lobo
Angel	Aretha Franklin
My Love	Paul McCartney And Wings
Delta Dawn	Helen Reddy
Right Place Wrong Time	Dr. John
Doing It To Death	Fred Wesley & The J.B.'s
Soul Makossa	Manu Dibango
Let's Get It On	Marvin Gaye
One Of A Kind (Love Affair)	The Spinners
Are You Man Enough	Four Tops
Say, Has Anybody Seen My Sweet Gypsy Rose	Dawn Featuring Tony Orlando
I'll Always Love My Mama (Part I)	The Intruders
I'm Gonna Love You Just A Little More Baby	Barry White
Roll Over Beethoven	Electric Light Orchestra
The Hurt	Cat Stevens
Nobody Wants You When You're Down And Out	Bobby Womack
There's No Me Without You	The Manhattans
Gypsy Man	War
Daddy Could Swear, I Declare	Gladys Knight And The Pips
Satin Sheets	Jeanne Pruett
A Million To One/Young Love	Donny Osmond
Why Me	Kris Kristofferson
Over The Hills And Far Away	Led Zeppelin
You Light Up My Life/Believe In Humanity	Carole King
Clouds	David Gates
Soul Makossa	Afrique
Pillow Talk	Sylvia (r&b)
Watergrate	Dickie Goodman
That Lady (Part 1)	The Isley Brothers
Everyone's Agreed That Everything Will Turn Out Fine	Stealers Wheel
Time To Get Down	The O'Jays
I Was Checkin' Out She Was Checkin' In	Don Covay
Goin' Home	The Osmonds
The Plastic Man	The Temptations
Never, Never, Never (Grande, Grande, Grande)	Shirley Bassey
Love, Love, Love	Donny Hathaway
Give Your Baby A Standing Ovation	The Dells
Tequila Sunrise	Eagles
And I Love You So	Perry Como
Swamp Witch	Jim Stafford
Sweet Charlie Babe	Jackie Moore
It's Forever	The Ebonys
Finder's Keepers	Chairman Of The Board
Darling Come Back Home	Eddie Kendricks
Blockbuster	The Sweet
Future Shock	Curtis Mayfield
Sweet Harmony	Smokey Robinson
I'd Rather Be A Cowboy	John Denver
Sixty Minute Man/Mother-In-Law	Clarence Carter
Baby I've Been Missing You	The Independents
Lord, Mr. Ford	Jerry Reed
Bongo Rock	The Incredible Bongo Band
My Maria	B.W. Stevenson
There You Go	Edwin Starr
We're An American Band	Grand Funk
Didn't I	Sylvia (r&b)
He Did With Me	Vicki Lawrence
Theme From Cleopatra Jones	Joe Simon featuring The Mainstreeters
Sunshine	Mickey Newbury
One Tin Soldier (The Legend of Billy Jack)	Coven
Top Of The World	Lynn Anderson
There It Is	Tyrone Davis
Roland The Roadie And Gertrude The Groupie	Dr. Hook And The Medicine Show
Jimmy Loves Mary-Anne	Looking Glass
My Merry-go-round	Johnny Nash
Sylvia	Focus
Show Biz Kids	Steely Dan
Smoke! Smoke! Smoke! (That Cigarette)	Commander Cody
Friend Of Mine	Bill Withers
L.a. Freeway	Jerry Jeff Walker
Black Byrd	Donald Byrd
You Were Always There	Donna Fargo
