The Morning After	Maureen McGovern
Bad, Bad Leroy Brown	Jim Croce
Live And Let Die	Wings
Smoke On The Water	Deep Purple
Yesterday Once More	Carpenters
Diamond Girl	Seals & Crofts
Touch Me In The Morning	Diana Ross
Brother Louie	Stories
Will It Go Round In Circles	Billy Preston
Shambala	Three Dog Night
Feelin' Stronger Every Day	Chicago
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
I Believe In You (You Believe In Me)	Johnnie Taylor
Get Down	Gilbert O'Sullivan
Uneasy Rider	Charlie Daniels
Boogie Woogie Bugle Boy	Bette Midler
Let's Get It On	Marvin Gaye
Money	Pink Floyd
Here I Am Come & Take Me	Al Green
If You Want Me To Stay	Sly & The Family Stone
Kodachrome	Paul Simon
Delta Dawn	Helen Reddy
Natural High	Bloodstone
Say, Has Anybody Seen My Sweet Gypsy Rose	Dawn Featuring Tony Orlando
So Very Hard To Go	Tower Of Power
Angel	Aretha Franklin
How Can I Tell Her	Lobo
Where Peaceful Waters Flow	Gladys Knight And The Pips
Behind Closed Doors	Charlie Rich
Are You Man Enough	Four Tops
Give Me Love - (Give Me Peace On Earth)	George Harrison
Misdemeanor	Foster Sylvers
Gypsy Man	War
Playground In My Mind	Clint Holmes
Soul Makossa	Manu Dibango
A Million To One/Young Love	Donny Osmond
Long Train Runnin'	The Doobie Brothers
Right Place Wrong Time	Dr. John
The Hurt	Cat Stevens
My Love	Paul McCartney And Wings
Doing It To Death	Fred Wesley & The J.B.'s
I'll Always Love My Mama (Part I)	The Intruders
There's No Me Without You	The Manhattans
Why Me	Kris Kristofferson
You Light Up My Life/Believe In Humanity	Carole King
Nobody Wants You When You're Down And Out	Bobby Womack
That Lady (Part 1)	The Isley Brothers
Satin Sheets	Jeanne Pruett
Future Shock	Curtis Mayfield
I'm Gonna Love You Just A Little More Baby	Barry White
Love, Love, Love	Donny Hathaway
I Was Checkin' Out She Was Checkin' In	Don Covay
Clouds	David Gates
Over The Hills And Far Away	Led Zeppelin
Everyone's Agreed That Everything Will Turn Out Fine	Stealers Wheel
One Of A Kind (Love Affair)	The Spinners
Roll Over Beethoven	Electric Light Orchestra
Soul Makossa	Afrique
Daddy Could Swear, I Declare	Gladys Knight And The Pips
Loves Me Like A Rock	Paul Simon (with The Dixie Hummingbirds)
Sweet Charlie Babe	Jackie Moore
Sweet Harmony	Smokey Robinson
Time To Get Down	The O'Jays
Pillow Talk	Sylvia (r&b)
Baby I've Been Missing You	The Independents
Goin' Home	The Osmonds
My Maria	B.W. Stevenson
It's Forever	The Ebonys
We're An American Band	Grand Funk
Theme From Cleopatra Jones	Joe Simon featuring The Mainstreeters
Lord, Mr. Ford	Jerry Reed
Darling Come Back Home	Eddie Kendricks
Didn't I	Sylvia (r&b)
Saturday Night's Alright For Fighting	Elton John
There It Is	Tyrone Davis
Sixty Minute Man/Mother-In-Law	Clarence Carter
Bongo Rock	The Incredible Bongo Band
Never, Never, Never (Grande, Grande, Grande)	Shirley Bassey
Finder's Keepers	Chairman Of The Board
Give Your Baby A Standing Ovation	The Dells
Tequila Sunrise	Eagles
He Did With Me	Vicki Lawrence
There You Go	Edwin Starr
To Know You Is To Love You	B.B. King
Top Of The World	Lynn Anderson
Billion Dollar Babies	Alice Cooper
Sunshine	Mickey Newbury
One Tin Soldier (The Legend of Billy Jack)	Coven
Half-Breed	Cher
Jimmy Loves Mary-Anne	Looking Glass
Don't Let It End ('til You Let It Begin)	The Miracles
Sylvia	Focus
Show Biz Kids	Steely Dan
Smoke! Smoke! Smoke! (That Cigarette)	Commander Cody
I've Got So Much To Give	Barry White
Stoned Out Of My Mind	The Chi-lites
Friend Of Mine	Bill Withers
L.a. Freeway	Jerry Jeff Walker
Loving Arms	Dobie Gray
Evil	Earth, Wind & Fire
