We're An American Band	Grand Funk
Let's Get It On	Marvin Gaye
Half-Breed	Cher
Loves Me Like A Rock	Paul Simon (with The Dixie Hummingbirds)
Delta Dawn	Helen Reddy
Higher Ground	Stevie Wonder
Say, Has Anybody Seen My Sweet Gypsy Rose	Dawn Featuring Tony Orlando
That Lady (Part 1)	The Isley Brothers
My Maria	B.W. Stevenson
Ramblin Man	The Allman Brothers Band
Brother Louie	Stories
Keep On Truckin' (Part 1)	Eddie Kendricks
Angie	The Rolling Stones
Touch Me In The Morning	Diana Ross
Saturday Night's Alright For Fighting	Elton John
Yes We Can Can	The Pointer Sisters
Midnight Train To Georgia	Gladys Knight And The Pips
Theme From Cleopatra Jones	Joe Simon featuring The Mainstreeters
China Grove	The Doobie Brothers
Free Ride	Edgar Winter Group
Gypsy Man	War
Here I Am Come & Take Me	Al Green
Why Me	Kris Kristofferson
You've Never Been This Far Before	Conway Twitty
If You Want Me To Stay	Sly & The Family Stone
Basketball Jones Featuring Tyrone Shoelaces	Cheech & Chong
Live And Let Die	Wings
I Believe In You (You Believe In Me)	Johnnie Taylor
Get It Together	Jackson 5
Stoned Out Of My Mind	The Chi-lites
In The Midnight Hour	Cross Country
Rocky Mountain Way	Joe Walsh
Jimmy Loves Mary-Anne	Looking Glass
Ecstasy	Ohio Players
Hey Girl (i Like Your Style)	The Temptations
Knockin' On Heaven's Door	Bob Dylan
I've Got So Much To Give	Barry White
To Know You Is To Love You	B.B. King
Heartbeat - It's A Lovebeat	The DeFranco Family featuring Tony DeFranco
Hurts So Good	Millie Jackson
Rhapsody In Blue	Deodato
Ghetto Child	The Spinners
Paper Roses	Marie Osmond
Funky Stuff	Kool & The Gang
Get Down	Gilbert O'Sullivan
Let Me In	The Osmonds
Summer (The First Time)	Bobby Goldsboro
(I Don't Want To Love You But) You Got Me Anyway	Sutherland Brothers And Quiver
All I Know	Garfunkel
Nutbush City Limits	Ike & Tina Turner
Feelin' Stronger Every Day	Chicago
Sexy, Sexy, Sexy	James Brown
Ashes To Ashes	The 5th Dimension
Sweet Harmony	Smokey Robinson
The Morning After	Maureen McGovern
Such A Night	Dr. John
Evil	Earth, Wind & Fire
Raised On Rock/For Ol' Times Sake	Elvis Presley
The Last Thing On My Mind	Neil Diamond
Space Race	Billy Preston
I Can't Stand The Rain	Ann Peebles
Everybody's Had The Blues	Merle Haggard And The Strangers
Loving Arms	Dobie Gray
Never Let You Go	Bloodstone
Angel	Aretha Franklin
We May Never Pass This Way (Again)	Seals & Crofts
Freedom For The Stallion	The Hues Corporation
Jesse	Roberta Flack
Tonight	Raspberries
Check It Out	Tavares
Just You 'n' Me	Chicago
Muskrat Love	America
Outlaw Man	Eagles
This Time It's Real	Tower Of Power
Send A Little Love My Way	Anne Murray
Parrty - Part I	Maceo And The Macks
Woman From Tokyo	Deep Purple
Gotta Find A Way	Moments
Friends/chapel Of Love	Bette Midler
Sister James	Nino Tempo And 5th Ave. Sax
Rubber Bullets	10cc
That's Why You Remember	Kenny Karen
The Most Beautiful Girl	Charlie Rich
You're The Best Thing That Ever Happened To Me	Ray Price
Slippin' Away	Jean Shepard
Ridin' My Thumb To Mexico	Johnny Rodriguez
I'm Coming Home	Johnny Mathis
Life Ain't Easy	Dr. Hook And The Medicine Show
Farewell Andromeda (Welcome To My Morning)	John Denver
He	Today's People
Blood Red And Goin' Down	Tanya Tucker
Country Sunshine	Dottie West
You'd Better Believe It	The Manhattans
The Love I Lost (Part 1)	Harold Melvin And The Blue Notes
As Time Goes By	Nilsson
Make Me Twice The Man	New York City
Take A Closer Look At The Woman You're With	Wilson Pickett
West Coast Woman	Painter
Redneck Friend	Jackson Browne
Love Is All	Engelbert Humperdinck
