Angie	The Rolling Stones
Half-Breed	Cher
Ramblin Man	The Allman Brothers Band
Let's Get It On	Marvin Gaye
Midnight Train To Georgia	Gladys Knight And The Pips
That Lady (Part 1)	The Isley Brothers
Keep On Truckin' (Part 1)	Eddie Kendricks
Higher Ground	Stevie Wonder
Heartbeat - It's A Lovebeat	The DeFranco Family featuring Tony DeFranco
Paper Roses	Marie Osmond
Yes We Can Can	The Pointer Sisters
We're An American Band	Grand Funk
All I Know	Garfunkel
Loves Me Like A Rock	Paul Simon (with The Dixie Hummingbirds)
Basketball Jones Featuring Tyrone Shoelaces	Cheech & Chong
Knockin' On Heaven's Door	Bob Dylan
Free Ride	Edgar Winter Group
China Grove	The Doobie Brothers
My Maria	B.W. Stevenson
Space Race	Billy Preston
Why Me	Kris Kristofferson
I Got A Name	Jim Croce
Rocky Mountain Way	Joe Walsh
Delta Dawn	Helen Reddy
Hurts So Good	Millie Jackson
You're A Special Part Of Me	Diana Ross & Marvin Gaye
Summer (The First Time)	Bobby Goldsboro
Just You 'n' Me	Chicago
Photograph	Ringo Starr
We May Never Pass This Way (Again)	Seals & Crofts
Top Of The World	Carpenters
Funky Stuff	Kool & The Gang
Jesse	Roberta Flack
Get It Together	Jackson 5
Say, Has Anybody Seen My Sweet Gypsy Rose	Dawn Featuring Tony Orlando
Let Me In	The Osmonds
The Love I Lost (Part 1)	Harold Melvin And The Blue Notes
Brother Louie	Stories
You've Never Been This Far Before	Conway Twitty
Touch Me In The Morning	Diana Ross
Nutbush City Limits	Ike & Tina Turner
Ecstasy	Ohio Players
The Most Beautiful Girl	Charlie Rich
Jimmy Loves Mary-Anne	Looking Glass
Raised On Rock/For Ol' Times Sake	Elvis Presley
In The Midnight Hour	Cross Country
Such A Night	Dr. John
Theme From Cleopatra Jones	Joe Simon featuring The Mainstreeters
Saturday Night's Alright For Fighting	Elton John
I Can't Stand The Rain	Ann Peebles
Never Let You Go	Bloodstone
Friends/chapel Of Love	Bette Midler
Check It Out	Tavares
Stoned Out Of My Mind	The Chi-lites
Sister James	Nino Tempo And 5th Ave. Sax
(I Don't Want To Love You But) You Got Me Anyway	Sutherland Brothers And Quiver
Cheaper To Keep Her	Johnnie Taylor
To Know You Is To Love You	B.B. King
If You Want Me To Stay	Sly & The Family Stone
Woman From Tokyo	Deep Purple
Outlaw Man	Eagles
Ooh Baby	Gilbert O'Sullivan
Ashes To Ashes	The 5th Dimension
Hey Girl (i Like Your Style)	The Temptations
This Time It's Real	Tower Of Power
Sweet Understanding Love	Four Tops
Little Girl Gone	Donna Fargo
Country Sunshine	Dottie West
Hello It's Me	Todd Rundgren
Ridin' My Thumb To Mexico	Johnny Rodriguez
Gotta Find A Way	Moments
Let Me Be Your Lovemaker	Betty Wright
Rubber Bullets	10cc
My Pretending Days Are Over	The Dells
Life Ain't Easy	Dr. Hook And The Medicine Show
Everybody's Had The Blues	Merle Haggard And The Strangers
Sail Around The World	David Gates
I'm Coming Home	Johnny Mathis
Oh! No Not My Baby	Rod Stewart
Rockin' Roll Baby	The Stylistics
West Coast Woman	Painter
You're The Best Thing That Ever Happened To Me	Ray Price
D'yer Mak'er	Led Zeppelin
Roll In My Sweet Baby's Arms/I'm So Lonesome I Could Cry	Hank Wilson
Redneck Friend	Jackson Browne
The Joker	The Steve Miller Band
You'd Better Believe It	The Manhattans
Dream On	Aerosmith
Blood Red And Goin' Down	Tanya Tucker
If I Were Only A Child Again	Curtis Mayfield
I Won't Last A Day Without You	Maureen McGovern
Hey, Little Girl	Foster Sylvers
You're In Good Hands	Jermaine Jackson
Stealin'	Uriah Heep
"Having A Party" Medley	The Ovations (Featuring Louis Williams)
Show And Tell	Al Wilson
Mr. Skin	Spirit
Slippin' Away	Jean Shepard
Take A Closer Look At The Woman You're With	Wilson Pickett
Kid Stuff	Barbara Fairchild
