Top Of The World	Carpenters
Goodbye Yellow Brick Road	Elton John
The Most Beautiful Girl	Charlie Rich
Just You 'n' Me	Chicago
Photograph	Ringo Starr
Space Race	Billy Preston
The Love I Lost (Part 1)	Harold Melvin And The Blue Notes
Hello It's Me	Todd Rundgren
Keep On Truckin' (Part 1)	Eddie Kendricks
Leave Me Alone (ruby Red Dress)	Helen Reddy
Midnight Train To Georgia	Gladys Knight And The Pips
If You're Ready (Come Go With Me)	The Staple Singers
Time In A Bottle	Jim Croce
Heartbeat - It's A Lovebeat	The DeFranco Family featuring Tony DeFranco
The Joker	The Steve Miller Band
Never, Never Gonna Give Ya Up	Barry White
Let Me Serenade You	Three Dog Night
Paper Roses	Marie Osmond
My Music	Loggins & Messina
Rockin' Roll Baby	The Stylistics
I Got A Name	Jim Croce
Come Get To This	Marvin Gaye
Living For The City	Stevie Wonder
MIND GAMES	John Lennon
Cheaper To Keep Her	Johnnie Taylor
Angie	The Rolling Stones
Show And Tell	Al Wilson
You're A Special Part Of Me	Diana Ross & Marvin Gaye
Who's In The Strawberry Patch With Sally	Tony Orlando & Dawn
D'yer Mak'er	Led Zeppelin
Helen Wheels	Paul McCartney And Wings
All I Know	Garfunkel
Smokin' In The Boy's Room	Brownsville Station
Why Me	Kris Kristofferson
I've Got To Use My Imagination	Gladys Knight And The Pips
Be	Neil Diamond
Knockin' On Heaven's Door	Bob Dylan
Me And Baby Brother	War
Corazón	Carole King
Some Guys Have All The Luck	The Persuaders
Nutbush City Limits	Ike & Tina Turner
Half-Breed	Cher
Ooh Baby	Gilbert O'Sullivan
Let Me Be There	Olivia Newton-John
Until You Come Back To Me (That's What I'm Gonna Do)	Aretha Franklin
We May Never Pass This Way (Again)	Seals & Crofts
Fell For You	The Dramatics
I Can't Stand The Rain	Ann Peebles
Painted Ladies	Ian Thomas
Mammy Blue	Stories
Ramblin Man	The Allman Brothers Band
Never Let You Go	Bloodstone
I Found Sunshine	The Chi-lites
Sweet Understanding Love	Four Tops
When I Fall In Love/Are You Lonesome Tonight	Donny Osmond
Tell Her She's Lovely	El Chicano
This Time I'm Gone For Good	Bobby "Blue" Bland
Check It Out	Tavares
Pretty Lady	Lighthouse
Keep Your Head To The Sky	Earth, Wind & Fire
Spiders & Snakes	Jim Stafford
"Having A Party" Medley	The Ovations (Featuring Louis Williams)
Dream On	Aerosmith
Walk Like A Man	Grand Funk
Sister Mary Elephant (Shudd-Up!)	Cheech & Chong
Country Sunshine	Dottie West
Sail Around The World	David Gates
Smarty Pants	First Choice
A Song I'd Like To Sing	Kris Kristofferson & Rita Coolidge
River	Joe Simon
My Old School	Steely Dan
American Tune	Paul Simon
The Way We Were	Barbra Streisand
I Wanna Know Your Name	The Intruders
It's All Over	The Independents
I Don't Know What It Is, But It Sure Is Funky	Ripple
Let Me Try Again (Laisse Moi Le Temps)	Frank Sinatra
The River Of Love	B.W. Stevenson
Love's Theme	Love Unlimited Orchestra
Rock On	David Essex
Blue Collar	Bachman-Turner Overdrive
If We Make It Through December	Merle Haggard
Ain't Got No Home	The Band
Baby Come Close	Smokey Robinson
Livin' For You	Al Green
Love Me For What I Am/there Ain't No Way	Lobo
Showdown	Electric Light Orchestra
Little Girl Gone	Donna Fargo
Come Live With Me	Ray Charles
Big Time Operator	Keith Hampshire
Love, Reign O'er Me	The Who
Love Has No Pride	Linda Ronstadt
Stoned To The Bone - Part 1	James Brown
This Is Your Song	Don Goodwin
Last Kiss	Wednesday
Half A Million Miles From Home	Albert Hammond
I Love	Tom T. Hall
I'm A Rocker	Raspberries
I Like To Live The Love	B.B. King
Jungle Boogie	Kool & The Gang
