The Most Beautiful Girl	Charlie Rich
Goodbye Yellow Brick Road	Elton John
Time In A Bottle	Jim Croce
Leave Me Alone (ruby Red Dress)	Helen Reddy
Hello It's Me	Todd Rundgren
The Joker	The Steve Miller Band
Top Of The World	Carpenters
Just You 'n' Me	Chicago
If You're Ready (Come Go With Me)	The Staple Singers
Never, Never Gonna Give Ya Up	Barry White
Show And Tell	Al Wilson
Smokin' In The Boy's Room	Brownsville Station
Photograph	Ringo Starr
Rockin' Roll Baby	The Stylistics
Living For The City	Stevie Wonder
My Music	Loggins & Messina
The Love I Lost (Part 1)	Harold Melvin And The Blue Notes
I've Got To Use My Imagination	Gladys Knight And The Pips
MIND GAMES	John Lennon
Helen Wheels	Paul McCartney And Wings
Space Race	Billy Preston
D'yer Mak'er	Led Zeppelin
Midnight Train To Georgia	Gladys Knight And The Pips
Let Me Be There	Olivia Newton-John
Come Get To This	Marvin Gaye
Until You Come Back To Me (That's What I'm Gonna Do)	Aretha Franklin
Me And Baby Brother	War
Heartbeat - It's A Lovebeat	The DeFranco Family featuring Tony DeFranco
Keep On Truckin' (Part 1)	Eddie Kendricks
I Got A Name	Jim Croce
When I Fall In Love/Are You Lonesome Tonight	Donny Osmond
Who's In The Strawberry Patch With Sally	Tony Orlando & Dawn
Love's Theme	Love Unlimited Orchestra
Let Me Serenade You	Three Dog Night
The Way We Were	Barbra Streisand
Livin' For You	Al Green
Paper Roses	Marie Osmond
I Can't Stand The Rain	Ann Peebles
Some Guys Have All The Luck	The Persuaders
Tell Her She's Lovely	El Chicano
Sister Mary Elephant (Shudd-Up!)	Cheech & Chong
You're A Special Part Of Me	Diana Ross & Marvin Gaye
Painted Ladies	Ian Thomas
Walk Like A Man	Grand Funk
This Time I'm Gone For Good	Bobby "Blue" Bland
Spiders & Snakes	Jim Stafford
Corazón	Carole King
I Found Sunshine	The Chi-lites
American Tune	Paul Simon
You're Sixteen	Ringo Starr
Cheaper To Keep Her	Johnnie Taylor
Why Me	Kris Kristofferson
Angie	The Rolling Stones
Be	Neil Diamond
A Song I'd Like To Sing	Kris Kristofferson & Rita Coolidge
Keep Your Head To The Sky	Earth, Wind & Fire
Smarty Pants	First Choice
The River Of Love	B.W. Stevenson
Fell For You	The Dramatics
Pretty Lady	Lighthouse
Baby Come Close	Smokey Robinson
River	Joe Simon
I Wanna Know Your Name	The Intruders
Rock On	David Essex
If We Make It Through December	Merle Haggard
Jungle Boogie	Kool & The Gang
Let Me Try Again (Laisse Moi Le Temps)	Frank Sinatra
Love Has No Pride	Linda Ronstadt
Blue Collar	Bachman-Turner Overdrive
I Love	Tom T. Hall
Put Your Hands Together	The O'Jays
"Joy" Pt. I	Isaac Hayes
Ain't Got No Home	The Band
A Fool Such As I	Bob Dylan
Hangin' Around	Edgar Winter Group
Showdown	Electric Light Orchestra
Love, Reign O'er Me	The Who
Jim Dandy	Black Oak Arkansas
I Like To Live The Love	B.B. King
Stoned To The Bone - Part 1	James Brown
My Old School	Steely Dan
Will You Love Me Tomorrow?	Melanie
Big Time Operator	Keith Hampshire
Last Kiss	Wednesday
Midnight Rider	Gregg Allman
Let Your Hair Down	The Temptations
Half A Million Miles From Home	Albert Hammond
This Is Your Song	Don Goodwin
Love Song	Anne Murray
It May Be Winter Outside, (But In My Heart It's Spring)	Love Unlimited
Come Live With Me	Ray Charles
Could You Ever Love Me Again	Gary & Dave
Somewhere Between Love And Tomorrow	Roy Clark
I'm A Rocker	Raspberries
Raised On Robbery	Joni Mitchell
Please, Daddy	John Denver
Flashback	The 5th Dimension
Trying To Hold On To My Woman	Lamont Dozier
Wang Dang Doodle	The Pointer Sisters
Last Kiss	J. Frank Wilson and The Cavaliers
