The Joker	The Steve Miller Band
Time In A Bottle	Jim Croce
Show And Tell	Al Wilson
Smokin' In The Boy's Room	Brownsville Station
I've Got To Use My Imagination	Gladys Knight And The Pips
You're Sixteen	Ringo Starr
Never, Never Gonna Give Ya Up	Barry White
Living For The City	Stevie Wonder
Let Me Be There	Olivia Newton-John
Helen Wheels	Paul McCartney And Wings
The Way We Were	Barbra Streisand
The Most Beautiful Girl	Charlie Rich
Love's Theme	Love Unlimited Orchestra
Leave Me Alone (ruby Red Dress)	Helen Reddy
When I Fall In Love/Are You Lonesome Tonight	Donny Osmond
Me And Baby Brother	War
Until You Come Back To Me (That's What I'm Gonna Do)	Aretha Franklin
Goodbye Yellow Brick Road	Elton John
Top Of The World	Carpenters
Hello It's Me	Todd Rundgren
Livin' For You	Al Green
Spiders & Snakes	Jim Stafford
Walk Like A Man	Grand Funk
If You're Ready (Come Go With Me)	The Staple Singers
Sister Mary Elephant (Shudd-Up!)	Cheech & Chong
Just You 'n' Me	Chicago
Rockin' Roll Baby	The Stylistics
Jungle Boogie	Kool & The Gang
MIND GAMES	John Lennon
D'yer Mak'er	Led Zeppelin
My Music	Loggins & Messina
If We Make It Through December	Merle Haggard
Americans	Byron MacGregor
Painted Ladies	Ian Thomas
American Tune	Paul Simon
"Joy" Pt. I	Isaac Hayes
Who's In The Strawberry Patch With Sally	Tony Orlando & Dawn
Let Your Hair Down	The Temptations
Put Your Hands Together	The O'Jays
Rock On	David Essex
I Love	Tom T. Hall
This Time I'm Gone For Good	Bobby "Blue" Bland
The Love I Lost (Part 1)	Harold Melvin And The Blue Notes
Midnight Rider	Gregg Allman
Photograph	Ringo Starr
Jim Dandy	Black Oak Arkansas
I Can't Stand The Rain	Ann Peebles
Baby Come Close	Smokey Robinson
Come Get To This	Marvin Gaye
Love Song	Anne Murray
Love Has No Pride	Linda Ronstadt
I Got A Name	Jim Croce
Keep Your Head To The Sky	Earth, Wind & Fire
Tell Her She's Lovely	El Chicano
A Fool Such As I	Bob Dylan
Last Time I Saw Him	Diana Ross
Showdown	Electric Light Orchestra
I Like To Live The Love	B.B. King
Space Race	Billy Preston
The River Of Love	B.W. Stevenson
Stoned To The Bone - Part 1	James Brown
Boogie Down	Eddie Kendricks
Last Kiss	Wednesday
Teenage Lament '74	Alice Cooper
Hangin' Around	Edgar Winter Group
It Doesn't Have To Be That Way	Jim Croce
I Shall Sing	Garfunkel
Can This Be Real	Natural Four
Please, Daddy	John Denver
Abra-Ca-Dabra	The De Franco Family
A Song I'd Like To Sing	Kris Kristofferson & Rita Coolidge
I Wanna Know Your Name	The Intruders
Let Me Try Again (Laisse Moi Le Temps)	Frank Sinatra
You're So Unique	Billy Preston
Raised On Robbery	Joni Mitchell
My Sweet Lady	Cliff DeYoung
Wang Dang Doodle	The Pointer Sisters
Let Me Serenade You	Three Dog Night
I Found Sunshine	The Chi-lites
Daddy What If	Bobby Bare
One Tin Soldier, The Legend of Billy Jack	Coven
Some Guys Have All The Luck	The Persuaders
Doo Doo Doo Doo Doo (heartbreaker)	The Rolling Stones
Trying To Hold On To My Woman	Lamont Dozier
Come And Get Your Love	Redbone
Flashback	The 5th Dimension
Star	Stealers Wheel
What It Comes Down To	The Isley Brothers
Life Is A Song Worth Singing	Johnny Mathis
Eres Tu (Touch The Wind)	Mocedades
WOLD	Harry Chapin
Last Kiss	J. Frank Wilson and The Cavaliers
Can't Say Nothin'	Curtis Mayfield
Let Me Get To Know You	Paul Anka
This Is Your Song	Don Goodwin
Somewhere Between Love And Tomorrow	Roy Clark
Meadows	Joe Walsh
The Americans (A Canadian's Opinion)	Gordon Sinclair
Seasons In The Sun	Terry Jacks
Sexy Mama	Moments
