Show And Tell	Al Wilson
The Joker	The Steve Miller Band
Smokin' In The Boy's Room	Brownsville Station
I've Got To Use My Imagination	Gladys Knight And The Pips
You're Sixteen	Ringo Starr
Time In A Bottle	Jim Croce
The Way We Were	Barbra Streisand
Living For The City	Stevie Wonder
Let Me Be There	Olivia Newton-John
Love's Theme	Love Unlimited Orchestra
Never, Never Gonna Give Ya Up	Barry White
Helen Wheels	Paul McCartney And Wings
Until You Come Back To Me (That's What I'm Gonna Do)	Aretha Franklin
When I Fall In Love/Are You Lonesome Tonight	Donny Osmond
Me And Baby Brother	War
The Most Beautiful Girl	Charlie Rich
Americans	Byron MacGregor
Spiders & Snakes	Jim Stafford
Livin' For You	Al Green
Walk Like A Man	Grand Funk
Leave Me Alone (ruby Red Dress)	Helen Reddy
Jungle Boogie	Kool & The Gang
Goodbye Yellow Brick Road	Elton John
Sister Mary Elephant (Shudd-Up!)	Cheech & Chong
Top Of The World	Carpenters
Hello It's Me	Todd Rundgren
If You're Ready (Come Go With Me)	The Staple Singers
If We Make It Through December	Merle Haggard
Put Your Hands Together	The O'Jays
Let Your Hair Down	The Temptations
Rockin' Roll Baby	The Stylistics
Rock On	David Essex
"Joy" Pt. I	Isaac Hayes
MIND GAMES	John Lennon
Just You 'n' Me	Chicago
Midnight Rider	Gregg Allman
American Tune	Paul Simon
I Love	Tom T. Hall
Baby Come Close	Smokey Robinson
Love Song	Anne Murray
Last Time I Saw Him	Diana Ross
Jim Dandy	Black Oak Arkansas
D'yer Mak'er	Led Zeppelin
My Music	Loggins & Messina
Painted Ladies	Ian Thomas
Boogie Down	Eddie Kendricks
This Time I'm Gone For Good	Bobby "Blue" Bland
I Like To Live The Love	B.B. King
Abra-Ca-Dabra	The De Franco Family
Who's In The Strawberry Patch With Sally	Tony Orlando & Dawn
The Love I Lost (Part 1)	Harold Melvin And The Blue Notes
Can This Be Real	Natural Four
Keep Your Head To The Sky	Earth, Wind & Fire
Teenage Lament '74	Alice Cooper
A Fool Such As I	Bob Dylan
Showdown	Electric Light Orchestra
I Shall Sing	Garfunkel
Stoned To The Bone - Part 1	James Brown
Love Has No Pride	Linda Ronstadt
Last Kiss	Wednesday
Doo Doo Doo Doo Doo (heartbreaker)	The Rolling Stones
The Americans (A Canadian's Opinion)	Gordon Sinclair
I Got A Name	Jim Croce
It Doesn't Have To Be That Way	Jim Croce
Come Get To This	Marvin Gaye
Trying To Hold On To My Woman	Lamont Dozier
Wang Dang Doodle	The Pointer Sisters
You're So Unique	Billy Preston
Daddy What If	Bobby Bare
My Sweet Lady	Cliff DeYoung
Raised On Robbery	Joni Mitchell
I Can't Stand The Rain	Ann Peebles
Come And Get Your Love	Redbone
Photograph	Ringo Starr
Sexy Mama	Moments
Hangin' Around	Edgar Winter Group
One Tin Soldier, The Legend of Billy Jack	Coven
What It Comes Down To	The Isley Brothers
Tell Her She's Lovely	El Chicano
I Wanna Know Your Name	The Intruders
Star	Stealers Wheel
Dark Lady	Cher
Life Is A Song Worth Singing	Johnny Mathis
Eres Tu (Touch The Wind)	Mocedades
Flashback	The 5th Dimension
Seasons In The Sun	Terry Jacks
WOLD	Harry Chapin
Can't Say Nothin'	Curtis Mayfield
Let Me Get To Know You	Paul Anka
Jessica	The Allman Brothers Band
I Miss You	The Dells
This Is Your Song	Don Goodwin
A Song I'd Like To Sing	Kris Kristofferson & Rita Coolidge
(I'd Know You) Anywhere	Ashford & Simpson
Space Race	Billy Preston
Meadows	Joe Walsh
Last Kiss	J. Frank Wilson and The Cavaliers
I Found Sunshine	The Chi-lites
Please, Daddy	John Denver
Rock And Roll, Hoochie Koo	Rick Derringer
