Love's Theme	Love Unlimited Orchestra
The Way We Were	Barbra Streisand
You're Sixteen	Ringo Starr
Americans	Byron MacGregor
Until You Come Back To Me (That's What I'm Gonna Do)	Aretha Franklin
Let Me Be There	Olivia Newton-John
Spiders & Snakes	Jim Stafford
Show And Tell	Al Wilson
I've Got To Use My Imagination	Gladys Knight And The Pips
Jungle Boogie	Kool & The Gang
The Joker	The Steve Miller Band
Smokin' In The Boy's Room	Brownsville Station
Rock On	David Essex
Boogie Down	Eddie Kendricks
Put Your Hands Together	The O'Jays
Living For The City	Stevie Wonder
Doo Doo Doo Doo Doo (heartbreaker)	The Rolling Stones
Time In A Bottle	Jim Croce
I Love	Tom T. Hall
Never, Never Gonna Give Ya Up	Barry White
Last Time I Saw Him	Diana Ross
Midnight Rider	Gregg Allman
Love Song	Anne Murray
The Americans (A Canadian's Opinion)	Gordon Sinclair
The Most Beautiful Girl	Charlie Rich
Jim Dandy	Black Oak Arkansas
Seasons In The Sun	Terry Jacks
Me And Baby Brother	War
Baby Come Close	Smokey Robinson
"Joy" Pt. I	Isaac Hayes
Dark Lady	Cher
Sexy Mama	Moments
Livin' For You	Al Green
Abra-Ca-Dabra	The De Franco Family
Can This Be Real	Natural Four
Leave Me Alone (ruby Red Dress)	Helen Reddy
Helen Wheels	Paul McCartney And Wings
I Shall Sing	Garfunkel
I Like To Live The Love	B.B. King
Come And Get Your Love	Redbone
Daddy What If	Bobby Bare
Eres Tu (Touch The Wind)	Mocedades
Last Kiss	Wednesday
Trying To Hold On To My Woman	Lamont Dozier
My Sweet Lady	Cliff DeYoung
Let Your Hair Down	The Temptations
Goodbye Yellow Brick Road	Elton John
Top Of The World	Carpenters
Rockin' Roll Baby	The Stylistics
You're So Unique	Billy Preston
Sunshine On My Shoulders	John Denver
When I Fall In Love/Are You Lonesome Tonight	Donny Osmond
You Sure Love To Ball	Marvin Gaye
There Won't Be Anymore	Charlie Rich
Hello It's Me	Todd Rundgren
In The Mood	Bette Midler
Walk Like A Man	Grand Funk
Teenage Lament '74	Alice Cooper
Mighty Love - Pt. 1	The Spinners
I Miss You	The Dells
Sister Mary Elephant (Shudd-Up!)	Cheech & Chong
WOLD	Harry Chapin
What It Comes Down To	The Isley Brothers
Star	Stealers Wheel
Showdown	Electric Light Orchestra
Mockingbird	Carly Simon & James Taylor
Rock And Roll, Hoochie Koo	Rick Derringer
If You're Ready (Come Go With Me)	The Staple Singers
Jet	Paul McCartney And Wings
Jessica	The Allman Brothers Band
Life Is A Song Worth Singing	Johnny Mathis
We're Getting Careless With Our Love	Johnnie Taylor
This Time I'm Gone For Good	Bobby "Blue" Bland
Love Has No Pride	Linda Ronstadt
Energy Crisis '74	Dickie Goodman
Raised On Robbery	Joni Mitchell
Wang Dang Doodle	The Pointer Sisters
Jolene	Dolly Parton
Stoned To The Bone - Part 1	James Brown
Lookin' For A Love	Bobby Womack
Thanks For Saving My Life	Billy Paul
Let Me Get To Know You	Paul Anka
I Just Can't Get You Out Of My Mind	Four Tops
Houston (I'm Comin' To See You)	Glen Campbell
Tell Me A Lie	Sami Jo
Get That Gasoline Blues	NRBQ
I Wish It Was Me	Tyrone Davis
Stop To Start	Blue Magic
Just Don't Want To Be Lonely	The Main Ingredient
I've Got A Thing About You Baby/Take Good Care Of Her	Elvis Presley
That's The Sound That Lonely Makes	Tavares
The Real Me	The Who
Quick, Fast, In A Hurry	New York City
Must Be Love	The James Gang
Try (Try To Fall In Love)	Cooker
She's Gone	Daryl Hall John Oates
Flashback	The 5th Dimension
Homely Girl	The Chi-lites
A Mother For My Children	The Whispers
The Americans (A Canadian's Opinion)	Tex Ritter
