Hooked On A Feeling	Blue Swede
Bennie And The Jets	Elton John
Sunshine On My Shoulders	John Denver
Seasons In The Sun	Terry Jacks
The Lord's Prayer	Sister Janet Mead
Come And Get Your Love	Redbone
Dark Lady	Cher
TSOP (The Sound Of Philadelphia)	MFSB Featuring The Three Degrees
Mockingbird	Carly Simon & James Taylor
Best Thing That Ever Happened To Me	Gladys Knight And The Pips
Jet	Paul McCartney And Wings
Oh My My	Ringo Starr
A Very Special Love Song	Charlie Rich
Eres Tu (Touch The Wind)	Mocedades
Boogie Down	Eddie Kendricks
Lookin' For A Love	Bobby Womack
Rock On	David Essex
I'll Have To Say I Love You In A Song	Jim Croce
Jungle Boogie	Kool & The Gang
Just Don't Want To Be Lonely	The Main Ingredient
Trying To Hold On To My Woman	Lamont Dozier
The Loco-Motion	Grand Funk
There Won't Be Anymore	Charlie Rich
Tell Me A Lie	Sami Jo
Touch A Hand, Make A Friend	The Staple Singers
Mighty Love - Pt. 1	The Spinners
Tubular Bells	Mike Oldfield
Keep On Singing	Helen Reddy
My Mistake (Was To Love You)	Diana Ross & Marvin Gaye
Let It Ride	Bachman-Turner Overdrive
Dancing Machine	Jackson 5
Love's Theme	Love Unlimited Orchestra
Piano Man	Billy Joel
The Way We Were	Barbra Streisand
Spiders & Snakes	Jim Stafford
My Sweet Lady	Cliff DeYoung
Rock And Roll, Hoochie Koo	Rick Derringer
Until You Come Back To Me (That's What I'm Gonna Do)	Aretha Franklin
(i've Been) Searchin' So Long	Chicago
Outside Woman	Bloodstone
Sexy Mama	Moments
The Show Must Go On	Three Dog Night
I'll Be The Other Woman	The Soul Children
I've Got A Thing About You Baby/Take Good Care Of Her	Elvis Presley
Midnight At The Oasis	Maria Muldaur
Would You Lay With Me (in A Field Of Stone)	Tanya Tucker
Thanks For Saving My Life	Billy Paul
You Make Me Feel Brand New	The Stylistics
Star Baby	The Guess Who
I'm A Train	Albert Hammond
Your Cash Ain't Nothin' But Trash	The Steve Miller Band
Help Me	Joni Mitchell
The Payback - Part I	James Brown
Must Be Love	The James Gang
Heavenly	The Temptations
Mighty Mighty	Earth, Wind & Fire
Once You Understand	Think
Oh Very Young	Cat Stevens
Virginia (Touch Me Like You Do)	Bill Amesbury
The Entertainer	Marvin Hamlisch/"The Sting"
Honey Please, Can't Ya See	Barry White
Put Your Hands Together	The O'Jays
Touch And Go	Al Wilson
Love Song	Anne Murray
Dance With The Devil	Cozy Powell
Happiness Is Me And You	Gilbert O'Sullivan
Unborn Child	Seals & Crofts
Last Time I Saw Him	Diana Ross
Star	Stealers Wheel
Goin' Down Slow	Bobby "Blue" Bland
Watching The River Run	Loggins & Messina
Keep It In The Family	Leon Haywood
Don't You Worry 'Bout A Thing	Stevie Wonder
All In Love Is Fair	Barbra Streisand
Summer Breeze (Part 1)	The Isley Brothers
Skybird	Neil Diamond
Pepper Box	The Peppers
I'm In Love	Aretha Franklin
I Am What I Am	Lois Fletcher
Let's Get Married	Al Green
Rock Around The Clock	Bill Haley And His Comets
Put A Little Love Away	The Emotions
Chameleon	Herbie Hancock
Beyond The Blue Horizon	Lou Christie
A Dream Goes On Forever	Todd Rundgren
Power Of Love	Martha Reeves
Best Thing That Ever Happened To Me	The Persuaders
Loving Arms	Kris Kristofferson & Rita Coolidge
Werewolf	Five Man Electrical Band
One Hell Of A Woman	Mac Davis
Might Just Take Your Life	Deep Purple
It Only Hurts When I Try To Smile	Dawn Featuring Tony Orlando
Under The Influence Of Love	Love Unlimited
So Good	The Eleventh Hour
La Grange	ZZ Top
If It Feels Good, Do It	Ian Lloyd & Stories
Who Is He And What Is He To You	Creative Source
Silver Threads And Golden Needles	Linda Ronstadt
Satisfaction Guaranteed (Or Take Your Love Back)	Harold Melvin And The Blue Notes
Bad, Bad Leroy Brown	Frank Sinatra
