The Streak	Ray Stevens
Dancing Machine	Jackson 5
The Entertainer	Marvin Hamlisch/"The Sting"
The Loco-Motion	Grand Funk
The Show Must Go On	Three Dog Night
Bennie And The Jets	Elton John
Band On The Run	Paul McCartney And Wings
Midnight At The Oasis	Maria Muldaur
(i've Been) Searchin' So Long	Chicago
You Make Me Feel Brand New	The Stylistics
TSOP (The Sound Of Philadelphia)	MFSB Featuring The Three Degrees
I Won't Last A Day Without You	Carpenters
Tubular Bells	Mike Oldfield
Help Me	Joni Mitchell
Just Don't Want To Be Lonely	The Main Ingredient
Oh Very Young	Cat Stevens
Don't You Worry 'Bout A Thing	Stevie Wonder
Best Thing That Ever Happened To Me	Gladys Knight And The Pips
For The Love Of Money	The O'Jays
Sundown	Gordon Lightfoot
Hooked On A Feeling	Blue Swede
My Girl Bill	Jim Stafford
Billy, Don't Be A Hero	Bo Donaldson And The Heywoods
I'm In Love	Aretha Franklin
Come And Get Your Love	Redbone
Oh My My	Ringo Starr
I'll Have To Say I Love You In A Song	Jim Croce
The Payback - Part I	James Brown
Mighty Mighty	Earth, Wind & Fire
Be Thankful For What You Got	William DeVaughn
If You Love Me (let Me Know)	Olivia Newton-John
Hollywood Swinging	Kool & The Gang
My Mistake (Was To Love You)	Diana Ross & Marvin Gaye
Keep On Singing	Helen Reddy
The Lord's Prayer	Sister Janet Mead
Let's Get Married	Al Green
Standing At The End Of The Line	Lobo
Seasons In The Sun	Terry Jacks
Lookin' For A Love	Bobby Womack
Let It Ride	Bachman-Turner Overdrive
You Won't See Me	Anne Murray
Daybreak	Nilsson
Chameleon	Herbie Hancock
Rock Around The Clock	Bill Haley And His Comets
One Hell Of A Woman	Mac Davis
Sunshine On My Shoulders	John Denver
I'm A Train	Albert Hammond
Save The Last Dance For Me	The DeFranco Family featuring Tony DeFranco
A Very Special Love Song	Charlie Rich
Touch A Hand, Make A Friend	The Staple Singers
Another Park, Another Sunday	The Doobie Brothers
No Charge	Melba Montgomery
Piano Man	Billy Joel
The Same Love That Made Me Laugh	Bill Withers
Son Of Sagittarius	Eddie Kendricks
Haven't Got Time For The Pain	Carly Simon
Star Baby	The Guess Who
Thanks For Saving My Life	Billy Paul
Outside Woman	Bloodstone
I Don't See Me In Your Eyes Anymore	Charlie Rich
Satisfaction Guaranteed (Or Take Your Love Back)	Harold Melvin And The Blue Notes
One Chain Don't Make No Prison	Four Tops
La Grange	ZZ Top
(I'm A) YoYo Man	Rick Cunha
If You Wanna Get To Heaven	Ozark Mountain Daredevils
Mockingbird	Carly Simon & James Taylor
Keep It In The Family	Leon Haywood
Werewolf	Five Man Electrical Band
Can You Handle It?	Graham Central Station
Silver Threads And Golden Needles	Linda Ronstadt
The Air That I Breathe	The Hollies
Help Yourself	The Undisputed Truth
Rhapsody In White	Love Unlimited Orchestra
Rikki Don't Lose That Number	Steely Dan
Already Gone	Eagles
Time Will Tell	Tower Of Power
Who Is He And What Is He To You	Creative Source
This Heart	Gene Redding
If I Were A Carpenter...	Leon Russell
Teenage Love Affair	Rick Derringer
Teen Angel	Wednesday
Under The Influence Of Love	Love Unlimited
Sleepin'	Diana Ross
I'm Coming Home	The Spinners
Something	Johnny Rodriguez
Wildflower	The New Birth
Living In The U.s.a.	The Steve Miller Band
Finally Got Myself Together (I'm A Changed Man)	The Impressions
Wonderful	Isaac Hayes
Scratch	The Crusaders
Daybreaker	Electric Light Orchestra
Sideshow	Blue Magic
The Lone Ranger	Oscar Brown Jr.
Radar Love	Golden Earring
(everybody Wanna Get Rich) Rite Away	Dr. John
Come Monday	Jimmy Buffett
After Midnight	Maggie Bell
Takin' Care Of Business	Bachman-Turner Overdrive
Fox Hunt	Herb Alpert & The Tijuana Brass
Bad, Bad Leroy Brown	Frank Sinatra
