Band On The Run	Paul McCartney And Wings
The Streak	Ray Stevens
You Make Me Feel Brand New	The Stylistics
Dancing Machine	Jackson 5
Sundown	Gordon Lightfoot
Billy, Don't Be A Hero	Bo Donaldson And The Heywoods
Help Me	Joni Mitchell
The Entertainer	Marvin Hamlisch/"The Sting"
Midnight At The Oasis	Maria Muldaur
For The Love Of Money	The O'Jays
Be Thankful For What You Got	William DeVaughn
My Girl Bill	Jim Stafford
Oh Very Young	Cat Stevens
The Loco-Motion	Grand Funk
If You Love Me (let Me Know)	Olivia Newton-John
The Show Must Go On	Three Dog Night
Hollywood Swinging	Kool & The Gang
I Won't Last A Day Without You	Carpenters
I'm In Love	Aretha Franklin
You Won't See Me	Anne Murray
Haven't Got Time For The Pain	Carly Simon
Don't You Worry 'Bout A Thing	Stevie Wonder
(i've Been) Searchin' So Long	Chicago
Save The Last Dance For Me	The DeFranco Family featuring Tony DeFranco
Just Don't Want To Be Lonely	The Main Ingredient
Bennie And The Jets	Elton John
TSOP (The Sound Of Philadelphia)	MFSB Featuring The Three Degrees
One Hell Of A Woman	Mac Davis
On And On	Gladys Knight And The Pips
I'm Coming Home	The Spinners
Son Of Sagittarius	Eddie Kendricks
Another Park, Another Sunday	The Doobie Brothers
Mighty Mighty	Earth, Wind & Fire
Come And Get Your Love	Redbone
The Air That I Breathe	The Hollies
The Payback - Part I	James Brown
If You Wanna Get To Heaven	Ozark Mountain Daredevils
Rikki Don't Lose That Number	Steely Dan
No Charge	Melba Montgomery
Sideshow	Blue Magic
One Chain Don't Make No Prison	Four Tops
Best Thing That Ever Happened To Me	Gladys Knight And The Pips
Rock And Roll Heaven	The Righteous Brothers
Rock Around The Clock	Bill Haley And His Comets
Rock The Boat	The Hues Corporation
Already Gone	Eagles
Train Of Thought	Cher
Let's Get Married	Al Green
I Don't See Me In Your Eyes Anymore	Charlie Rich
Wildflower	The New Birth
Can You Handle It?	Graham Central Station
Oh My My	Ringo Starr
Tubular Bells	Mike Oldfield
The Same Love That Made Me Laugh	Bill Withers
Star Baby	The Guess Who
La Grange	ZZ Top
My Mistake (Was To Love You)	Diana Ross & Marvin Gaye
Hooked On A Feeling	Blue Swede
Living In The U.s.a.	The Steve Miller Band
Annie's Song	John Denver
Daybreak	Nilsson
Rock Your Baby	George McCrae
Rhapsody In White	Love Unlimited Orchestra
This Heart	Gene Redding
Radar Love	Golden Earring
Waterloo	ABBA
Satisfaction Guaranteed (Or Take Your Love Back)	Harold Melvin And The Blue Notes
I'm The Leader Of The Gang	Brownsville Station
Takin' Care Of Business	Bachman-Turner Overdrive
Come Monday	Jimmy Buffett
Finally Got Myself Together (I'm A Changed Man)	The Impressions
Help Yourself	The Undisputed Truth
The Lone Ranger	Oscar Brown Jr.
Keep On Smilin'	Wet Willie
When The Morning Comes	Hoyt Axton
King Of Nothing	Seals & Crofts
If You Talk In Your Sleep	Elvis Presley
Sleepin'	Diana Ross
I Hate Hate	Razzy
Wonderful	Isaac Hayes
Rebel Rebel	David Bowie
(I'm A) YoYo Man	Rick Cunha
Lamplight	David Essex
Workin' At The Car Wash Blues	Jim Croce
Ballero	War
Too Late	Tavares
Who Are You	B.B. King
Room Full Of Roses	Mickey Gilley
Please Come To Boston	Dave Loggins
It's Her Turn To Live	Smokey Robinson
Kissin' Time	KISS
Fox Hunt	Herb Alpert & The Tijuana Brass
Dancin' (On A Saturday Night)	Flash Cadillac And The Continental Kids
If You Go Away	Terry Jacks
Sho Nuff Boogie (Part I)	Sylvia And The Moments
The Golden Age Of Rock 'n' Roll	Mott The Hoople
Georgia Porcupine	George Fischoff
Tell Laura I Love Her	Johnny T. Angel
How Do You Feel The Morning After	Millie Jackson
I've Had It	Fanny
