I Shot The Sheriff	Eric Clapton
(You're) Having My Baby	Paul Anka with Odia Coates
Rock Me Gently	Andy Kim
I'm Leaving It (All) Up To You	Donny & Marie Osmond
Can't Get Enough Of Your Love, Babe	Barry White
Nothing From Nothing	Billy Preston
Tell Me Something Good	Rufus Featuring Chaka Khan
Then Came You	Dionne Warwicke & Spinners
You And Me Against The World	Helen Reddy
Clap For The Wolfman	The Guess Who
You Haven't Done Nothin	Stevie Wonder
I Honestly Love You	Olivia Newton-John
Hang On In There Baby	Johnny Bristol
The Night Chicago Died	Paper Lace
Another Saturday Night	Cat Stevens
Beach Baby	First Class
It's Only Rock 'N Roll (But I Like It)	The Rolling Stones
Sweet Home Alabama	Lynyrd Skynyrd
Who Do You Think You Are	Bo Donaldson And The Heywoods
Let's Put It All Together	The Stylistics
Feel Like Makin' Love	Roberta Flack
Rub It In	Billy "Crash" Craddock
Earache My Eye	Cheech & Chong Featuring Alice Bowie
Free Man In Paris	Joni Mitchell
Wild Thing	Fancy
Can't Get Enough	Bad Company
Never My Love	Blue Swede
You Little Trustmaker	The Tymes
I Love My Friend	Charlie Rich
Wildwood Weed	Jim Stafford
Steppin' Out (Gonna Boogie Tonight)	Tony Orlando & Dawn
Stop And Smell The Roses	Mac Davis
Skin Tight	Ohio Players
Keep On Smilin'	Wet Willie
Don't Change Horses (In The Middle Of A Stream)	Tower Of Power
Please Come To Boston	Dave Loggins
Sideshow	Blue Magic
One Hell Of A Woman	Mac Davis
Jazzman	Carole King
Do It Baby	The Miracles
Sugar Baby Love	The Rubettes
I Saw A Man And He Danced With His Wife	Cher
Waterloo	ABBA
Papa Don't Take No Mess (Part I)	James Brown
Shinin' On	Grand Funk
Surfin' U.S.A.	The Beach Boys
Call On Me	Chicago
Takin' Care Of Business	Bachman-Turner Overdrive
It Could Have Been Me	Sami Jo
Don't Let The Sun Go Down On Me	Elton John
Tin Man	America
The Bitch Is Back	Elton John
Fallin' In Love	The Souther, Hillman, Furay Band
One Day At A Time	Marilyn Sellars
Radar Love	Golden Earring
Time For Livin'	Sly & The Family Stone
River's Risin'	Edgar Winter
Midnight Flower	Four Tops
Sure As I'm Sittin' Here	Three Dog Night
Love Me For A Reason	The Osmonds
Live It Up Part 1	The Isley Brothers
Tell Her Love Has Felt The Need	Eddie Kendricks
Rings	Lobo
Annie's Song	John Denver
Ain't Nothing Like The Real Thing	Aretha Franklin
Give It To The People	The Righteous Brothers
Carefree Highway	Gordon Lightfoot
Life Is A Rock (But The Radio Rolled Me)	Reunion
Kings Of The Party	Brownsville Station
Straight Shootin' Woman	Steppenwolf
Happiness Is Just Around The Bend	The Main Ingredient
Kung Fu	Curtis Mayfield
Rock And Roll Heaven	The Righteous Brothers
Rock The Boat	The Hues Corporation
Up For The Down Stroke	Parliament
You Can't Be A Beacon (if Your Light Don't Shine)	Donna Fargo
Rock Your Baby	George McCrae
Door To Your Heart	The Dramatics
City In The Sky	The Staple Singers
Higher Plane	Kool & The Gang
Honey Honey	Sweet Dreams
Blood Is Thicker Than Water	William DeVaughn
Do It, Fluid	The Blackbyrds
The Need To Be	Jim Weatherly
All Shook Up	Suzi Quatro
Boogie Bands And One Night Stands	Kathy Dalton
I'm A Ramblin' Man	Waylon Jennings
Overnight Sensation (Hit Record)	Raspberries
Honey, Honey	ABBA
I've Got The Music In Me	The Kiki Dee Band
Eyes Of Silver	The Doobie Brothers
The Player - Part 1	First Choice
Delta Dirt	Larry Gatlin
My Thang	James Brown
Please Don't Tell Me How The Story Ends	Ronnie Milsap
Wombling Summer Party	The Wombles
Rikki Don't Lose That Number	Steely Dan
On And On	Gladys Knight And The Pips
You Got To Be The One	The Chi-lites
Ain't No Love In The Heart Of The City	Bobby Bland
