I Honestly Love You	Olivia Newton-John
Nothing From Nothing	Billy Preston
Then Came You	Dionne Warwicke & Spinners
Beach Baby	First Class
You Haven't Done Nothin	Stevie Wonder
Clap For The Wolfman	The Guess Who
Another Saturday Night	Cat Stevens
Hang On In There Baby	Johnny Bristol
Sweet Home Alabama	Lynyrd Skynyrd
Earache My Eye	Cheech & Chong Featuring Alice Bowie
Can't Get Enough	Bad Company
Rock Me Gently	Andy Kim
Never My Love	Blue Swede
You Little Trustmaker	The Tymes
Steppin' Out (Gonna Boogie Tonight)	Tony Orlando & Dawn
Stop And Smell The Roses	Mac Davis
Skin Tight	Ohio Players
The Bitch Is Back	Elton John
Jazzman	Carole King
Do It Baby	The Miracles
Love Me For A Reason	The Osmonds
Can't Get Enough Of Your Love, Babe	Barry White
I Shot The Sheriff	Eric Clapton
I Love My Friend	Charlie Rich
(You're) Having My Baby	Paul Anka with Odia Coates
Tin Man	America
Fallin' In Love	The Souther, Hillman, Furay Band
You Ain't Seen Nothing Yet/Free Wheelin'	Bachman-Turner Overdrive
Who Do You Think You Are	Bo Donaldson And The Heywoods
Free Man In Paris	Joni Mitchell
You And Me Against The World	Helen Reddy
Life Is A Rock (But The Radio Rolled Me)	Reunion
Whatever Gets You Thru The Night	John Lennon With The Plastic Ono Nuclear Band
Give It To The People	The Righteous Brothers
Carefree Highway	Gordon Lightfoot
Straight Shootin' Woman	Steppenwolf
One Day At A Time	Marilyn Sellars
Do It ('til You're Satisfied)	B.T. Express
Kings Of The Party	Brownsville Station
Back Home Again	John Denver
I'm Leaving It (All) Up To You	Donny & Marie Osmond
It's Only Rock 'N Roll (But I Like It)	The Rolling Stones
Surfin' U.S.A.	The Beach Boys
Papa Don't Take No Mess (Part I)	James Brown
Tell Me Something Good	Rufus Featuring Chaka Khan
The Need To Be	Jim Weatherly
Let's Put It All Together	The Stylistics
Higher Plane	Kool & The Gang
Devotion	Earth, Wind & Fire
Tell Her Love Has Felt The Need	Eddie Kendricks
Honey, Honey	ABBA
Everlasting Love	Carl Carlton
Blood Is Thicker Than Water	William DeVaughn
Feel Like Makin' Love	Roberta Flack
Second Avenue	Garfunkel
I've Got The Music In Me	The Kiki Dee Band
Overnight Sensation (Hit Record)	Raspberries
The Night Chicago Died	Paper Lace
Longfellow Serenade	Neil Diamond
Wild Thing	Fancy
Ain't Nothing Like The Real Thing	Aretha Franklin
Love Don't Love Nobody - Pt. I	The Spinners
Up For The Down Stroke	Parliament
People Gotta Move	Gino Vannelli
My Melody Of Love	Bobby Vinton
So You Are A Star	The Hudson Brothers
Live It Up Part 1	The Isley Brothers
Honey Honey	Sweet Dreams
Wildwood Weed	Jim Stafford
You Can Have Her	Sam Neely
My Country	Jud Strunk
Second Avenue	Tim Moore
She Called Me Baby	Charlie Rich
Distant Lover	Marvin Gaye
Don't Send Nobody Else	Ace Spectrum
Virgin Man	Smokey Robinson
Sha-La-La (Make Me Happy)	Al Green
Play Something Sweet (Brickyard Blues)	Three Dog Night
Boogie Bands And One Night Stands	Kathy Dalton
I Can Help	Billy Swan
La La Peace Song	O.C. Smith
Do It, Fluid	The Blackbyrds
James Dean	Eagles
When Will I See You Again	The Three Degrees
I'm A Ramblin' Man	Waylon Jennings
The Player - Part 1	First Choice
After The Goldrush	Prelude
Cat's In The Cradle	Harry Chapin
She's Gone	Tavares
Travelin' Shoes	Elvin Bishop
Doraville	Atlanta Rhythm Section
Fairytale	The Pointer Sisters
Sugar Pie Guy Pt. 1	The Joneses
La La Peace Song	Al Wilson
Delta Dirt	Larry Gatlin
Rub It In	Billy "Crash" Craddock
Sideshow	Blue Magic
One Hell Of A Woman	Mac Davis
It Could Have Been Me	Sami Jo
I Saw A Man And He Danced With His Wife	Cher
