Kung Fu Fighting	Carl Douglas
When Will I See You Again	The Three Degrees
I Can Help	Billy Swan
Cat's In The Cradle	Harry Chapin
Angie Baby	Helen Reddy
Do It ('til You're Satisfied)	B.T. Express
You're The First, The Last, My Everything	Barry White
Sha-La-La (Make Me Happy)	Al Green
Lucy In The Sky With Diamonds	Elton John
Junior's Farm/Sally G	Paul McCartney And Wings
You Got The Love	Rufus Featuring Chaka Khan
You Ain't Seen Nothing Yet/Free Wheelin'	Bachman-Turner Overdrive
Fairytale	The Pointer Sisters
Promised Land	Elvis Presley
Wishing You Were Here	Chicago
Laughter In The Rain	Neil Sedaka
Ain't Too Proud To Beg	The Rolling Stones
Only You	Ringo Starr
My Melody Of Love	Bobby Vinton
Must Of Got Lost	The J. Geils Band
I Feel A Song (In My Heart)/Don't Burn Down The Bridge	Gladys Knight And The Pips
Longfellow Serenade	Neil Diamond
Boogie On Reggae Woman	Stevie Wonder
One Man Woman/One Woman Man	Paul Anka with Odia Coates
Bungle In The Jungle	Jethro Tull
Willie And The Hand Jive	Eric Clapton
Ride 'em Cowboy	Paul Davis
Never Can Say Goodbye	Gloria Gaynor
I've Got The Music In Me	The Kiki Dee Band
Mandy	Barry Manilow
Please Mr. Postman	Carpenters
Dark Horse	George Harrison
Woman To Woman	Shirley Brown
Morning Side Of The Mountain	Donny & Marie Osmond
Dream On	The Righteous Brothers
Everlasting Love	Carl Carlton
Fire, Baby I'm On Fire	Andy Kim
Dancin' Fool	The Guess Who
The Heartbreak Kid	Bo Donaldson And The Heywoods
Whatever Gets You Thru The Night	John Lennon With The Plastic Ono Nuclear Band
Touch Me	Fancy
Back Home Again	John Denver
Let's Straighten It Out	Latimore
Doctor's Orders	Carol Douglas
Heavy Fallin' Out	The Stylistics
After The Goldrush	Prelude
Whatever You Got, I Want	Jackson 5
Without Love	Aretha Franklin
Funky President (People It's Bad)/Coldblooded	James Brown
Rock N' Roll (I Gave You The Best Years Of My Life)	Mac Davis
Rockin' Soul	The Hues Corporation
The Need To Be	Jim Weatherly
Get Dancin'	Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
The Entertainer	Billy Joel
Tin Man	America
So You Are A Star	The Hudson Brothers
Sugar Pie Guy Pt. 1	The Joneses
Ruby, Baby	Billy "Crash" Craddock
You And I	Johnny Bristol
She's Gone	Tavares
Best Of My Love	Eagles
From His Woman To You	Barbara Mason
I Belong To You	Love Unlimited
Free Bird	Lynyrd Skynyrd
Pick Up The Pieces	AWB
Black Lassie (Featuring Johnny Stash)	Cheech & Chong
Some Kind Of Wonderful	Grand Funk
My Eyes Adored You	Frankie Valli
Play Something Sweet (Brickyard Blues)	Three Dog Night
Someday	Dave Loggins
Ready	Cat Stevens
Shoe Shoe Shine	Dynamic Superiors
Fire	Ohio Players
You're No Good	Linda Ronstadt
Sunshine Part II	The O'Jays
I'll Be Your Everything	Percy Sledge
I Feel Sanctified	Commodores
Changes	David Bowie
Sunshine Roses	Gene Cotton
Struttin'	Billy Preston
Philadelphia	B.B. King
My Main Man	The Staple Singers
Dreams Are Ten A Penny	The First Class
One Tear	Eddie Kendricks
I Am I Am	Smokey Robinson
Life Is A Rock (But The Radio Rolled Me)	Reunion
Sexy Ida (Part 1)	Ike & Tina Turner
Love Don't Love Nobody - Pt. I	The Spinners
Where Are All My Friends	Harold Melvin And The Blue Notes
People Gotta Move	Gino Vannelli
Baby, Hang Up The Phone	Carl Graves
I Wouldn't Treat A Dog (The Way You Treated Me)	Bobby Bland
Mine For Me	Rod Stewart
Jazzman	Carole King
Lady	Styx
Costafine Town	Splinter
When A Child Is Born	Michael Holm
Don't Call Us, We'll Call You	Sugarloaf/Jerry Corbetta
Three Ring Circus	Blue Magic
Ride The Tiger	Jefferson Starship
