Please Mr. Postman	Carpenters
Laughter In The Rain	Neil Sedaka
Mandy	Barry Manilow
Fire	Ohio Players
Boogie On Reggae Woman	Stevie Wonder
You're No Good	Linda Ronstadt
One Man Woman/One Woman Man	Paul Anka with Odia Coates
Morning Side Of The Mountain	Donny & Marie Osmond
Never Can Say Goodbye	Gloria Gaynor
Pick Up The Pieces	AWB
Lucy In The Sky With Diamonds	Elton John
Some Kind Of Wonderful	Grand Funk
Doctor's Orders	Carol Douglas
Get Dancin'	Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
Best Of My Love	Eagles
Rock N' Roll (I Gave You The Best Years Of My Life)	Mac Davis
Junior's Farm/Sally G	Paul McCartney And Wings
You're The First, The Last, My Everything	Barry White
Free Bird	Lynyrd Skynyrd
Black Water	The Doobie Brothers
#9 Dream	John Lennon
Struttin'	Billy Preston
Look In My Eyes Pretty Woman	Tony Orlando & Dawn
Bungle In The Jungle	Jethro Tull
Sweet Surrender	John Denver
Ready	Cat Stevens
Only You	Ringo Starr
Nightingale	Carole King
Lonely People	America
Your Bulldog Drinks Champagne	Jim Stafford
Lady	Styx
My Eyes Adored You	Frankie Valli
Can't Get It Out Of My Head	Electric Light Orchestra
I Belong To You	Love Unlimited
The Entertainer	Billy Joel
Angie Baby	Helen Reddy
Ride 'em Cowboy	Paul Davis
Kung Fu Fighting	Carl Douglas
I'm A Woman	Maria Muldaur
Big Yellow Taxi	Joni Mitchell
Happy People	The Temptations
From His Woman To You	Barbara Mason
Changes	David Bowie
Cat's In The Cradle	Harry Chapin
I Feel A Song (In My Heart)/Don't Burn Down The Bridge	Gladys Knight And The Pips
Ding Dong; Ding Dong	George Harrison
Don't Call Us, We'll Call You	Sugarloaf/Jerry Corbetta
You Got The Love	Rufus Featuring Chaka Khan
Dark Horse	George Harrison
Baby, Hang Up The Phone	Carl Graves
As Long As He Takes Care Of Home	Candi Staton
Dancin' Fool	The Guess Who
When A Child Is Born	Michael Holm
Woman To Woman	Shirley Brown
Roll On Down The Highway	Bachman-Turner Overdrive
I Am I Am	Smokey Robinson
To The Door Of The Sun (Alle Porte Del Sole)	Al Martino
Movin' On	Bad Company
Day Tripper	Anne Murray
Poetry Man	Phoebe Snow
Lady Marmalade	Labelle
Up In A Puff Of Smoke	Polly Brown
Have You Never Been Mellow	Olivia Newton-John
You Are So Beautiful/It's A Sin When You Love Somebody	Joe Cocker
Ain't That Peculiar	Diamond Reo
Hoppy, Gene And Me	Roy Rogers
Don't Take Your Love	The Manhattans
Sad Sweet Dreamer	Sweet Sensation
Do It ('til You're Satisfied)	B.T. Express
Lovin' You	Minnie Riperton
Sha-La-La (Make Me Happy)	Al Green
I've Got The Music In Me	The Kiki Dee Band
Midnight Sky (Part 1)	The Isley Brothers
I Am Love (Parts I & II)	Jackson 5
Rhyme Tyme People	Kool & The Gang
Shame, Shame, Shame	Shirley And Company
Costafine Town	Splinter
Star On A TV Show	The Stylistics
When Will I See You Again	The Three Degrees
Hot Dawgit	Ramsey Lewis And Earth, Wind & Fire
Never Let Her Go	David Gates
My Boy	Elvis Presley
Future Shock	Hello People
I Can Help	Billy Swan
Express	B.T. Express
Thanks For The Smiles	Charlie Ross
Let Me Start Tonite	Lamont Dozier
It's All Right	Jim Capaldi
If Loving You Is Wrong I Don't Want To Be Right	Millie Jackson
I Get Lifted	George McCrae
One Tear	Eddie Kendricks
Wishing You Were Here	Chicago
I Won't Last A Day Without You/Let Me Be The One	Al Wilson
We May Never Love Like This Again	Maureen McGovern
Devil In The Bottle	T.G. Sheppard
Gee Baby	Peter Shelley
Chico And The Man	Jose Feliciano
Crazy Talk	Chilliwack
Isn't It Lonely Together	Stark & McBrien
I'll Still Love You	Jim Weatherly
