Best Of My Love	Eagles
Have You Never Been Mellow	Olivia Newton-John
Black Water	The Doobie Brothers
My Eyes Adored You	Frankie Valli
Some Kind Of Wonderful	Grand Funk
Lonely People	America
Pick Up The Pieces	AWB
Lady Marmalade	Labelle
Nightingale	Carole King
Lady	Styx
Can't Get It Out Of My Head	Electric Light Orchestra
I'm A Woman	Maria Muldaur
#9 Dream	John Lennon
Roll On Down The Highway	Bachman-Turner Overdrive
Don't Call Us, We'll Call You	Sugarloaf/Jerry Corbetta
Express	B.T. Express
Poetry Man	Phoebe Snow
You're No Good	Linda Ronstadt
Movin' On	Bad Company
Up In A Puff Of Smoke	Polly Brown
To The Door Of The Sun (Alle Porte Del Sole)	Al Martino
Lovin' You	Minnie Riperton
My Boy	Elvis Presley
You Are So Beautiful/It's A Sin When You Love Somebody	Joe Cocker
Sad Sweet Dreamer	Sweet Sensation
I Am Love (Parts I & II)	Jackson 5
Shame, Shame, Shame	Shirley And Company
Fire	Ohio Players
Sweet Surrender	John Denver
Never Let Her Go	David Gates
No No Song/snookeroo	Ringo Starr
Look In My Eyes Pretty Woman	Tony Orlando & Dawn
Doctor's Orders	Carol Douglas
I've Been This Way Before	Neil Diamond
Boogie On Reggae Woman	Stevie Wonder
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song	B.J. Thomas
I Get Lifted	George McCrae
Chevy Van	Sammy Johns
Emotion	Helen Reddy
Part Of The Plan	Dan Fogelberg
Harry Truman	Chicago
If Loving You Is Wrong I Don't Want To Be Right	Millie Jackson
Don't Take Your Love	The Manhattans
Please Mr. Postman	Carpenters
Once You Get Started	Rufus Featuring Chaka Khan
Supernatural Thing - Part I	Ben E. King
Emma	Hot Chocolate
Before The Next Teardrop Falls	Freddy Fender
Wolf Creek Pass	C.W. McCall
Good Times, Rock & Roll	Flash Cadillac And The Continental Kids
My Elusive Dreams	Charlie Rich
Butter Boy	Fanny
The South's Gonna Do It	The Charlie Daniels Band
I Fought The Law	Sam Neely
It's All Right	Jim Capaldi
Walking In Rhythm	The Blackbyrds
Get Dancin'	Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
Satin Soul	Love Unlimited Orchestra
Devil In The Bottle	T.G. Sheppard
I Belong To You	Love Unlimited
Laughter In The Rain	Neil Sedaka
Dance The Kung Fu	Carl Douglas
Shining Star	Earth, Wind & Fire
Junior's Farm/Sally G	Paul McCartney And Wings
The Bertha Butt Boogie-Part 1	The Jimmy Castor Bunch
Mandy	Barry Manilow
Jackie Blue	Ozark Mountain Daredevils
Star On A TV Show	The Stylistics
L-O-V-E (Love)	Al Green
Long Tall Glasses (I Can Dance)	Leo Sayer
Lucy In The Sky With Diamonds	Elton John
Big Yellow Taxi	Joni Mitchell
Hush/I'm Alive	Blue Swede
Love Corporation	The Hues Corporation
I Have A Dream	Donny Osmond
Shoeshine Boy	Eddie Kendricks
I Wanna Learn A Love Song	Harry Chapin
Love Finds It's Own Way	Gladys Knight And The Pips
Killer Queen	Queen
Future Shock	Hello People
Morning Side Of The Mountain	Donny & Marie Osmond
It's A Miracle	Barry Manilow
Linda On My Mind	Conway Twitty
Like A Sunday Morning	Lana Cantrell
Reality	James Brown
Leona	Wet Willie
I'll Be Holding On	Al Downing
Bump Me Baby Part 1	Dooley Silverspoon
We're Almost There	Michael Jackson
Don't Let Go	Commander Cody
Smokin' Room	Carl Carlton
Angel (What In The World's Come Over Us)	Atlanta Rhythm Section
Hijack	Herbie Mann
Showdown	Odia Coates
The Pill	Loretta Lynn
Amie	Pure Prairie League
Isn't It Lonely Together	Stark & McBrien
Toby/that's How Long	The Chi-lites
Turn To Stone	Joe Walsh
Only One Woman	Nigel Olsson
