Black Water	The Doobie Brothers
My Eyes Adored You	Frankie Valli
Lady Marmalade	Labelle
Have You Never Been Mellow	Olivia Newton-John
Lovin' You	Minnie Riperton
Lady	Styx
Lonely People	America
Express	B.T. Express
Can't Get It Out Of My Head	Electric Light Orchestra
Don't Call Us, We'll Call You	Sugarloaf/Jerry Corbetta
Poetry Man	Phoebe Snow
You Are So Beautiful/It's A Sin When You Love Somebody	Joe Cocker
Best Of My Love	Eagles
No No Song/snookeroo	Ringo Starr
Shame, Shame, Shame	Shirley And Company
Up In A Puff Of Smoke	Polly Brown
To The Door Of The Sun (Alle Porte Del Sole)	Al Martino
Sad Sweet Dreamer	Sweet Sensation
I Am Love (Parts I & II)	Jackson 5
My Boy	Elvis Presley
Pick Up The Pieces	AWB
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song	B.J. Thomas
Once You Get Started	Rufus Featuring Chaka Khan
Chevy Van	Sammy Johns
Emotion	Helen Reddy
Roll On Down The Highway	Bachman-Turner Overdrive
Harry Truman	Chicago
I'm A Woman	Maria Muldaur
Emma	Hot Chocolate
Supernatural Thing - Part I	Ben E. King
Part Of The Plan	Dan Fogelberg
Before The Next Teardrop Falls	Freddy Fender
Movin' On	Bad Company
Never Let Her Go	David Gates
Philadelphia Freedom	The Elton John Band
Butter Boy	Fanny
The South's Gonna Do It	The Charlie Daniels Band
Walking In Rhythm	The Blackbyrds
Fire	Ohio Players
Satin Soul	Love Unlimited Orchestra
Shining Star	Earth, Wind & Fire
I Get Lifted	George McCrae
Wolf Creek Pass	C.W. McCall
The Bertha Butt Boogie-Part 1	The Jimmy Castor Bunch
You're No Good	Linda Ronstadt
Nightingale	Carole King
Jackie Blue	Ozark Mountain Daredevils
L-O-V-E (Love)	Al Green
Long Tall Glasses (I Can Dance)	Leo Sayer
What Am I Gonna Do With You	Barry White
I've Been This Way Before	Neil Diamond
Dance The Kung Fu	Carl Douglas
It's A Miracle	Barry Manilow
Devil In The Bottle	T.G. Sheppard
He Don't Love You (Like I Love You)	Tony Orlando & Dawn
I Wanna Learn A Love Song	Harry Chapin
Tangled Up In Blue	Bob Dylan
Love Finds It's Own Way	Gladys Knight And The Pips
I Have A Dream	Donny Osmond
Killer Queen	Queen
Hush/I'm Alive	Blue Swede
Love Corporation	The Hues Corporation
Like A Sunday Morning	Lana Cantrell
Shoeshine Boy	Eddie Kendricks
Linda On My Mind	Conway Twitty
Living A Little, Laughing A Little	The Spinners
Don't Let Go	Commander Cody
We're Almost There	Michael Jackson
Who's Sorry Now	Marie Osmond
Leona	Wet Willie
I Don't Like To Sleep Alone	Paul Anka with Odia Coates
Good Times, Rock & Roll	Flash Cadillac And The Continental Kids
Doctor's Orders	Carol Douglas
The Pill	Loretta Lynn
I'm Her Fool	Billy Swan
Amie	Pure Prairie League
How Long	Ace
Stand By Me	John Lennon
Please Mr. Postman	Carpenters
Reality	James Brown
Bump Me Baby Part 1	Dooley Silverspoon
Angel (What In The World's Come Over Us)	Atlanta Rhythm Section
Showdown	Odia Coates
Young Americans	David Bowie
I'll Be Holding On	Al Downing
Beer Barrel Polka/Dick And Jane	Bobby Vinton
Autobahn	Kraftwerk
I Fought The Law	Sam Neely
Live Your Life Before You Die	The Pointer Sisters
Runaway	Charlie Kulis
Only One Woman	Nigel Olsson
Toby/that's How Long	The Chi-lites
Shaving Cream	Benny Bell
Everybody Wants To Find A Bluebird	Randy Edelman
Swing Your Daddy	Jim Gilstrap
You're A Part Of Me	Susan Jacks
Black Superman - "Muhammad Ali"	Johnny Wakelin & The Kinshasa Band
Sneaky Snake	Tom T. Hall
Cry To Me	Loleatta Holloway
Turn To Stone	Joe Walsh
