Lovin' You	Minnie Riperton
Philadelphia Freedom	The Elton John Band
No No Song/snookeroo	Ringo Starr
Express	B.T. Express
You Are So Beautiful/It's A Sin When You Love Somebody	Joe Cocker
Poetry Man	Phoebe Snow
Lady Marmalade	Labelle
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song	B.J. Thomas
Have You Never Been Mellow	Olivia Newton-John
My Eyes Adored You	Frankie Valli
Once You Get Started	Rufus Featuring Chaka Khan
Chevy Van	Sammy Johns
Harry Truman	Chicago
What Am I Gonna Do With You	Barry White
Emma	Hot Chocolate
Supernatural Thing - Part I	Ben E. King
Before The Next Teardrop Falls	Freddy Fender
Walking In Rhythm	The Blackbyrds
L-O-V-E (Love)	Al Green
Shining Star	Earth, Wind & Fire
Don't Call Us, We'll Call You	Sugarloaf/Jerry Corbetta
Satin Soul	Love Unlimited Orchestra
Long Tall Glasses (I Can Dance)	Leo Sayer
Shame, Shame, Shame	Shirley And Company
The Bertha Butt Boogie-Part 1	The Jimmy Castor Bunch
Jackie Blue	Ozark Mountain Daredevils
He Don't Love You (Like I Love You)	Tony Orlando & Dawn
It's A Miracle	Barry Manilow
Butter Boy	Fanny
Sad Sweet Dreamer	Sweet Sensation
Tangled Up In Blue	Bob Dylan
Killer Queen	Queen
I Am Love (Parts I & II)	Jackson 5
Shoeshine Boy	Eddie Kendricks
How Long	Ace
Stand By Me	John Lennon
Living A Little, Laughing A Little	The Spinners
I Don't Like To Sleep Alone	Paul Anka with Odia Coates
Thank God I'm A Country Boy	John Denver
Who's Sorry Now	Marie Osmond
Black Water	The Doobie Brothers
Lady	Styx
The South's Gonna Do It	The Charlie Daniels Band
Amie	Pure Prairie League
Shaving Cream	Benny Bell
Autobahn	Kraftwerk
Only Yesterday	Carpenters
Love Finds It's Own Way	Gladys Knight And The Pips
Wolf Creek Pass	C.W. McCall
Emotion	Helen Reddy
Young Americans	David Bowie
Beer Barrel Polka/Dick And Jane	Bobby Vinton
I'm Her Fool	Billy Swan
We're Almost There	Michael Jackson
Sneaky Snake	Tom T. Hall
I Wanna Learn A Love Song	Harry Chapin
Can't Get It Out Of My Head	Electric Light Orchestra
Shakey Ground	The Temptations
Best Of My Love	Eagles
My Boy	Elvis Presley
Linda On My Mind	Conway Twitty
Love Won't Let Me Wait	Major Harris
Runaway	Charlie Kulis
Reach Out, I'll Be There	Gloria Gaynor
To The Door Of The Sun (Alle Porte Del Sole)	Al Martino
Sun Goddess	Ramsey Lewis And Earth, Wind & Fire
Swing Your Daddy	Jim Gilstrap
Fire	Ohio Players
Bad Time	Grand Funk
My Little Lady	Bloodstone
Sister Golden Hair	America
The Immigrant	Neil Sedaka
Rainy Day People	Gordon Lightfoot
The Pill	Loretta Lynn
Don't Tell Me Goodnight	Lobo
Hijack	Herbie Mann
Cry To Me	Loleatta Holloway
Bad Luck (Part 1)	Harold Melvin And The Blue Notes
You Brought The Woman Out Of Me	Evie Sands
(if You Add) All The Love In The World	Mac Davis
I'll Play For You	Seals & Crofts
Toby/that's How Long	The Chi-lites
Only Women	Alice Cooper
Magic	Pilot
One Beautiful Day	Ecstasy, Passion & Pain
Growin'	Loggins & Messina
Touch Me Baby (reaching Out For Your Love)	Tamiko Jones
I'm Not Lisa	Jessi Colter
Black Superman - "Muhammad Ali"	Johnny Wakelin & The Kinshasa Band
Pinball	Brian Protheroe
Live Your Life Before You Die	The Pointer Sisters
Spirit Of The Boogie/Summer Madness	Kool & The Gang
Showdown	Odia Coates
Wildfire	Michael Murphey
Get Down, Get Down (Get On The Floor)	Joe Simon
Where Is The Love	Betty Wright
The Last Farewell	Roger Whittaker
My First Day Without Her	Dennis Yost And The Classics IV
Hang On Sloopy	Rick Derringer
You're A Part Of Me	Susan Jacks
