One Of These Nights	Eagles
I'm Not In Love	10cc
Jive Talkin'	Bee Gees
Please Mr. Please	Olivia Newton-John
The Hustle	Van McCoy & The Soul City Symphony
Someone Saved My Life Tonight	Elton John
Midnight Blue	Melissa Manchester
Listen To What The Man Said	Wings
Rockin' Chair	Gwen McCrae
Dynomite-Part I	Tony Camillo's Bazuka
The Way We Were/try To Remember	Gladys Knight And The Pips
Why Can't We Be Friends?	War
The Rockford Files	Mike Post
Rhinestone Cowboy	Glen Campbell
How Sweet It Is (To Be Loved By You)	James Taylor
I'm On Fire	Dwight Twilley Band
Love Will Keep Us Together	The Captain & Tennille
Mornin' Beautiful	Tony Orlando & Dawn
Every Time You Touch Me (I Get High)	Charlie Rich
Slippery When Wet	Commodores
Swearin' To God	Frankie Valli
Fight The Power Part 1	The Isley Brothers
At Seventeen	Janis Ian
Fallin' In Love	Hamilton, Joe Frank & Reynolds
Holdin' On To Yesterday	Ambrosia
Just A Little Bit Of You	Michael Jackson
Saturday Night Special	Lynyrd Skynyrd
Wasted Days And Wasted Nights	Freddy Fender
Feel Like Makin' Love	Bad Company
Could It Be Magic	Barry Manilow
That's The Way Of The World	Earth, Wind & Fire
Get Down Tonight	KC And The Sunshine Band
Ballroom Blitz	Sweet
Third Rate Romance	Amazing Rhythm Aces
Bluebird	Helen Reddy
Send In The Clowns	Judy Collins
That's When The Music Takes Me	Neil Sedaka
Rendezvous	The Hudson Brothers
Fame	David Bowie
Look At Me (I'm In Love)	Moments
(Shu-Doo-Pa-Poo-Poop) Love Being Your Fool	Travis Wammack
Hope That We Can Be Together Soon	Sharon Paige and Harold Melvin And The Blue Notes
Disco Queen	Hot Chocolate
Help Me Rhonda	Johnny Rivers
Til The World Ends	Three Dog Night
Magic	Pilot
Tush	ZZ Top
Oh Me, Oh My (Dreams In My Arms)	Al Green
Black Superman - "Muhammad Ali"	Johnny Wakelin & The Kinshasa Band
Misty	Ray Stevens
Glasshouse	The Temptations
The Biggest Parakeets In Town	Jud Strunk
Wildfire	Michael Murphey
Two Fine People	Cat Stevens
Daisy Jane	America
Feelings	Morris Albert
Blue Sky	Joan Baez
(I Believe) There's Nothing Stronger Than Our Love	Paul Anka/Odia Coates
Get The Cream Off The Top	Eddie Kendricks
Forever Came Today	Jackson 5
Free Man	South Shore Commission
It Doesn't Matter Anymore/When Will I Be Loved	Linda Ronstadt
Sweet Emotion	Aerosmith
How Long (Betcha' Got A Chick On The Side)	The Pointer Sisters
The Proud One	The Osmonds
Can't Give You Anything (but My Love)	The Stylistics
Dream Merchant	New Birth
Dance With Me	Orleans
Action Speaks Louder Than Words	Chocolate Milk
Hey You	Bachman-Turner Overdrive
Sexy	MFSB
It Only Takes A Minute	Tavares
7-6-5-4-3-2-1 (Blow Your Whistle)	Gary Toms Empire
Sooner Or Later	The Impressions
Let Me Make Love To You	The O'Jays
Solitaire	Carpenters
Sweet Maxine	The Doobie Brothers
Run Joey Run	David Geddes
Rocky	Austin Roberts
Waterfall	Carly Simon
I Believe I'm Gonna Love You	Frank Sinatra
Rock & Roll Runaway	Ace
Sneakin' Up Behind You	The Brecker Brothers
Please Tell Him That I Said Hello	Debbie Campbell
Flyin' High	The Blackbyrds
I Love Makin' Love To You	Evie Sands
Keep Your Eye On The Sparrow	Merry Clayton
Brazil	The Ritchie Family
Like They Say In L.A.	East L.A. Car Pool
Life And Death In G&A	Love Childs Afro Cuban Blues Band
Alvin Stone (The Birth & Death Of A Gangster)	Fantastic Four
Shoes	Reparata
Sure Feels Good	Elvin Bishop
Three Steps From True Love	The Reflections
Lady Blue	Leon Russell
If You Think You Know How To Love Me	Smokey
Mamacita	The Grass Roots
For Your Love	Christopher Paul And Shawn
Chase The Clouds Away	Chuck Mangione
Honey Trippin'	The Mystic Moods
