Jive Talkin'	Bee Gees
One Of These Nights	Eagles
Please Mr. Please	Olivia Newton-John
Someone Saved My Life Tonight	Elton John
Fallin' In Love	Hamilton, Joe Frank & Reynolds
Rhinestone Cowboy	Glen Campbell
Why Can't We Be Friends?	War
How Sweet It Is (To Be Loved By You)	James Taylor
Midnight Blue	Melissa Manchester
The Rockford Files	Mike Post
I'm Not In Love	10cc
Get Down Tonight	KC And The Sunshine Band
Love Will Keep Us Together	The Captain & Tennille
Mornin' Beautiful	Tony Orlando & Dawn
Fight The Power Part 1	The Isley Brothers
At Seventeen	Janis Ian
Listen To What The Man Said	Wings
Holdin' On To Yesterday	Ambrosia
Could It Be Magic	Barry Manilow
Wasted Days And Wasted Nights	Freddy Fender
Feel Like Makin' Love	Bad Company
That's The Way Of The World	Earth, Wind & Fire
Just A Little Bit Of You	Michael Jackson
Ballroom Blitz	Sweet
Third Rate Romance	Amazing Rhythm Aces
Help Me Rhonda	Johnny Rivers
That's When The Music Takes Me	Neil Sedaka
Rendezvous	The Hudson Brothers
Dynomite-Part I	Tony Camillo's Bazuka
Fame	David Bowie
Tush	ZZ Top
Til The World Ends	Three Dog Night
Black Superman - "Muhammad Ali"	Johnny Wakelin & The Kinshasa Band
The Hustle	Van McCoy & The Soul City Symphony
(I Believe) There's Nothing Stronger Than Our Love	Paul Anka/Odia Coates
Daisy Jane	America
Two Fine People	Cat Stevens
(Shu-Doo-Pa-Poo-Poop) Love Being Your Fool	Travis Wammack
Look At Me (I'm In Love)	Moments
Solitaire	Carpenters
Glasshouse	The Temptations
The Proud One	The Osmonds
How Long (Betcha' Got A Chick On The Side)	The Pointer Sisters
Dream Merchant	New Birth
Feelings	Morris Albert
Hope That We Can Be Together Soon	Sharon Paige and Harold Melvin And The Blue Notes
It Doesn't Matter Anymore/When Will I Be Loved	Linda Ronstadt
Dance With Me	Orleans
Send In The Clowns	Judy Collins
It Only Takes A Minute	Tavares
Can't Give You Anything (but My Love)	The Stylistics
Sweet Maxine	The Doobie Brothers
I'm On Fire	Dwight Twilley Band
Run Joey Run	David Geddes
Get The Cream Off The Top	Eddie Kendricks
Slippery When Wet	Commodores
The Way We Were/try To Remember	Gladys Knight And The Pips
Rocky	Austin Roberts
Rockin' Chair	Gwen McCrae
I Believe I'm Gonna Love You	Frank Sinatra
Swearin' To God	Frankie Valli
Ain't No Way To Treat A Lady	Helen Reddy
Every Time You Touch Me (I Get High)	Charlie Rich
I'm Sorry	John Denver
Brazil	The Ritchie Family
Keep Your Eye On The Sparrow	Merry Clayton
Gone At Last	Paul Simon/Phoebe Snow
Sooner Or Later	The Impressions
7-6-5-4-3-2-1 (Blow Your Whistle)	Gary Toms Empire
They Just Can't Stop It the (Games People Play)	The Spinners
Rock & Roll Runaway	Ace
Give It What You Got/Peace Pipe	B.T. Express
I Love Makin' Love To You	Evie Sands
Flyin' High	The Blackbyrds
Lady Blue	Leon Russell
Like They Say In L.A.	East L.A. Car Pool
Your Love	Graham Central Station
Forever Came Today	Jackson 5
Magic	Pilot
Carolina In The Pines	Michael Murphey
Alvin Stone (The Birth & Death Of A Gangster)	Fantastic Four
Inside My Love	Minnie Riperton
What A Diff'rence A Day Makes	Esther Phillips
S.O.S.	ABBA
Main Title (Theme From "Jaws")	John Williams/"Jaws" Soundtrack
Por Amor Viviremos	Captain & Tennille
Dreaming A Dream	Crown Heights Affair
Turn Back The Pages	Stephen Stills
I Got Stoned And I Missed It	Jim Stafford
Department Of Youth	Alice Cooper
Mamacita	The Grass Roots
You Are A Song	Batdorf & Rodney
For Your Love	Christopher Paul And Shawn
Katmandu	Bob Seger
To Each His Own	Faith, Hope And Charity
We Been Singin' Songs	Baron Stewart
House Of Strangers	Jim Gilstrap
Honey Trippin'	The Mystic Moods
(Call Me Your) Anything Man	Bobby Moore
What You Got	Duke & The Drivers
