Island Girl	Elton John
Lyin' Eyes	Eagles
Who Loves You	The 4 Seasons
Miracles	Jefferson Starship
Heat Wave/love Is A Rose	Linda Ronstadt
That's The Way (I Like It)	KC And The Sunshine Band
This Will Be	Natalie Cole
Feelings	Morris Albert
The Way I Want To Touch You	Captain & Tennille
Low Rider	War
They Just Can't Stop It the (Games People Play)	The Spinners
I'm Sorry	John Denver
Sky High	Jigsaw
Nights On Broadway	Bee Gees
S.O.S.	ABBA
Fly, Robin, Fly	Silver Convention
Something Better To Do	Olivia Newton-John
Do It Any Way You Wanna	People's Choice
My Little Town	Simon & Garfunkel
What A Diff'rence A Day Makes	Esther Phillips
Let's Do It Again	The Staple Singers
I Only Have Eyes For You	Art Garfunkel
Eighteen With A Bullet	Pete Wingfield
Bad Blood	Neil Sedaka
Blue Eyes Crying In The Rain	Willie Nelson
Operator	The Manhattan Transfer
Saturday Night	Bay City Rollers
I Want'a Do Something Freaky To You	Leon Haywood
Our Day Will Come	Frankie Valli
Just Too Many People	Melissa Manchester
Give It What You Got/Peace Pipe	B.T. Express
Secret Love	Freddy Fender
Brazil	The Ritchie Family
Lady Blue	Leon Russell
Diamonds And Rust	Joan Baez
Venus And Mars Rock Show	Wings
I Love Music (Part 1)	The O'Jays
It Only Takes A Minute	Tavares
You	George Harrison
I'm On Fire	5000 Volts
The Agony And The Ecstasy	Smokey Robinson
Born To Run	Bruce Springsteen
Ballroom Blitz	Sweet
The Last Game Of The Season (A Blind Man In The Bleachers)	David Geddes
Since I Met You Baby	Freddy Fender
Change With The Times	Van Mccoy
Fox On The Run	Sweet
I Write The Songs	Barry Manilow
Mexico	James Taylor
Keep On Tryin'	Poco
Love Rollercoaster	Ohio Players
Part Time Love	Gladys Knight And The Pips
Theme From Mahogany (Do You Know Where You're Going To)	Diana Ross
(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P	Cheech & Chong
Welcome To My Nightmare	Alice Cooper
Rock And Roll All Nite (live)	KISS
Times Of Your Life	Paul Anka
For The Love Of You (Part 1&2)	The Isley Brothers
Skybird	Tony Orlando & Dawn
Are You Sure Hank Done It This Way	Waylon Jennings
To Each His Own	Faith, Hope And Charity
Love Power	Willie Hutch
Country Boy (You Got Your Feet In L.A.)	Glen Campbell
Help Me Make It (To My Rockin' Chair)	B.J. Thomas
Bringing It Back	Elvis Presley
You Sexy Thing	Hot Chocolate
Sailing	Rod Stewart
Fire On The Mountain	The Marshall Tucker Band
King Kong - Pt. I	The Jimmy Castor Bunch
Come And Get Your Love	Roger Daltrey
Full Of Fire	Al Green
Walk Away From Love	David Ruffin
Volare	Al Martino
Winners And Losers	Hamilton, Joe Frank & Reynolds
Is It Love That We're Missin'	Quincy Jones (feat. The Brothers Johnson)
Love Machine (Part 1)	The Miracles
Ain't No Way To Treat A Lady	Helen Reddy
Nevertheless/Louisiana Lou And Three Card Monty John	The Allman Brothers Band
Over My Head	Fleetwood Mac
Same Thing It Took	The Impressions
The Music Never Stopped	The Grateful Dead
Happy	Eddie Kendricks
Let's Live Together	The Road Apples
Machines	John Livigni
Carry Me	David Crosby/Graham Nash
Baby Face	The Wing And A Prayer Fife & Drum Corps.
Evil Woman	Electric Light Orchestra
Nice, Nice, Very Nice	Ambrosia
I'm On Fire	Jim Gilstrap
Theme From S.W.A.T.	Rhythm Heritage
Caribbean Festival	Kool & The Gang
Everything's The Same (Ain't Nothing Changed)	Billy Swan
Never Been Any Reason	Head East
Rockin' All Over The World	John Fogerty
I'll Go To My Grave Loving You	The Statler Brothers
Dance With Me	Orleans
Fame	David Bowie
It's Time For Love	The Chi-lites
Better By The Pound	Funkadelic
Hey There Little Firefly Part I	Firefly
