Fly, Robin, Fly	Silver Convention
That's The Way (I Like It)	KC And The Sunshine Band
Island Girl	Elton John
The Way I Want To Touch You	Captain & Tennille
Let's Do It Again	The Staple Singers
Sky High	Jigsaw
Low Rider	War
This Will Be	Natalie Cole
Nights On Broadway	Bee Gees
Who Loves You	The 4 Seasons
Saturday Night	Bay City Rollers
My Little Town	Simon & Garfunkel
Feelings	Morris Albert
Heat Wave/love Is A Rose	Linda Ronstadt
Eighteen With A Bullet	Pete Wingfield
Love Rollercoaster	Ohio Players
Venus And Mars Rock Show	Wings
I Only Have Eyes For You	Art Garfunkel
Our Day Will Come	Frankie Valli
I Want'a Do Something Freaky To You	Leon Haywood
Blue Eyes Crying In The Rain	Willie Nelson
Operator	The Manhattan Transfer
Miracles	Jefferson Starship
Secret Love	Freddy Fender
I Love Music (Part 1)	The O'Jays
Fox On The Run	Sweet
I Write The Songs	Barry Manilow
I'm On Fire	5000 Volts
Bad Blood	Neil Sedaka
The Last Game Of The Season (A Blind Man In The Bleachers)	David Geddes
Theme From Mahogany (Do You Know Where You're Going To)	Diana Ross
S.O.S.	ABBA
For The Love Of You (Part 1&2)	The Isley Brothers
Country Boy (You Got Your Feet In L.A.)	Glen Campbell
Part Time Love	Gladys Knight And The Pips
Times Of Your Life	Paul Anka
Walk Away From Love	David Ruffin
Rock And Roll All Nite (live)	KISS
Lyin' Eyes	Eagles
Full Of Fire	Al Green
Love Power	Willie Hutch
They Just Can't Stop It the (Games People Play)	The Spinners
You Sexy Thing	Hot Chocolate
I'm Sorry	John Denver
Welcome To My Nightmare	Alice Cooper
Do It Any Way You Wanna	People's Choice
Something Better To Do	Olivia Newton-John
Fire On The Mountain	The Marshall Tucker Band
Skybird	Tony Orlando & Dawn
Brazil	The Ritchie Family
Volare	Al Martino
Love Machine (Part 1)	The Miracles
Winners And Losers	Hamilton, Joe Frank & Reynolds
Diamonds And Rust	Joan Baez
Over My Head	Fleetwood Mac
Since I Met You Baby	Freddy Fender
Sing A Song	Earth, Wind & Fire
Born To Run	Bruce Springsteen
Just Too Many People	Melissa Manchester
Evil Woman	Electric Light Orchestra
Lady Blue	Leon Russell
Carry Me	David Crosby/Graham Nash
What A Diff'rence A Day Makes	Esther Phillips
Change With The Times	Van Mccoy
Nice, Nice, Very Nice	Ambrosia
Baby Face	The Wing And A Prayer Fife & Drum Corps.
Nevertheless/Louisiana Lou And Three Card Monty John	The Allman Brothers Band
Let's Live Together	The Road Apples
Caribbean Festival	Kool & The Gang
Is It Love That We're Missin'	Quincy Jones (feat. The Brothers Johnson)
Never Been Any Reason	Head East
Wake Up Everybody (Part 1)	Harold Melvin And The Blue Notes
Lonely School Year	The Hudson Brothers
Drive My Car	Gary Toms Empire
Happy	Eddie Kendricks
Give It What You Got/Peace Pipe	B.T. Express
Going Down Slowly	The Pointer Sisters
Ballroom Blitz	Sweet
Hey There Little Firefly Part I	Firefly
Sailing	Rod Stewart
School Boy Crush	AWB
This Old Man	Purple Reign
I'm On Fire	Jim Gilstrap
Love Hurts	Nazareth
(I'm Going By) The Stars In Your Eyes	Ron Banks And The Dramatics
Hurricane (Part 1)	Bob Dylan
Woman Tonight	America
Theme From S.W.A.T.	Rhythm Heritage
Squeeze Box	The Who
Paloma Blanca	George Baker Selection
Everything's The Same (Ain't Nothing Changed)	Billy Swan
King Kong - Pt. I	The Jimmy Castor Bunch
How High The Moon	Gloria Gaynor
Bye Bye Baby	U.S. 1
It's Alright	Graham Central Station
The Zip	MFSB
Art For Art's Sake	10cc
Sunday Sunrise	Anne Murray
Breakfast For Two	Country Joe McDonald
For A Dancer	Prelude
