Let's Do It Again	The Staple Singers
Saturday Night	Bay City Rollers
That's The Way (I Like It)	KC And The Sunshine Band
Love Rollercoaster	Ohio Players
Theme From Mahogany (Do You Know Where You're Going To)	Diana Ross
I Write The Songs	Barry Manilow
Convoy	C.W. McCall
Fox On The Run	Sweet
Fly, Robin, Fly	Silver Convention
I Love Music (Part 1)	The O'Jays
Our Day Will Come	Frankie Valli
Sky High	Jigsaw
Nights On Broadway	Bee Gees
Times Of Your Life	Paul Anka
Love To Love You Baby	Donna Summer
Country Boy (You Got Your Feet In L.A.)	Glen Campbell
Walk Away From Love	David Ruffin
The Last Game Of The Season (A Blind Man In The Bleachers)	David Geddes
Sing A Song	Earth, Wind & Fire
You Sexy Thing	Hot Chocolate
Rock And Roll All Nite (live)	KISS
Part Time Love	Gladys Knight And The Pips
Fly Away	John Denver
Evil Woman	Electric Light Orchestra
For The Love Of You (Part 1&2)	The Isley Brothers
Love Machine (Part 1)	The Miracles
Over My Head	Fleetwood Mac
Full Of Fire	Al Green
My Little Town	Simon & Garfunkel
Winners And Losers	Hamilton, Joe Frank & Reynolds
The Way I Want To Touch You	Captain & Tennille
Island Girl	Elton John
School Boy Crush	AWB
Breaking Up Is Hard To Do	Neil Sedaka
Baby Face	The Wing And A Prayer Fife & Drum Corps.
Wake Up Everybody (Part 1)	Harold Melvin And The Blue Notes
Somewhere In The Night	Helen Reddy
Fire On The Mountain	The Marshall Tucker Band
Volare	Al Martino
Let's Live Together	The Road Apples
Love Hurts	Nazareth
Hurricane (Part 1)	Bob Dylan
Let It Shine/He Ain't Heavy...He's My Brother	Olivia Newton-John
I Want'a Do Something Freaky To You	Leon Haywood
Squeeze Box	The Who
Woman Tonight	America
Paloma Blanca	George Baker Selection
This Old Man	Purple Reign
Low Rider	War
50 Ways To Leave Your Lover	Paul Simon
Secret Love	Freddy Fender
Down To The Line	Bachman-Turner Overdrive
Golden Years	David Bowie
Play On Love	Jefferson Starship
Free Ride	Tavares
Feelings	Morris Albert
Slow Ride	Foghat
The Blind Man In The Bleachers	Kenny Starr
Who Loves You	The 4 Seasons
Theme From S.W.A.T.	Rhythm Heritage
Going Down Slowly	The Pointer Sisters
Take It To The Limit	Eagles
Christmas For Cowboys	John Denver
Inseparable	Natalie Cole
All By Myself	Eric Carmen
Deep Purple	Donny & Marie Osmond
Easy As Pie	Billy "Crash" Craddock
Happy	Eddie Kendricks
Somewhere In The Night	Batdorf & Rodney
Let The Music Play	Barry White
Tracks Of My Tears	Linda Ronstadt
Blue Eyes Crying In The Rain	Willie Nelson
Fanny (Be Tender With My Love)	Bee Gees
The Homecoming	Hagood Hardy
How High The Moon	Gloria Gaynor
Soul Train "75"	Soul Train Gang
Love Or Leave	The Spinners
Almost Saturday Night	John Fogerty
For A Dancer	Prelude
Yesterday's Hero	John Paul Young
Break Away	Art Garfunkel
Sweet Love	Commodores
Art For Art's Sake	10cc
I Want To Dance With You (Dance With Me)	The Ritchie Family
December, 1963 (Oh, What a Night)	The 4 Seasons
I Cheat The Hangman	The Doobie Brothers
The White Knight	Cledus Maggard And The Citizen's Band
Don't Cry Joni	Conway Twitty with Joni Lee
Love Is The Drug	Roxy Music
Hollywood Hot	The Eleventh Hour
The Zip	MFSB
Funky Weekend	The Stylistics
Every Beat Of My Heart	Crown Heights Affair
Amazing Grace (used To Be Her Favorite Song)	Amazing Rhythm Aces
Make Love To Your Mind	Bill Withers
Blue Guitar	Justin Hayward & John Lodge
Venus And Mars Rock Show	Wings
Eighteen With A Bullet	Pete Wingfield
I Believe In Father Christmas	Greg Lake
Breakfast For Two	Country Joe McDonald
