Love Rollercoaster	Ohio Players
I Write The Songs	Barry Manilow
Love To Love You Baby	Donna Summer
You Sexy Thing	Hot Chocolate
I Love Music (Part 1)	The O'Jays
Convoy	C.W. McCall
Sing A Song	Earth, Wind & Fire
Times Of Your Life	Paul Anka
Walk Away From Love	David Ruffin
50 Ways To Leave Your Lover	Paul Simon
Theme From Mahogany (Do You Know Where You're Going To)	Diana Ross
Rock And Roll All Nite (live)	KISS
Fly Away	John Denver
Evil Woman	Electric Light Orchestra
Love Machine (Part 1)	The Miracles
Breaking Up Is Hard To Do	Neil Sedaka
Theme From S.W.A.T.	Rhythm Heritage
Love Hurts	Nazareth
Squeeze Box	The Who
Wake Up Everybody (Part 1)	Harold Melvin And The Blue Notes
Winners And Losers	Hamilton, Joe Frank & Reynolds
Somewhere In The Night	Helen Reddy
Baby Face	The Wing And A Prayer Fife & Drum Corps.
Take It To The Limit	Eagles
All By Myself	Eric Carmen
Paloma Blanca	George Baker Selection
Fanny (Be Tender With My Love)	Bee Gees
Fox On The Run	Sweet
Country Boy (You Got Your Feet In L.A.)	Glen Campbell
Golden Years	David Bowie
Grow Some Funk Of Your Own/I Feel Like A Bullet (In The Gun Of Robert Ford)	Elton John
Slow Ride	Foghat
Tracks Of My Tears	Linda Ronstadt
The White Knight	Cledus Maggard And The Citizen's Band
Let The Music Play	Barry White
Deep Purple	Donny & Marie Osmond
Dream Weaver	Gary Wright
Love Or Leave	The Spinners
Break Away	Art Garfunkel
December, 1963 (Oh, What a Night)	The 4 Seasons
Junk Food Junkie	Larry Groce
Yesterday's Hero	John Paul Young
Bohemian Rhapsody	Queen
Only Sixteen	Dr. Hook
Over My Head	Fleetwood Mac
Sweet Love	Commodores
The Homecoming	Hagood Hardy
Love Is The Drug	Roxy Music
Dream On	Aerosmith
Lonely Night (angel Face)	Captain & Tennille
Saturday Night	Bay City Rollers
Sweet Thing	Rufus Featuring Chaka Khan
Back To The Island	Leon Russell
Let's Do It Again	The Staple Singers
'til It's Time To Say Goodbye	Jonathan Cain
Renegade	Michael Murphey
Take Me	Grand Funk Railroad
Inseparable	Natalie Cole
Easy As Pie	Billy "Crash" Craddock
Tangerine	The Salsoul Orchestra
Fly, Robin, Fly	Silver Convention
Let It Shine/He Ain't Heavy...He's My Brother	Olivia Newton-John
Don't Cry Joni	Conway Twitty with Joni Lee
Lady Bump	Penny Mclean
Chain Gang Medley	Jim Croce
Honey I	George McCrae
Hold Back The Night	The Trammps
That's Why I Love You	Andrew Gold
That's The Way (I Like It)	KC And The Sunshine Band
Hurricane (Part 1)	Bob Dylan
Quiet Storm	Smokey Robinson
I Could Have Danced All Night/Jump For Joy	Biddu Orchestra
What's The Name Of This Funk (spider Man)	Ramsey Lewis
Amazing Grace (used To Be Her Favorite Song)	Amazing Rhythm Aces
Growin' Up	Dan Hill
Funky Weekend	The Stylistics
Remember Me	Willie Nelson
For The Love Of You (Part 1&2)	The Isley Brothers
If I Only Knew	Ozark Mountain Daredevils
Since I Fell For You	Charlie Rich
Make Love To Your Mind	Bill Withers
Once You Hit The Road	Dionne Warwick
This Old Heart Of Mine	Rod Stewart
Tell It Like It Is	Andy Williams
Venus	Frankie Avalon
Close To You	B.T. Express
Tenth Avenue Freeze-out	Bruce Springsteen
Let Your Love Flow	Bellamy Brothers
You're Fooling You	The Dramatics
I Heard It Through The Grapevine	Creedence Clearwater Revival Featuring John Fogerty
Sara Smile	Daryl Hall John Oates
Disco Sax/for The Love Of You	Houston Person
Young Love	Ray Stevens
Bad Luck	The Atlanta Disco Band
One Fine Day	Julie
Daydreamer	C.C. & Company
We're On The Right Track	South Shore Commission
Scotch On The Rocks	The Band Of The Black Watch
January	Pilot
Tonight's The Night	S.S.O.
