Theme From S.W.A.T.	Rhythm Heritage
50 Ways To Leave Your Lover	Paul Simon
Love Machine (Part 1)	The Miracles
All By Myself	Eric Carmen
December, 1963 (Oh, What a Night)	The 4 Seasons
You Sexy Thing	Hot Chocolate
Take It To The Limit	Eagles
Dream Weaver	Gary Wright
Lonely Night (angel Face)	Captain & Tennille
Love Hurts	Nazareth
Love To Love You Baby	Donna Summer
Wake Up Everybody (Part 1)	Harold Melvin And The Blue Notes
Breaking Up Is Hard To Do	Neil Sedaka
Grow Some Funk Of Your Own/I Feel Like A Bullet (In The Gun Of Robert Ford)	Elton John
Baby Face	The Wing And A Prayer Fife & Drum Corps.
Sweet Thing	Rufus Featuring Chaka Khan
Junk Food Junkie	Larry Groce
Fanny (Be Tender With My Love)	Bee Gees
Golden Years	David Bowie
I Write The Songs	Barry Manilow
Squeeze Box	The Who
The White Knight	Cledus Maggard And The Citizen's Band
Deep Purple	Donny & Marie Osmond
Slow Ride	Foghat
Tracks Of My Tears	Linda Ronstadt
Evil Woman	Electric Light Orchestra
Dream On	Aerosmith
Money Honey	Bay City Rollers
Bohemian Rhapsody	Queen
Only Sixteen	Dr. Hook
Cupid	Tony Orlando & Dawn
Tangerine	The Salsoul Orchestra
Sing A Song	Earth, Wind & Fire
Sweet Love	Commodores
Love Is The Drug	Roxy Music
Take It Like A Man	Bachman-Turner Overdrive
Hold Back The Night	The Trammps
Inseparable	Natalie Cole
Renegade	Michael Murphey
Just You And I	Melissa Manchester
Paloma Blanca	George Baker Selection
Banapple Gas	Cat Stevens
Good Hearted Woman	Waylon & Willie
'til It's Time To Say Goodbye	Jonathan Cain
Somewhere In The Night	Helen Reddy
Disco Lady	Johnnie Taylor
Let Your Love Flow	Bellamy Brothers
Lady Bump	Penny Mclean
The Homecoming	Hagood Hardy
Only Love Is Real	Carole King
Venus	Frankie Avalon
Break Away	Art Garfunkel
Action	Sweet
Keep Holding On	The Temptations
Convoy	C.W. McCall
Love Me Tonight	Head East
Love Rollercoaster	Ohio Players
Love Fire	Jigsaw
Times Of Your Life	Paul Anka
Boogie Fever	The Sylvers
He's A Friend	Eddie Kendricks
Right Back Where We Started From	Maxine Nightingale
I Heard It Through The Grapevine	Creedence Clearwater Revival Featuring John Fogerty
You'll Lose A Good Thing	Freddy Fender
If I Only Knew	Ozark Mountain Daredevils
In France They Kiss On Main Street	Joni Mitchell
Remember Me	Willie Nelson
Locomotive Breath	Jethro Tull
I Do, I Do, I Do, I Do, I Do	ABBA
Lorelei	Styx
Since I Fell For You	Charlie Rich
The Jam	Graham Central Station
We Can't Hide It Anymore	Larry Santos
Union Man	Cate Bros.
There's A Kind Of Hush (All Over The World)	Carpenters
Fopp	Ohio Players
Show Me The Way	Peter Frampton
Highfly	John Miles
Hit The Road Jack	Stampeders
If You Only Believe (Jesus For Tonite)	Michel Polnareff
Without Your Love (mr. Jordan)	Charlie Ross
Sara Smile	Daryl Hall John Oates
Scotch On The Rocks	The Band Of The Black Watch
Shannon	Henry Gross
Mighty High	Mighty Clouds Of Joy
Can The Can	Suzi Quatro
January	Pilot
New Orleans	The Staple Singers
If Love Must Go	Dobie Gray
The Game Is Over (What's The Matter With You)	Brown Sugar
Texas	The Charlie Daniels Band
Fox On The Run	Sweet
Rattlesnake	Ohio Players
Quiet Storm	Smokey Robinson
The Call	Anne Murray
I Am Somebody	Jimmy James & The Vagabonds
Chain Gang Medley	Jim Croce
Train Called Freedom	South Shore Commission
Make Me Smile (Come Up And See Me)	Steve Harley And Cockney Rebel
Growin' Up	Dan Hill
