Disco Lady	Johnnie Taylor
Dream Weaver	Gary Wright
Lonely Night (angel Face)	Captain & Tennille
Let Your Love Flow	Bellamy Brothers
Sweet Thing	Rufus Featuring Chaka Khan
Right Back Where We Started From	Maxine Nightingale
Dream On	Aerosmith
December, 1963 (Oh, What a Night)	The 4 Seasons
Money Honey	Bay City Rollers
Golden Years	David Bowie
Only Sixteen	Dr. Hook
Sweet Love	Commodores
Show Me The Way	Peter Frampton
Deep Purple	Donny & Marie Osmond
Bohemian Rhapsody	Queen
Boogie Fever	The Sylvers
There's A Kind Of Hush (All Over The World)	Carpenters
Tangerine	The Salsoul Orchestra
All By Myself	Eric Carmen
Take It To The Limit	Eagles
Action	Sweet
Love Machine (Part 1)	The Miracles
Fanny (Be Tender With My Love)	Bee Gees
Junk Food Junkie	Larry Groce
Good Hearted Woman	Waylon & Willie
I Do, I Do, I Do, I Do, I Do	ABBA
Fooled Around And Fell In Love	Elvin Bishop
Only Love Is Real	Carole King
Looking For Space	John Denver
Love Fire	Jigsaw
Livin' For The Weekend	The O'Jays
Love Hurts	Nazareth
You'll Lose A Good Thing	Freddy Fender
Shannon	Henry Gross
Lorelei	Styx
He's A Friend	Eddie Kendricks
Fopp	Ohio Players
We Can't Hide It Anymore	Larry Santos
Sara Smile	Daryl Hall John Oates
Hit The Road Jack	Stampeders
Strange Magic	Electric Light Orchestra
Without Your Love (mr. Jordan)	Charlie Ross
Union Man	Cate Bros.
Theme From S.W.A.T.	Rhythm Heritage
Tryin' To Get The Feeling Again	Barry Manilow
Rhiannon (Will You Ever Win)	Fleetwood Mac
I Thought It Took A Little Time (But Today I Fell In Love)	Diana Ross
If You Only Believe (Jesus For Tonite)	Michel Polnareff
Misty Blue	Dorothy Moore
Come On Over	Olivia Newton-John
Young Blood	Bad Company
Cupid	Tony Orlando & Dawn
Happy Music	The Blackbyrds
Get Up And Boogie (That's Right)	Silver Convention
Mozambique	Bob Dylan
Street Talk	B.C.G. (B.C. Generation)
Inseparable	Natalie Cole
50 Ways To Leave Your Lover	Paul Simon
Welcome Back	John Sebastian
Shout It Out Loud	KISS
Heavy Love	David Ruffin
Ophelia	The Band
Can't Hide Love	Earth, Wind & Fire
Don't Pull Your Love/then You Can Tell Me Goodbye	Glen Campbell
More, More, More Pt. 1	Andrea True Connection
I've Got A Feeling (We'll Be Seeing Each Other Again)	Al Wilson
Queen Of Clubs	KC And The Sunshine Band
Here, There And Everywhere	Emmylou Harris
Sally	Grand Funk Railroad
New Orleans	The Staple Singers
Slow Ride	Foghat
Venus	Frankie Avalon
Just You And I	Melissa Manchester
Eh! Cumpari	Gaylord & Holiday
Hurt/for The Heart	Elvis Presley
The White Knight	Cledus Maggard And The Citizen's Band
Anytime (i'll Be There)	Paul Anka
Love Hangover	Diana Ross
There Won't Be No Country Music (There Won't Be No Rock 'N' Roll)	C.W. McCall
Double Trouble	Lynyrd Skynyrd
Fallen Angel	Frankie Valli
Locomotive Breath	Jethro Tull
Falling Apart At The Seams	Marmalade
Movin'	Brass Construction
Love Really Hurts Without You	Billy Ocean
You Are Beautiful	The Stylistics
Hey Baby	Ted Nugent
Everyday Without You	Hamilton, Joe Frank & Reynolds
Happy Days	Pratt & McClain with Brother Love
Jasper	Jim Stafford
I'm So Lonesome I Could Cry	Terry Bradshaw
Words (are Impossible)	Donny Gerrard
Love And Understanding (Come Together)	Kool & The Gang
Do It With Feeling	Michael Zager's Moon Band/Peabo Bryson
Love Hangover	The 5th Dimension
I Hope We Get To Love In Time	Marilyn McCoo & Billy Davis Jr.
Love To Love You Baby	Donna Summer
Grow Some Funk Of Your Own/I Feel Like A Bullet (In The Gun Of Robert Ford)	Elton John
Mighty High	Mighty Clouds Of Joy
Spirit In The Night	Manfred Mann's Earth Band
