Love Hangover	Diana Ross
Silly Love Songs	Wings
Get Up And Boogie (That's Right)	Silver Convention
Misty Blue	Dorothy Moore
Happy Days	Pratt & McClain with Brother Love
Shannon	Henry Gross
Welcome Back	John Sebastian
Sara Smile	Daryl Hall John Oates
Shop Around	Captain & Tennille
Fool To Cry	The Rolling Stones
Rhiannon (Will You Ever Win)	Fleetwood Mac
Fooled Around And Fell In Love	Elvin Bishop
More, More, More Pt. 1	Andrea True Connection
Boogie Fever	The Sylvers
Right Back Where We Started From	Maxine Nightingale
Love In The Shadows	Neil Sedaka
Tryin' To Get The Feeling Again	Barry Manilow
Love Is Alive	Gary Wright
Movin'	Brass Construction
I Want You	Marvin Gaye
Takin' It To The Streets	The Doobie Brothers
Never Gonna Fall In Love Again	Eric Carmen
I'll Be Good To You	The Brothers Johnson
Baretta's Theme ("Keep Your Eye On The Sparrow")	Rhythm Heritage
Strange Magic	Electric Light Orchestra
Show Me The Way	Peter Frampton
Kiss And Say Goodbye	The Manhattans
Young Blood	Bad Company
Rock And Roll Love Letter	Bay City Rollers
Take The Money And Run	Steve Miller
Moonlight Feels Right	Starbuck
The Boys Are Back In Town	Thin Lizzy
Afternoon Delight	Starland Vocal Band
Get Closer	Seals & Crofts (Featuring Carolyn Willis)
Crazy On You	Heart
Love Really Hurts Without You	Billy Ocean
Union Man	Cate Bros.
It's Over	Boz Scaggs
That's Where The Happy People Go	The Trammps
Still Crazy After All These Years	Paul Simon
Dance Wit Me	Rufus Featuring Chaka Khan
Today's The Day	America
Let Her In	John Travolta
Making Our Dreams Come True	Cyndi Grecco
Tear The Roof Off The Sucker (Give Up The Funk)	Parliament
You're My Best Friend	Queen
Thinking Of You	Paul Davis
Sixteen Tons	The Don Harrison Band
Yes, Yes, Yes	Bill Cosby
I'm Easy	Keith Carradine
Turn The Beat Around	Vicki Sue Robinson
Save Your Kisses For Me	Brotherhood Of Man
Mamma Mia	ABBA
Hurt/for The Heart	Elvis Presley
One Piece At A Time	Johnny Cash And The Tennessee Three
Disco Lady	Johnnie Taylor
Bigfoot	Bro Smith
I.O.U.	Jimmy Dean
Bohemian Rhapsody	Queen
Young Hearts Run Free	Candi Staton
Somebody's Gettin' It	Johnnie Taylor
Let Your Love Flow	Bellamy Brothers
Sophisticated Lady (She's A Different Lady)	Natalie Cole
TVC15	David Bowie
You're My Everything	Lee Garrett
Everything That 'Cha Do (Will Come Back To You)	Wet Willie
Lonely Teardrops	Narvel Felts
Who Loves You Better - Part 1	The Isley Brothers
Can't Stop Groovin' Now, Wanna Do It Some More	B.T. Express
A Fifth Of Beethoven	Walter Murphy & The Big Apple Band
Good Vibrations	Todd Rundgren
Silver Star	The 4 Seasons
Lipstick	Michel Polnareff
Foxy Lady	Crown Heights Affair
Rock And Roll Music	The Beach Boys
High Out Of Time	Carole King
Vaya Con Dios	Freddy Fender
I Wanna Stay With You	Gallagher And Lyle
You'll Never Find Another Love Like Mine	Lou Rawls
Save Your Kisses For Me	Bobby Vinton
C'mon Marianne	Donny Osmond
Flaming Youth	KISS
Livin' Ain't Livin'	Firefall
Nutbush City Limits	Bob Seger
Fool For The City	Foghat
Heaven Must Be Missing An Angel (part 1)	Tavares
Rain, Oh Rain	Fools Gold
Johnny Cool	The Steve Gibbons Band
The Hungry Years	Wayne Newton
Jukin	Atlanta Rhythm Section
Open	Smokey Robinson
I'm Gonna Let My Heart Do The Walking	The Supremes
The Lonely One	Special Delivery Featuring Terry Huff
You're Just The Right Size	The Salsoul Orchestra
December, 1963 (Oh, What a Night)	The 4 Seasons
Night Walk	Van Mccoy
Norma Jean Wants To Be A Movie Star	Sundown Company
Tubular Bells	The Champs' Boys Orchestra
Let It Shine	Santana
Touch And Go	Ecstasy, Passion & Pain Featuring Barbara Roy
