Kiss And Say Goodbye	The Manhattans
Afternoon Delight	Starland Vocal Band
I'll Be Good To You	The Brothers Johnson
Moonlight Feels Right	Starbuck
Love Is Alive	Gary Wright
Get Closer	Seals & Crofts (Featuring Carolyn Willis)
Got To Get You Into My Life	The Beatles
Don't Go Breaking My Heart	Elton John & Kiki Dee
Rock And Roll Music	The Beach Boys
Let Her In	John Travolta
Take The Money And Run	Steve Miller
The Boys Are Back In Town	Thin Lizzy
If You Know What I Mean	Neil Diamond
Shop Around	Captain & Tennille
You Should Be Dancing	Bee Gees
Tear The Roof Off The Sucker (Give Up The Funk)	Parliament
You're My Best Friend	Queen
Turn The Beat Around	Vicki Sue Robinson
Let 'em In	Wings
More, More, More Pt. 1	Andrea True Connection
I'm Easy	Keith Carradine
You'll Never Find Another Love Like Mine	Lou Rawls
This Masquerade	George Benson
Last Child	Aerosmith
I Need To Be In Love	Carpenters
Young Hearts Run Free	Candi Staton
Sophisticated Lady (She's A Different Lady)	Natalie Cole
Baby, I Love Your Way	Peter Frampton
Misty Blue	Dorothy Moore
I'd Really Love To See You Tonight	England Dan & John Ford Coley
Something He Can Feel	Aretha Franklin
A Fifth Of Beethoven	Walter Murphy & The Big Apple Band
Heaven Must Be Missing An Angel (part 1)	Tavares
Silly Love Songs	Wings
Never Gonna Fall In Love Again	Eric Carmen
Another Rainy Day In New York City	Chicago
Sara Smile	Daryl Hall John Oates
Steppin' Out	Neil Sedaka
Get Up And Boogie (That's Right)	Silver Convention
C'mon Marianne	Donny Osmond
Who'd She Coo?	Ohio Players
A Little Bit More	Dr. Hook
Say You Love Me	Fleetwood Mac
(Shake, Shake, Shake) Shake Your Booty	KC And The Sunshine Band
Summer	War
It Keeps You Runnin'	Carly Simon
Play That Funky Music	Wild Cherry
I'm Gonna Let My Heart Do The Walking	The Supremes
Foxy Lady	Crown Heights Affair
Hold On	Sons Of Champlin
Roots, Rock, Reggae	Bob Marley And The Wailers
Everything's Coming Up Love	David Ruffin
Shower The People	James Taylor
Wham Bam (Shang-A-Lang)	Silver
Getaway	Earth, Wind & Fire
Lowdown	Boz Scaggs
Devil Woman	Cliff Richard
Today's The Day	America
Blt	Lee Oskar
Springtime Mama	Henry Gross
Cotton Candy	The Sylvers
Ten Percent	Double Exposure
Dancin' Kid	Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
Love Hangover	Diana Ross
Framed	Cheech & Chong
Don't Touch Me There	The Tubes
Teddy Bear	Red Sovine
Gotta Be The One	Maxine Nightingale
With Your Love	Jefferson Starship
Hell Cat	Bellamy Brothers
Wake Up Susan	The Spinners
Street Singin'	Lady Flash
She's Gone	Daryl Hall John Oates
Devil With A Blue Dress	Pratt & McClain
Rainbow In Your Eyes	Leon & Mary Russell
Honey Child	Bad Company
Ode To Billie Joe	Bobbie Gentry
I Never Cry	Alice Cooper
Light Up The World With Sunshine	Hamilton, Joe Frank & Dennison
Try Me, I Know We Can Make It	Donna Summer
Hey Shirley (This Is Squirrely)	Shirley & Squirrely
Mary Hartman, Mary Hartman	The Deadly Nightshade
Rocky Mountain Music	Eddie Rabbitt
Magic Man	Heart
Struttin' My Stuff	Elvin Bishop
(The System Of) Doctor Tarr And Professor Fether	The Alan Parsons Project
Funny How Time Slips Away	Dorothy Moore
Kid Charlemagne	Steely Dan
You To Me Are Everything	The Real Thing
I've Been Lovin' You	Easy Street
You To Me Are Everything	Broadway
Baby, We Better Try To Get It Together	Barry White
Livin' Ain't Livin'	Firefall
Rock Creek Park	The Blackbyrds
Up The Creek (without A Paddle)	The Temptations
Hot Stuff/fool To Cry	The Rolling Stones
Making Our Dreams Come True	Cyndi Grecco
Good Vibrations	Todd Rundgren
Can't Change My Heart	Cate Bros.
Solitary Man	T.G. Sheppard
