Torn Between Two Lovers	Mary Macgregor
New Kid In Town	Eagles
Blinded By The Light	Manfred Mann's Earth Band
Car Wash	Rose Royce
Evergreen (Love Theme From "A Star Is Born")	Barbra Streisand
Dazz	Brick
Enjoy Yourself	The Jacksons
I Wish	Stevie Wonder
I Like Dreamin'	Kenny Nolan
Lost Without Your Love	Bread
Fly Like An Eagle	Steve Miller
Hot Line	The Sylvers
Weekend In New England	Barry Manilow
Night Moves	Bob Seger
Year Of The Cat	Al Stewart
Dancing Queen	ABBA
Hard Luck Woman	KISS
Walk This Way	Aerosmith
You Make Me Feel Like Dancing	Leo Sayer
Go Your Own Way	Fleetwood Mac
Ain't Nothing Like The Real Thing	Donny & Marie Osmond
Boogie Child	Bee Gees
Jeans On	David Dundas
Don't Leave Me This Way	Thelma Houston
Save It For A Rainy Day	Stephen Bishop
You Don't Have To Be A Star (To Be In My Show)	Marilyn McCoo & Billy Davis Jr.
The Things We Do For Love	10cc
Rich Girl	Daryl Hall John Oates
Living Next Door To Alice	Smokie
Carry On Wayward Son	Kansas
Long Time	Boston
After The Lovin'	Engelbert Humperdinck
Saturday Nite	Earth, Wind & Fire
Tonight's The Night (Gonna Be Alright)	Rod Stewart
Stand Tall	Burton Cummings
Moody Blue/she Thinks I Still Care	Elvis Presley
Livin' Thing	Electric Light Orchestra
Crackerbox Palace	George Harrison
Say You'll Stay Until Tomorrow	Tom Jones
In The Mood	Henhouse Five Plus Too
Fancy Dancer	Commodores
Baby Don't You Know	Wild Cherry
Whispering/Cherchez La Femme/Se Si Bon	Dr. Buzzard's Original Savannah Band
Dreamboat Annie	Heart
Don't Give Up On Us	David Soul
I Like To Do It	KC And The Sunshine Band
Here Come Those Tears Again	Jackson Browne
You've Got Me Runnin'	Gene Cotton
Sam	Olivia Newton-John
I Never Cry	Alice Cooper
I Just Can't Say No To You	Parker McGee
Ha Cha Cha (funktion)	Brass Construction
Free	Deniece Williams
What Can I Say	Boz Scaggs
Bite Your Lip (Get up and dance!)	Elton John
Love So Right	Bee Gees
Someone To Lay Down Beside Me	Linda Ronstadt
Maybe I'm Amazed	Wings
So In To You	Atlanta Rhythm Section
Be My Girl	The Dramatics
I've Got Love On My Mind	Natalie Cole
Reach	Orleans
When Love Is New	Arthur Prysock
Daddy Cool	Boney M.
Disco Lucy (i Love Lucy Theme)	Wilton Place Street Band
Dis-Gorilla (Part 1)	Rick Dees & His Cast Of Idiots
Feel The Beat (Everybody Disco)	Ohio Players
Right Time Of The Night	Jennifer Warnes
Shakey Ground	Phoebe Snow
Gloria	Enchantment
Do Ya	Electric Light Orchestra
Kong	Dickie Goodman
Hey Baby	Ringo Starr
Spring Rain	Silvetti
I Don't Wanna Lose Your Love/Flowers	The Emotions
The First Cut Is The Deepest	Rod Stewart
Somethin' 'bout 'cha	Latimore
Sorry Seems To Be The Hardest Word	Elton John
I'll Always Call Your Name	Little River Band
Here Is Where Your Love Belongs	The Sons Of Champlin
Theme From King Kong (Pt. I)	Love Unlimited Orchestra
It Keeps You Runnin'	The Doobie Brothers
Look Into Your Heart	Aretha Franklin
Dedication	Bay City Rollers
At Midnight (My Love Will Lift You Up)	Rufus Featuring Chaka Khan
Sorry/That's The Trouble	Grace Jones
Spring Affair/Winter Melody	Donna Summer
Too Hot To Stop (Pt. 1)	The Bar-Kays
Reaching For The World	Harold Melvin And The Blue Notes
Love To The World	L.T.D.
Darlin' Darlin' Baby (Sweet, Tender, Love)	The O'Jays
You Know Like I Know	Ozark Mountain Daredevils
Hail! Hail! Rock And Roll!	Starland Vocal Band
Dreamin	Loleatta Holloway
Southern Nights	Glen Campbell
Ashes And Sand	Johnny Rivers
Bless The Beasts And Children	Barry DeVorzon And Perry Botikin Jr.
My Pearl	Automatic Man
Spend Some Time	Elvin Bishop Featuring Mickey Thomas
