Blinded By The Light	Manfred Mann's Earth Band
New Kid In Town	Eagles
Torn Between Two Lovers	Mary Macgregor
Evergreen (Love Theme From "A Star Is Born")	Barbra Streisand
I Like Dreamin'	Kenny Nolan
Enjoy Yourself	The Jacksons
Car Wash	Rose Royce
Fly Like An Eagle	Steve Miller
Lost Without Your Love	Bread
Night Moves	Bob Seger
Weekend In New England	Barry Manilow
I Wish	Stevie Wonder
Year Of The Cat	Al Stewart
Dancing Queen	ABBA
Dazz	Brick
Hard Luck Woman	KISS
Go Your Own Way	Fleetwood Mac
Boogie Child	Bee Gees
Don't Leave Me This Way	Thelma Houston
You Make Me Feel Like Dancing	Leo Sayer
Rich Girl	Daryl Hall John Oates
Save It For A Rainy Day	Stephen Bishop
The Things We Do For Love	10cc
Hot Line	The Sylvers
Carry On Wayward Son	Kansas
Walk This Way	Aerosmith
Living Next Door To Alice	Smokie
Long Time	Boston
You Don't Have To Be A Star (To Be In My Show)	Marilyn McCoo & Billy Davis Jr.
Jeans On	David Dundas
Don't Give Up On Us	David Soul
After The Lovin'	Engelbert Humperdinck
Crackerbox Palace	George Harrison
Moody Blue/she Thinks I Still Care	Elvis Presley
Say You'll Stay Until Tomorrow	Tom Jones
Maybe I'm Amazed	Wings
Here Come Those Tears Again	Jackson Browne
Fancy Dancer	Commodores
Sam	Olivia Newton-John
Bite Your Lip (Get up and dance!)	Elton John
I Just Can't Say No To You	Parker McGee
Whispering/Cherchez La Femme/Se Si Bon	Dr. Buzzard's Original Savannah Band
Saturday Nite	Earth, Wind & Fire
Tonight's The Night (Gonna Be Alright)	Rod Stewart
The First Cut Is The Deepest	Rod Stewart
So In To You	Atlanta Rhythm Section
Stand Tall	Burton Cummings
Free	Deniece Williams
I've Got Love On My Mind	Natalie Cole
Ha Cha Cha (funktion)	Brass Construction
In The Mood	Henhouse Five Plus Too
Livin' Thing	Electric Light Orchestra
Right Time Of The Night	Jennifer Warnes
Disco Lucy (i Love Lucy Theme)	Wilton Place Street Band
Reach	Orleans
Do Ya	Electric Light Orchestra
Baby Don't You Know	Wild Cherry
Be My Girl	The Dramatics
Gloria	Enchantment
Feel The Beat (Everybody Disco)	Ohio Players
Kong	Dickie Goodman
Love So Right	Bee Gees
Spring Rain	Silvetti
Daddy Cool	Boney M.
At Midnight (My Love Will Lift You Up)	Rufus Featuring Chaka Khan
Ain't Nothing Like The Real Thing	Donny & Marie Osmond
Somethin' 'bout 'cha	Latimore
Dreamboat Annie	Heart
I'll Always Call Your Name	Little River Band
When Love Is New	Arthur Prysock
All Strung Out On You	John Travolta
Dedication	Bay City Rollers
I Don't Wanna Lose Your Love/Flowers	The Emotions
You + Me = Love/Let's Go Down To The Disco	Undisputed Truth
Theme From King Kong (Pt. I)	Love Unlimited Orchestra
Spring Affair/Winter Melody	Donna Summer
Sorry/That's The Trouble	Grace Jones
Too Hot To Stop (Pt. 1)	The Bar-Kays
Reaching For The World	Harold Melvin And The Blue Notes
Here Is Where Your Love Belongs	The Sons Of Champlin
Look Into Your Heart	Aretha Franklin
Race Among The Ruins	Gordon Lightfoot
I'm Scared	Burton Cummings
Tryin' To Love Two	William Bell
Southern Nights	Glen Campbell
Welcome To Our World (Of Merry Music)	Mass Production
N.y., You Got Me Dancing	Andrea True Connection
I Like To Do It	KC And The Sunshine Band
Angel In Your Arms	Hot
Dancin'	Crown Heights Affair
You Know Like I Know	Ozark Mountain Daredevils
Dreamin	Loleatta Holloway
Couldn't Get It Right	Climax Blues Band
There Will Come A Day (I'm Gonna Happen To You)	Smokey Robinson
Ashes And Sand	Johnny Rivers
My Pearl	Automatic Man
What Can I Say	Boz Scaggs
Bless The Beasts And Children	Barry DeVorzon And Perry Botikin Jr.
Dis-Gorilla (Part 1)	Rick Dees & His Cast Of Idiots
