Hotel California	Eagles
When I Need You	Leo Sayer
Southern Nights	Glen Campbell
Sir Duke	Stevie Wonder
Don't Leave Me This Way	Thelma Houston
Right Time Of The Night	Jennifer Warnes
So In To You	Atlanta Rhythm Section
I've Got Love On My Mind	Natalie Cole
Couldn't Get It Right	Climax Blues Band
I Wanna Get Next To You	Rose Royce
I'm Your Boogie Man	KC And The Sunshine Band
Lido Shuffle	Boz Scaggs
Can't Stop Dancin'	Captain & Tennille
Got To Give It Up (Pt. I)	Marvin Gaye
Your Love	Marilyn McCoo & Billy Davis Jr.
Don't Give Up On Us	David Soul
Lucille	Kenny Rogers
Calling Dr. Love	KISS
Hello Stranger	Yvonne Elliman
Lonely Boy	Andrew Gold
Angel In Your Arms	Hot
Feels Like The First Time	Foreigner
Tryin' To Love Two	William Bell
Ain't Gonna Bump No More (with No Big Fat Woman)	Joe Tex
Dancin' Man	Q
Dreams	Fleetwood Mac
Heard It In A Love Song	The Marshall Tucker Band
Whodunit	Tavares
Gonna Fly Now	Bill Conti
Rich Girl	Daryl Hall John Oates
Evergreen (Love Theme From "A Star Is Born")	Barbra Streisand
Uptown Festival (Part 1)	Shalamar
Cherry Baby	Starz
My Sweet Lady	John Denver
Show You The Way To Go	The Jacksons
Cinderella	Firefall
Margaritaville	Jimmy Buffett
Back In The Saddle	Aerosmith
Love's Grown Deep	Kenny Nolan
Undercover Angel	Alan O'Day
Slow Dancin' Don't Turn Me On	Addrisi Brothers
Dancin'	Crown Heights Affair
The Things We Do For Love	10cc
Slowdown	John Miles
Dancing Queen	ABBA
I Think We're Alone Now	The Rubinoos
Ariel	Dean Friedman
Sleepwalker	The Kinks
You Are On My Mind	Chicago
High School Dance	The Sylvers
Everybody Be Dancin'	Starbuck
You Take My Heart Away	James Darren
I Wanna Do It To You	Jerry Butler
Mainstreet	Bob Seger
Jet Airliner	The Steve Miller Band
This Girl (Has Turned Into A Woman)	Mary Macgregor
(Theme from) Charlie's Angels	Henry Mancini And His Orchestra
Gonna Fly Now (Theme From "Rocky")	Maynard Ferguson
The Whistler	Jethro Tull
On The Border	Al Stewart
Do You Wanna Make Love	Peter Mccann
Hold Back The Night	Graham Parker And The Rumour
Hooked On You	Bread
I Just Want To Be Your Everything	Andy Gibb
This Is The Way That I Feel	Marie Osmond
Spirit In The Night	Manfred Mann's Earth Band
Sub-rosa Subway/calling Occupants	Klaatu
Carry On Wayward Son	Kansas
Sound And Vision	David Bowie
You And Me	Alice Cooper
You're My World	Helen Reddy
Do What You Wanna Do	T-Connection
Back Together Again	Daryl Hall John Oates
Whatcha Gonna Do?	Pablo Cruise
Fly At Night	Chilliwack
It Feels So Good To Be Loved So Bad	The Manhattans
That Magic Touch	Angel
Hollywood	Rufus Featuring Chaka Khan
Solsbury Hill	Peter Gabriel
My Best Friend's Wife	Paul Anka
I Gotta Keep Dancin'	Carrie
Going In With My Eyes Open	David Soul
Sad Girl	Carl Graves
You're Movin' Out Today	Bette Midler
It's Sad To Belong	England Dan & John Ford Coley
Down To The Station	B.W. Stevenson
Luckenbach, Texas (Back To The Basics Of Love)	Waylon Jennings
Looks Like We Made It	Barry Manilow
(Your Love Has Lifted Me) Higher And Higher	Rita Coolidge
The Pride (Part I)	The Isley Brothers
Capture Your Heart	Blue
I Caught Your Act	The Hues Corporation
On And On	Stephen Bishop
You + Me = Love/Let's Go Down To The Disco	Undisputed Truth
I Like Dreamin'	Kenny Nolan
Sometimes	Facts Of Life
Old Fashioned Boy (You're The One)	Stallion
I Need A Man	Grace Jones
Maybe I'm Amazed	Wings
Theme From "Rocky" (Gonna Fly Now)	Current
