Sir Duke	Stevie Wonder
I'm Your Boogie Man	KC And The Sunshine Band
Dreams	Fleetwood Mac
Got To Give It Up (Pt. I)	Marvin Gaye
Gonna Fly Now	Bill Conti
Couldn't Get It Right	Climax Blues Band
Lucille	Kenny Rogers
Lonely Boy	Andrew Gold
Feels Like The First Time	Foreigner
When I Need You	Leo Sayer
Undercover Angel	Alan O'Day
Angel In Your Arms	Hot
Hotel California	Eagles
Ain't Gonna Bump No More (with No Big Fat Woman)	Joe Tex
Heard It In A Love Song	The Marshall Tucker Band
Jet Airliner	The Steve Miller Band
Hello Stranger	Yvonne Elliman
Southern Nights	Glen Campbell
Life In The Fast Lane	Eagles
Looks Like We Made It	Barry Manilow
Margaritaville	Jimmy Buffett
Whodunit	Tavares
Slow Dancin' Don't Turn Me On	Addrisi Brothers
Mainstreet	Bob Seger
Uptown Festival (Part 1)	Shalamar
Do You Wanna Make Love	Peter Mccann
High School Dance	The Sylvers
Love's Grown Deep	Kenny Nolan
Ariel	Dean Friedman
My Heart Belongs To Me	Barbra Streisand
Back Together Again	Daryl Hall John Oates
I Just Want To Be Your Everything	Andy Gibb
Da Doo Ron Ron	Shaun Cassidy
Gonna Fly Now (Theme From "Rocky")	Maynard Ferguson
Slowdown	John Miles
Lido Shuffle	Boz Scaggs
Hollywood	Rufus Featuring Chaka Khan
Knowing Me, Knowing You	ABBA
This Is The Way That I Feel	Marie Osmond
Spirit In The Night	Manfred Mann's Earth Band
Whatcha Gonna Do?	Pablo Cruise
Luckenbach, Texas (Back To The Basics Of Love)	Waylon Jennings
(Your Love Has Lifted Me) Higher And Higher	Rita Coolidge
It's Sad To Belong	England Dan & John Ford Coley
Peace Of Mind	Boston
You And Me	Alice Cooper
You're My World	Helen Reddy
Do What You Wanna Do	T-Connection
I'm In You	Peter Frampton
You're Movin' Out Today	Bette Midler
On The Border	Al Stewart
Right Time Of The Night	Jennifer Warnes
Calling Dr. Love	KISS
I've Got Love On My Mind	Natalie Cole
All You Get From Love Is A Love Song	Carpenters
Going In With My Eyes Open	David Soul
So In To You	Atlanta Rhythm Section
I Wanna Get Next To You	Rose Royce
Everybody Be Dancin'	Starbuck
The Pretender	Jackson Browne
Show You The Way To Go	The Jacksons
Watch Closely Now	Kris Kristofferson
The Pride (Part I)	The Isley Brothers
I Gotta Keep Dancin'	Carrie
People In Love	10cc
It Feels So Good To Be Loved So Bad	The Manhattans
Dancin' Man	Q
Don't Give Up On Us	David Soul
You Made Me Believe In Magic	Bay City Rollers
Runaway	Bonnie Raitt
This Girl (Has Turned Into A Woman)	Mary Macgregor
Barracuda	Heart
Just A Song Before I Go	Crosby, Stills & Nash
I Don't Love You Anymore	Teddy Pendergrass
Amarillo	Neil Sedaka
Can't Stop Dancin'	Captain & Tennille
Give A Little Bit	Supertramp
Easy	Commodores
Fly At Night	Chilliwack
Neon Nites	Atlanta Rhythm Section
Burnin' Sky	Bad Company
If It's The Last Thing I Do	Thelma Houston
Devil's Gun	C.J. & Company
The Killing Of Georgie (Part I And II)	Rod Stewart
Telephone Man	Meri Wilson
I Need A Man	Grace Jones
Don't Turn The Light Out	Cliff Richard
On And On	Stephen Bishop
So High (rock Me Baby And Roll Me Away)	Dave Mason
Lose Again	Linda Ronstadt
Capture Your Heart	Blue
I'm Going Down	Rose Royce
Feel The Need	Detroit Emeralds
Ridin' The Storm Out	REO Speedwagon
Dance And Shake Your Tambourine	Universal Robot Band
While I'm Alone	Maze Featuring Frankie Beverly
All The Kids On The Street	The Hollywood Stars
Lady (put The Light On Me)	Brownsville Station
Only Love Can Break A Heart	Bobby Vinton
Rich Girl	Daryl Hall John Oates
