Dreams	Fleetwood Mac
Got To Give It Up (Pt. I)	Marvin Gaye
Gonna Fly Now	Bill Conti
Feels Like The First Time	Foreigner
Lucille	Kenny Rogers
Undercover Angel	Alan O'Day
Lonely Boy	Andrew Gold
I'm Your Boogie Man	KC And The Sunshine Band
Sir Duke	Stevie Wonder
Angel In Your Arms	Hot
Jet Airliner	The Steve Miller Band
Ain't Gonna Bump No More (with No Big Fat Woman)	Joe Tex
Life In The Fast Lane	Eagles
Heard It In A Love Song	The Marshall Tucker Band
Looks Like We Made It	Barry Manilow
Da Doo Ron Ron	Shaun Cassidy
Margaritaville	Jimmy Buffett
My Heart Belongs To Me	Barbra Streisand
Do You Wanna Make Love	Peter Mccann
Slow Dancin' Don't Turn Me On	Addrisi Brothers
I Just Want To Be Your Everything	Andy Gibb
Love's Grown Deep	Kenny Nolan
High School Dance	The Sylvers
Couldn't Get It Right	Climax Blues Band
I'm In You	Peter Frampton
When I Need You	Leo Sayer
Ariel	Dean Friedman
Back Together Again	Daryl Hall John Oates
Gonna Fly Now (Theme From "Rocky")	Maynard Ferguson
Hotel California	Eagles
Knowing Me, Knowing You	ABBA
Hollywood	Rufus Featuring Chaka Khan
(Your Love Has Lifted Me) Higher And Higher	Rita Coolidge
You're My World	Helen Reddy
Whatcha Gonna Do?	Pablo Cruise
Luckenbach, Texas (Back To The Basics Of Love)	Waylon Jennings
You And Me	Alice Cooper
Peace Of Mind	Boston
It's Sad To Belong	England Dan & John Ford Coley
All You Get From Love Is A Love Song	Carpenters
People In Love	10cc
You Made Me Believe In Magic	Bay City Rollers
You're Movin' Out Today	Bette Midler
Slowdown	John Miles
Uptown Festival (Part 1)	Shalamar
Do What You Wanna Do	T-Connection
Easy	Commodores
Barracuda	Heart
Hello Stranger	Yvonne Elliman
Amarillo	Neil Sedaka
Just A Song Before I Go	Crosby, Stills & Nash
Watch Closely Now	Kris Kristofferson
Southern Nights	Glen Campbell
Mainstreet	Bob Seger
Neon Nites	Atlanta Rhythm Section
Whodunit	Tavares
If It's The Last Thing I Do	Thelma Houston
Lido Shuffle	Boz Scaggs
The Killing Of Georgie (Part I And II)	Rod Stewart
Devil's Gun	C.J. & Company
I Don't Love You Anymore	Teddy Pendergrass
Telephone Man	Meri Wilson
Give A Little Bit	Supertramp
Runaway	Bonnie Raitt
Telephone Line	Electric Light Orchestra
Spirit In The Night	Manfred Mann's Earth Band
Going In With My Eyes Open	David Soul
Right Time Of The Night	Jennifer Warnes
Come In From The Rain	Captain & Tennille
Best Of My Love	The Emotions
Don't Turn The Light Out	Cliff Richard
The Pretender	Jackson Browne
Superman	Celi Bee & The Buzzy Bunch
Calling Dr. Love	KISS
On And On	Stephen Bishop
Baby Don't Change Your Mind	Gladys Knight And The Pips
The Pride (Part I)	The Isley Brothers
Save Me	Merrilee Rush
Lose Again	Linda Ronstadt
Handy Man	James Taylor
Black Betty	Ram Jam
Smoke From A Distant Fire	The Sanford/Townsend Band
Seaside Woman	Suzy And The Red Stripes
Here Comes Summer	Wildfire
Slide	Slave
Land Of Make Believe	Chuck Mangione With The Hamilton Philharmonic Orchestra
I'm Going Down	Rose Royce
Break It To Me Gently	Aretha Franklin
Making A Good Thing Better	Olivia Newton-John
It Was Almost Like A Song	Ronnie Milsap
Lady (put The Light On Me)	Brownsville Station
Light Of A Clear Blue Morning	Dolly Parton
While I'm Alone	Maze Featuring Frankie Beverly
It Feels So Good To Be Loved So Bad	The Manhattans
I Gotta Keep Dancin'	Carrie
Only The Lucky	Walter Egan
Dance And Shake Your Tambourine	Universal Robot Band
I Wanna Get Next To You	Rose Royce
I've Got Love On My Mind	Natalie Cole
On The Border	Al Stewart
