Star Wars Theme/Cantina Band	Meco
Keep It Comin' Love	KC And The Sunshine Band
You Light Up My Life	Debby Boone
Nobody Does It Better	Carly Simon
That's Rock 'N' Roll	Shaun Cassidy
Best Of My Love	The Emotions
Boogie Nights	Heatwave
Cold As Ice	Foreigner
Brick House	Commodores
I Just Want To Be Your Everything	Andy Gibb
On And On	Stephen Bishop
Swayin' To The Music (slow Dancin')	Johnny Rivers
I Feel Love	Donna Summer
Telephone Line	Electric Light Orchestra
Don't Stop	Fleetwood Mac
Strawberry Letter 23	The Brothers Johnson
The King Is Gone	Ronnie McDowell
It Was Almost Like A Song	Ronnie Milsap
It's Ecstasy When You Lay Down Next To Me	Barry White
Don't It Make My Brown Eyes Blue	Crystal Gayle
Signed, Sealed, Delivered (I'm Yours)	Peter Frampton
Heaven On The 7th Floor	Paul Nicholas
Jungle Love	The Steve Miller Band
The Greatest Love Of All	George Benson
Surfin' USA	Leif Garrett
Just Remember I Love You	Firefall
Way Down	Elvis Presley
I Believe You	Dorothy Moore
Float On	The Floaters
Cat Scratch Fever	Ted Nugent
Help Is On Its Way	Little River Band
Another Star	Stevie Wonder
She Did It	Eric Carmen
How Deep Is Your Love	Bee Gees
Dusic	Brick
I Wouldn't Want To Be Like You	Alan Parsons
Do Ya Wanna Get Funky With Me	Peter Brown
We Just Disagree	Dave Mason
Don't Worry Baby	B.J. Thomas
Blue Bayou	Linda Ronstadt
I Just Want To Make Love To You	Foghat
We're All Alone	Rita Coolidge
I Go Crazy	Paul Davis
Send In The Clowns	Judy Collins
Baby, What A Big Surprise	Chicago
Handy Man	James Taylor
Do Your Dance - Part 1	Rose Royce
Changes In Latitudes, Changes In Attitudes	Jimmy Buffett
It's In His Kiss (The Shoop Shoop Song)	Kate Taylor
Daytime Friends	Kenny Rogers
(Your Love Has Lifted Me) Higher And Higher	Rita Coolidge
Smoke From A Distant Fire	The Sanford/Townsend Band
A Place In The Sun	Pablo Cruise
Devil's Gun	C.J. & Company
Star Wars (Main Title)	London Symphony Orchestra
My Fair Share	Seals & Crofts
Silver Lady	David Soul
Baby Love	Mother's Finest
Doctor Love	First Choice
How Much Love	Leo Sayer
Easy	Commodores
Little Queen	Heart
Edge Of The Universe	Bee Gees
Love Gun	KISS
Just A Song Before I Go	Crosby, Stills & Nash
Daybreak	Barry Manilow
Come Sail Away	Styx
Needles And Pins	Smokie
Barracuda	Heart
I Believe In Love	Kenny Loggins
Calling Occupants Of Interplanetary Craft	Carpenters
Gone Too Far	England Dan & John Ford Coley
Your Smiling Face	James Taylor
Does She Do It Like She Dances	Addrisi Brothers
Fair Game	Crosby, Stills & Nash
Could Heaven Ever Be Like This (Part 1)	Idris Muhammad
It's So Easy	Linda Ronstadt
Be My Lady	The Meters
Thunder In My Heart	Leo Sayer
Baby Come Back	Player
You Can't Turn Me Off (In The Middle Of Turning Me On)	High Inergy
Isn't It Time	The Babys
Ten To Eight	David Castle
Started Out Dancing, Ended Up Making Love	Alan O'Day
Red Hot	Robert Gordon With Link Wray
Disco 9000	Johnnie Taylor
Echoes Of Love	The Doobie Brothers
She's Not There	Santana
Goin' Places	The Jacksons
The Happy Girls	Helen Reddy
Whatcha Gonna Do?	Pablo Cruise
Hold On	Wild Cherry
Avenging Annie	Roger Daltrey
O-H-I-O	Ohio Players
Heaven On Earth (So Fine)	The Spinners
I'm In You	Peter Frampton
I've Never Been To Me	Charlene
It Ain't Love	Tom Powers
Sunshine	Enchantment
Da Doo Ron Ron	Shaun Cassidy
