Shadow Dancing	Andy Gibb
You're The One That I Want	John Travolta & Olivia Newton-John
Baker Street	Gerry Rafferty
It's A Heartache	Bonnie Tyler
Too Much, Too Little, Too Late	Johnny Mathis/Deniece Williams
Take A Chance On Me	ABBA
Feels So Good	Chuck Mangione
On Broadway	George Benson
You Belong To Me	Carly Simon
Love Is Like Oxygen	Sweet
Dance With Me	Peter Brown With Betty Wright
Use Ta Be My Girl	The O'Jays
The Groove Line	Heatwave
Two Out Of Three Ain't Bad	Meat Loaf
Because The Night	Patti Smith Group
Still The Same	Bob Seger & The Silver Bullet Band
With A Little Luck	Wings
Every Kinda People	Robert Palmer
Deacon Blues	Steely Dan
Bluer Than Blue	Michael Johnson
You're The Love	Seals & Crofts
Even Now	Barry Manilow
Last Dance	Donna Summer
Heartless	Heart
Oh What A Night For Dancing	Barry White
Baby Hold On	Eddie Money
The Closer I Get To You	Roberta Flack With Donny Hathaway
I Was Only Joking	Rod Stewart
Follow You Follow Me	Genesis
Almost Summer	Celebration featuring Mike Love
Miss You	The Rolling Stones
Cheeseburger In Paradise	Jimmy Buffett
Wonderful Tonight	Eric Clapton
I Can't Stand The Rain	Eruption
Disco Inferno	The Trammps
This Time I'm In It For Love	Player
Only The Good Die Young	Billy Joel
Everybody Dance	Chic
Grease	Frankie Valli
Warm Ride	Rare Earth
Dance Across The Floor	Jimmy "Bo" Horne
Thank God It's Friday	Love And Kisses
Chattanooga Choo Choo	Tuxedo Junction
It's The Same Old Song	KC And The Sunshine Band
Stone Blue	Foghat
Imaginary Lover	Atlanta Rhythm Section
Ca Plane Pour Moi	Plastic Bertrand
If Ever I See You Again	Roberta Flack
Runaway	Jefferson Starship
FM (No Static At All)	Steely Dan
Darlin'	Paul Davis Feat. Susan Collins
My Angel Baby	Toby Beau
Love Will Find A Way	Pablo Cruise
Can We Still Be Friends	Todd Rundgren
Hot Love, Cold World	Bob Welch
Magnet And Steel	Walter Egan
King Tut	Steve Martin And The Toot Uncommons
Copacabana (at The Copa)	Barry Manilow
I'm Not Gonna Let It Bother Me Tonight	Atlanta Rhythm Section
Life's Been Good	Joe Walsh
That Once In A Lifetime	Demis Roussos
Will You Still Love Me Tomorrow	Dave Mason
Stay/The Load-Out	Jackson Browne
I Don't Wanna Go	Joey Travolta
So Hard Livin' Without You	Airwaves
Rivers Of Babylon	Boney M.
Songbird	Barbra Streisand
You Can't Dance	England Dan & John Ford Coley
Over The Rainbow	Gary Tanner
Prove It All Night	Bruce Springsteen
Trans-europe Express	Kraftwerk
If I Can't Have You	Yvonne Elliman
Three Times A Lady	Commodores
Portrait (He Knew)	Kansas
Love Or Something Like It	Kenny Rogers
God Knows/Baby, I'm Yours	Debby Boone
He's So Fine	Jane Olivor
Hot Child In The City	Nick Gilder
This Night Won't Last Forever	Bill LaBounty
Stuff Like That	Quincy Jones
I've Had Enough	Wings
Under The Boardwalk	Billy Joe Royal
You're A Part Of Me	Gene Cotton With Kim Carnes
Georgia On My Mind	Willie Nelson
I Need To Know	Tom Petty And The Heartbreakers
Never Let Her Slip Away	Andrew Gold
Shame	Evelyn "Champagne" King
Daylight And Darkness	Smokey Robinson
Roll With The Changes	REO Speedwagon
Just What I Needed	The Cars
Midnight Light	LeBlanc & Carr
Shaker Song	Spyro Gyra
Stay	Rufus/Chaka Khan
You Got It	Diana Ross
Night Fever	Bee Gees
I Want You To Be Mine	Kayak
You Keep Me Dancing	Samantha Sang
Take Me Back To Chicago	Chicago
Weekend Lover	Odyssey
Movin' Out (Anthony's Song)	Billy Joel
