Boogie Oogie Oogie	A Taste Of Honey
Three Times A Lady	Commodores
Hot Blooded	Foreigner
Hopelessly Devoted To You	Olivia Newton-John
Kiss You All Over	Exile
Grease	Frankie Valli
An Everlasting Love	Andy Gibb
Summer Nights	John Travolta & Olivia Newton-John & Cast
Shame	Evelyn "Champagne" King
Got To Get You Into My Life	Earth, Wind & Fire
Hot Child In The City	Nick Gilder
Don't Look Back	Boston
Fool If You Think It's Over	Chris Rea
Love Is In The Air	John Paul Young
Miss You	The Rolling Stones
You And I	Rick James
Reminiscing	Little River Band
You Needed Me	Anne Murray
Hollywood Nights	Bob Seger & The Silver Bullet Band
Magnet And Steel	Walter Egan
Love Will Find A Way	Pablo Cruise
Two Tickets To Paradise	Eddie Money
Whenever I Call You "Friend"	Kenny Loggins
Oh! Darling	Robin Gibb
Love Theme From "Eyes Of Laura Mars" (Prisoner)	Barbra Streisand
Close The Door	Teddy Pendergrass
My Angel Baby	Toby Beau
Just What I Needed	The Cars
Right Down The Line	Gerry Rafferty
Back In The U.s.a.	Linda Ronstadt
A Rock 'N' Roll Fantasy	The Kinks
Get Off	Foxy
Come Together	Aerosmith
Think It Over	Cheryl Ladd
She's Always A Woman	Billy Joel
You Never Done It Like That	Captain & Tennille
I Love The Nightlife (Disco 'round)	Alicia Bridges
Talking In Your Sleep	Crystal Gayle
Steppin' In A Slide Zone	The Moody Blues
5.7.0.5.	City Boy
Who Are You	The Who
Paradise By The Dashboard Light	Meat Loaf
Almost Like Being In Love	Michael Johnson
I Will Still Love You	Stonebolt
Devoted To You	Carly Simon & James Taylor
Last Dance	Donna Summer
All I See Is Your Face	Dan Hill
Stuff Like That	Quincy Jones
Macho Man	Village People
Badlands	Bruce Springsteen
Dance (Disco Heat)	Sylvester
Livingston Saturday Night	Jimmy Buffett
Copacabana (at The Copa)	Barry Manilow
She Loves To Be In Love	Charlie
You	The McCrarys
Josie	Steely Dan
Took The Last Train	David Gates
Heartbreaker	Dolly Parton
Raise A Little Hell	Trooper
Holding On (When Love Is Gone)	L.T.D.
You're All I Need To Get By	Johnny Mathis & Deniece Williams
It's A Laugh	Daryl Hall John Oates
Sweet Life	Paul Davis
You	Rita Coolidge
Life's Been Good	Joe Walsh
Shake And Dance With Me	ConFunkShun
Shadow Dancing	Andy Gibb
Lights	Journey
Rivers Of Babylon	Boney M.
Beast Of Burden	The Rolling Stones
If My Friends Could See Me Now	Linda Clifford
Stay/The Load-Out	Jackson Browne
Ain't Nothing Gonna Keep Me From You	Teri DeSario
Flyin'	Prism
London Town	Wings
Long Hot Summer Nights	Wendy Waldman
Ease On Down The Road	Diana Ross & Michael Jackson
Themes From The Wizard Of Oz	Meco
Takin' It Easy	Seals & Crofts
How Much I Feel	Ambrosia
Let's Get Crazy Tonight	Rupert Holmes
Peggy Sue	The Beach Boys
You're The One That I Want	John Travolta & Olivia Newton-John
Crazy Feelin'	Jefferson Starship
MacArthur Park	Donna Summer
New Orleans Ladies	Louisiana's LeRoux
I Just Wanna Stop	Gino Vannelli
In For The Night	The Dirt Band
Prisoner Of Your Love	Player
Our Night	Shaun Cassidy
Substitute	Clout
Surrender	Cheap Trick
Arms Of Mary	Chilliwack
Blame It On The Boogie	Mick Jackson
Mr. Blue Sky	Electric Light Orchestra
Runaway	Jefferson Starship
Dance With Me	Peter Brown With Betty Wright
Runaway Love	Linda Clifford
He's So Fine	Kristy And Jimmy McNichol
Still The Same	Bob Seger & The Silver Bullet Band
