You Needed Me	Anne Murray
MacArthur Park	Donna Summer
Reminiscing	Little River Band
Double Vision	Foreigner
Whenever I Call You "Friend"	Kenny Loggins
Hot Child In The City	Nick Gilder
Kiss You All Over	Exile
How Much I Feel	Ambrosia
Beast Of Burden	The Rolling Stones
Get Off	Foxy
Love Is In The Air	John Paul Young
You Never Done It Like That	Captain & Tennille
Ready To Take A Chance Again	Barry Manilow
Who Are You	The Who
I Love The Nightlife (Disco 'round)	Alicia Bridges
I Just Wanna Stop	Gino Vannelli
Boogie Oogie Oogie	A Taste Of Honey
Talking In Your Sleep	Crystal Gayle
Time Passages	Al Stewart
It's A Laugh	Daryl Hall John Oates
Alive Again	Chicago
Strange Way	Firefall
Sharing The Night Together	Dr. Hook
Dance (Disco Heat)	Sylvester
Blue Collar Man (Long Nights)	Styx
(Our Love) Don't Throw It All Away	Andy Gibb
Prisoner Of Your Love	Player
Sweet Life	Paul Davis
Straight On	Heart
Took The Last Train	David Gates
You Don't Bring Me Flowers	Barbra Streisand & Neil Diamond
Don't Want To Live Without It	Pablo Cruise
Change Of Heart	Eric Carmen
One Nation Under A Groove - Part I	Funkadelic
Themes From The Wizard Of Oz	Meco
Everybody Needs Love	Stephen Bishop
Summer Nights	John Travolta & Olivia Newton-John & Cast
Flying High	Commodores
She's Always A Woman	Billy Joel
The Power Of Gold	Dan Fogelberg/Tim Weisberg
Right Down The Line	Gerry Rafferty
How You Gonna See Me Now	Alice Cooper
Champagne Jam	Atlanta Rhythm Section
Got To Have Loving	Don Ray
Wavelength	Van Morrison
This Is Love	Paul Anka
Raining In My Heart	Leo Sayer
Like A Sunday In Salem (The Amos & Andy Song)	Gene Cotton
Dreadlock Holiday	10cc
Don't Look Back	Boston
Run For Home	Lindisfarne
On The Shelf	Donny & Marie Osmond
Hold The Line	Toto
You Should Do It	Peter Brown With Betty Wright
There'll Never Be	Switch
I'm Every Woman	Chaka Khan
Forever Autumn	Justin Hayward
Searching For A Thrill	Starbuck
Promises	Eric Clapton And His Band
New York Groove	Ace Frehley
Hot Summer Nights	Walter Egan
Instant Replay	Dan Hartman
Do You Feel All Right	KC And The Sunshine Band
Fun Time	Joe Cocker
Mellow Lovin'	Judy Cheeks
Can You Fool	Glen Campbell
My Best Friend's Girl	The Cars
Y.M.C.A.	Village People
My Life	Billy Joel
Le Freak	Chic
Here Comes The Night	Nick Gilder
I Will Be In Love With You	Livingston Taylor
We've Got Tonight	Bob Seger & The Silver Bullet Band
Back In The U.s.a.	Linda Ronstadt
In The Bush	Musique
New York City	Zwol
Lights	Journey
I Will Still Love You	Stonebolt
Hopelessly Devoted To You	Olivia Newton-John
It's Over	Electric Light Orchestra
So Young, So Bad	Starz
Blame It On The Boogie	The Jacksons
Mary Jane	Rick James
The Gambler	Kenny Rogers
Hold Me, Touch Me	Paul Stanley
Get Back	Billy Preston
Love Me Again	Rita Coolidge
The Dream Never Dies	Cooper Brothers
Driftwood	The Moody Blues
Substitute	Clout
Take Me To The River	Talking Heads
Cuz It's You, Girl	James Walsh Gypsy Band
(You Got To Walk And) Don't Look Back	Peter Tosh with Mick Jagger
Dancing In Paradise	El Coco
Only You	Loleatta Holloway And Bunny Sigler
Soft And Wet	Prince
Ease On Down The Road	Diana Ross & Michael Jackson
Greased Lightnin'	John Travolta
Josie	Steely Dan
Hollywood Nights	Bob Seger & The Silver Bullet Band
