MacArthur Park	Donna Summer
You Needed Me	Anne Murray
Double Vision	Foreigner
How Much I Feel	Ambrosia
Hot Child In The City	Nick Gilder
Kiss You All Over	Exile
Whenever I Call You "Friend"	Kenny Loggins
Beast Of Burden	The Rolling Stones
Get Off	Foxy
I Just Wanna Stop	Gino Vannelli
You Never Done It Like That	Captain & Tennille
Ready To Take A Chance Again	Barry Manilow
I Love The Nightlife (Disco 'round)	Alicia Bridges
Who Are You	The Who
Reminiscing	Little River Band
You Don't Bring Me Flowers	Barbra Streisand & Neil Diamond
Time Passages	Al Stewart
(Our Love) Don't Throw It All Away	Andy Gibb
Alive Again	Chicago
Strange Way	Firefall
Sharing The Night Together	Dr. Hook
Dance (Disco Heat)	Sylvester
Blue Collar Man (Long Nights)	Styx
Love Is In The Air	John Paul Young
Straight On	Heart
Sweet Life	Paul Davis
Boogie Oogie Oogie	A Taste Of Honey
Don't Want To Live Without It	Pablo Cruise
Change Of Heart	Eric Carmen
One Nation Under A Groove - Part I	Funkadelic
Y.M.C.A.	Village People
The Power Of Gold	Dan Fogelberg/Tim Weisberg
It's A Laugh	Daryl Hall John Oates
Everybody Needs Love	Stephen Bishop
How You Gonna See Me Now	Alice Cooper
Talking In Your Sleep	Crystal Gayle
Hold The Line	Toto
Flying High	Commodores
My Life	Billy Joel
Like A Sunday In Salem (The Amos & Andy Song)	Gene Cotton
This Is Love	Paul Anka
Wavelength	Van Morrison
Run For Home	Lindisfarne
On The Shelf	Donny & Marie Osmond
Dreadlock Holiday	10cc
There'll Never Be	Switch
Prisoner Of Your Love	Player
Promises	Eric Clapton And His Band
New York Groove	Ace Frehley
Forever Autumn	Justin Hayward
Instant Replay	Dan Hartman
I'm Every Woman	Chaka Khan
Fun Time	Joe Cocker
Le Freak	Chic
Hot Summer Nights	Walter Egan
Can You Fool	Glen Campbell
My Best Friend's Girl	The Cars
Took The Last Train	David Gates
Ooh Baby Baby	Linda Ronstadt
We've Got Tonight	Bob Seger & The Silver Bullet Band
Here Comes The Night	Nick Gilder
Got To Have Loving	Don Ray
Part-Time Love	Elton John
She's Always A Woman	Billy Joel
Themes From The Wizard Of Oz	Meco
Summer Nights	John Travolta & Olivia Newton-John & Cast
Right Down The Line	Gerry Rafferty
I Will Be In Love With You	Livingston Taylor
Blame It On The Boogie	The Jacksons
Bicycle Race/Fat Bottomed Girls	Queen
In The Bush	Musique
Mary Jane	Rick James
The Gambler	Kenny Rogers
Hold Me, Touch Me	Paul Stanley
Every 1's A Winner	Hot Chocolate
It's Over	Electric Light Orchestra
Love Me Again	Rita Coolidge
The Dream Never Dies	Cooper Brothers
Driftwood	The Moody Blues
Substitute	Clout
Take Me To The River	Talking Heads
Cuz It's You, Girl	James Walsh Gypsy Band
Don't Hold Back	Chanson
Whatever Happened To Benny Santini?	Chris Rea
I Was Made For Dancin'	Leif Garrett
Fire	The Pointer Sisters
Well All Right	Santana
Hot Shot	Karen Young
(You Got To Walk And) Don't Look Back	Peter Tosh with Mick Jagger
You Took The Words Right Out Of My Mouth	Meat Loaf
Only You	Loleatta Holloway And Bunny Sigler
Dancing In Paradise	El Coco
Champagne Jam	Atlanta Rhythm Section
Raining In My Heart	Leo Sayer
Don't Look Back	Boston
Soft And Wet	Prince
You Should Do It	Peter Brown With Betty Wright
Greased Lightnin'	John Travolta
Back In The U.s.a.	Linda Ronstadt
Hopelessly Devoted To You	Olivia Newton-John
