Le Freak	Chic
Too Much Heaven	Bee Gees
Y.M.C.A.	Village People
Da Ya Think I'm Sexy?	Rod Stewart
My Life	Billy Joel
A Little More Love	Olivia Newton-John
Ooh Baby Baby	Linda Ronstadt
Hold The Line	Toto
Every 1's A Winner	Hot Chocolate
September	Earth, Wind & Fire
Fire	The Pointer Sisters
You Don't Bring Me Flowers	Barbra Streisand & Neil Diamond
Lotta Love	Nicolette Larson
New York Groove	Ace Frehley
Somewhere In The Night	Barry Manilow
I Was Made For Dancin'	Leif Garrett
Got To Be Real	Cheryl Lynn
Shake It	Ian Matthews
Soul Man	Blues Brothers
I Will Survive	Gloria Gaynor
No Tell Lover	Chicago
Don't Hold Back	Chanson
Promises	Eric Clapton And His Band
The Gambler	Kenny Rogers
Don't Cry Out Loud	Melissa Manchester
Heaven Knows	Donna Summer With Brooklyn Dreams
We've Got Tonight	Bob Seger & The Silver Bullet Band
Take Me To The River	Talking Heads
Blue Morning, Blue Day	Foreigner
Home And Dry	Gerry Rafferty
Baby I'm Burnin'	Dolly Parton
Shattered	The Rolling Stones
Love Don't Live Here Anymore	Rose Royce
Sharing The Night Together	Dr. Hook
(Our Love) Don't Throw It All Away	Andy Gibb
Shake Your Groove Thing	Peaches & Herb
One Last Kiss	The J. Geils Band
Dancin' Shoes	Nigel Olsson
Lady	Little River Band
You Need A Woman Tonight	Captain & Tennille
You Thrill Me	Exile
I Don't Wanna Lose You	Daryl Hall John Oates
What You Won't Do For Love	Bobby Caldwell
Every Time I Think Of You	The Babys
Dancing In The City	Marshall Hain
The Football Card	Glenn Sutton
You Can Do It	Dobie Gray
Sing For The Day	Styx
How You Gonna See Me Now	Alice Cooper
Stormy	Santana
Please Come Home For Christmas	Eagles
A Man I'll Never Be	Boston
You Took The Words Right Out Of My Mouth	Meat Loaf
Haven't Stopped Dancing Yet	Gonzalez
Lost In Your Love	John Paul Young
Dancin' Shoes	Faith Band
I Just Fall In Love Again	Anne Murray
You Make Me Feel (Mighty Real)	Sylvester
Moment By Moment	Yvonne Elliman
Song On The Radio	Al Stewart
Crazy Love	Poco
What A Fool Believes	The Doobie Brothers
Free Me From My Freedom/Tie Me To A Tree (Handcuff Me)	Bonnie Pointer
Lonely Wind	Kansas
A Little Lovin' (Keeps The Doctor Away)	The Raes
Forever In Blue Jeans	Neil Diamond
You Stepped Into My Life	Melba Moore
Get Down	Gene Chandler
Who Do Ya Love	KC And The Sunshine Band
I Go To Rio	Pablo Cruise
Pops, We Love You (A Tribute To Father)	Diana Ross, Marvin Gaye, Smokey Robinson & Stevie Wonder
Not Fade Away	Tanya Tucker
Every Which Way But Loose	Eddie Rabbitt
I Don't Know If It's Right	Evelyn "Champagne" King
Baby, I Need Your Lovin'	Eric Carmen
Goodbye, I Love You	Firefall
Our Love Is Insane	Desmond Child And Rouge
Superman	Herbie Mann
Chip Away The Stone	Aerosmith
Chase	Giorgio Moroder
Maybe I'm A Fool	Eddie Money
Run Home Girl	Sad Cafe
Take That To The Bank	Shalamar
Music Box Dancer	Frank Mills
Knock On Wood	Amii Stewart
Theme From Superman (Main Title)	The London Symphony Orchestra/John Williams
Bad Brakes	Cat Stevens
Livin' It Up (Friday Night)	Bell & James
Stumblin' In	Suzi Quatro & Chris Norman
Fancy Dancer	Frankie Valli
My Best Friend's Girl	The Cars
Double Vision	Foreigner
I Love The Nightlife (Disco 'round)	Alicia Bridges
This Moment In Time	Engelbert Humperdinck
Strange Way	Firefall
Bicycle Race/Fat Bottomed Girls	Queen
Shoot Me (With Your Love)	Tasha Thomas
Time Passages	Al Stewart
Instant Replay	Dan Hartman
I Just Wanna Stop	Gino Vannelli
