I Will Survive	Gloria Gaynor
Da Ya Think I'm Sexy?	Rod Stewart
Tragedy	Bee Gees
Fire	The Pointer Sisters
Heaven Knows	Donna Summer With Brooklyn Dreams
A Little More Love	Olivia Newton-John
Shake Your Groove Thing	Peaches & Herb
What A Fool Believes	The Doobie Brothers
Y.M.C.A.	Village People
Sultans Of Swing	Dire Straits
Le Freak	Chic
Lotta Love	Nicolette Larson
Got To Be Real	Cheryl Lynn
Don't Cry Out Loud	Melissa Manchester
What You Won't Do For Love	Bobby Caldwell
Every Time I Think Of You	The Babys
The Gambler	Kenny Rogers
Dancin' Shoes	Nigel Olsson
Lady	Little River Band
I Just Fall In Love Again	Anne Murray
Big Shot	Billy Joel
Knock On Wood	Amii Stewart
Crazy Love	Poco
Forever In Blue Jeans	Neil Diamond
Stumblin' In	Suzi Quatro & Chris Norman
Haven't Stopped Dancing Yet	Gonzalez
No Tell Lover	Chicago
Blue Morning, Blue Day	Foreigner
Song On The Radio	Al Stewart
Music Box Dancer	Frank Mills
I Was Made For Dancin'	Leif Garrett
Somewhere In The Night	Barry Manilow
Maybe I'm A Fool	Eddie Money
I Don't Know If It's Right	Evelyn "Champagne" King
Every Which Way But Loose	Eddie Rabbitt
Too Much Heaven	Bee Gees
Livin' It Up (Friday Night)	Bell & James
He's The Greatest Dancer	Sister Sledge
I Want Your Love	Chic
Chase	Giorgio Moroder
Superman	Herbie Mann
Dog + Butterfly	Heart
Bustin' Loose	Chuck Brown & The Soul Searchers
Take Me Home	Cher
Just One Look	Linda Ronstadt
Precious Love	Bob Welch
Heart Of Glass	Blondie
Soul Man	Blues Brothers
Shake It	Ian Matthews
I'll Supply The Love	Toto
I Got My Mind Made Up (You Can Get It Girl)	Instant Funk
Watch Out For Lucy	Eric Clapton And His Band
Now That We Found Love	Third World
Oh Honey	Delegation
Shake Your Body (Down To The Ground)	The Jacksons
Survivor	Cindy Bullens
Our Love Is Insane	Desmond Child And Rouge
Rubber Biscuit	Blues Brothers
Keep On Dancin'	Gary's Gang
All The Time In The World	Dr. Hook
Four Strong Winds	Neil Young
It Hurts So Bad	Kim Carnes
Love Ballad	George Benson
Souvenirs	Voyage
Roxanne	The Police
Contact	Edwin Starr
I'm Not Gonna Cry Anymore	Nancy Brooks
Stay The Night	The Faragher Bros.
Blow Away	George Harrison
Stormy	Santana
You Make Me Feel (Mighty Real)	Sylvester
Make It Last	Brooklyn Dreams
Here Comes The Night	The Beach Boys
Roller	April Wine
Call Out My Name	Zwol
Goodbye, I Love You	Firefall
Baby I'm Burnin'	Dolly Parton
Wheels Of Life	Gino Vannelli
Every 1's A Winner	Hot Chocolate
Elena	The Marc Tanner Band
Love Is The Answer	England Dan & John Ford Coley
Heartaches	BTO
September	Earth, Wind & Fire
Dancin'	Grey & Hanks
Take It Back	The J. Geils Band
Can You Read My Mind	Maureen McGovern
Whole Lotta Love	The Wonder Band
At Midnight	T-Connection
One Way Love	Bandit
Love And Desire (Part I)	Arpeggio
Lazy Eyes	T.M.G.
Run Home Girl	Sad Cafe
My Life	Billy Joel
Sinner Man	Sarah Dash
You Can't Win (Part 1)	Michael Jackson
The Man With The Child In His Eyes	Kate Bush
Don't Stop Me Now	Queen
Love Struck	Stonebolt
This Is It	Dan Hartman
Pops, We Love You (A Tribute To Father)	Diana Ross, Marvin Gaye, Smokey Robinson & Stevie Wonder
