Knock On Wood	Amii Stewart
I Will Survive	Gloria Gaynor
Heart Of Glass	Blondie
Music Box Dancer	Frank Mills
What A Fool Believes	The Doobie Brothers
Reunited	Peaches & Herb
Stumblin' In	Suzi Quatro & Chris Norman
Tragedy	Bee Gees
I Want Your Love	Chic
Sultans Of Swing	Dire Straits
Goodnight Tonight	Wings
In The Navy	Village People
He's The Greatest Dancer	Sister Sledge
Take Me Home	Cher
Livin' It Up (Friday Night)	Bell & James
Shake Your Body (Down To The Ground)	The Jacksons
Lady	Little River Band
Love Is The Answer	England Dan & John Ford Coley
I Just Fall In Love Again	Anne Murray
Love Ballad	George Benson
Precious Love	Bob Welch
Blow Away	George Harrison
I Got My Mind Made Up (You Can Get It Girl)	Instant Funk
Shake Your Groove Thing	Peaches & Herb
Love Takes Time	Orleans
Superman	Herbie Mann
Da Ya Think I'm Sexy?	Rod Stewart
Disco Nights (Rock-Freak)	G.Q.
Renegade	Styx
Heaven Knows	Donna Summer With Brooklyn Dreams
What You Won't Do For Love	Bobby Caldwell
Rock 'n' Roll Fantasy	Bad Company
Crazy Love	The Allman Brothers Band
Roxanne	The Police
Happiness	The Pointer Sisters
Roller	April Wine
Love You Inside Out	Bee Gees
Just When I Needed You Most	Randy VanWarmer
Sweet Lui-Louise	Ironhorse
I Don't Know If It's Right	Evelyn "Champagne" King
Bridge Over Troubled Water	Linda Clifford
Such A Woman	Tycoon
Don't You Write Her Off	McGuinn, Clark & Hillman
Good Times Roll	The Cars
Oh Honey	Delegation
Feelin' Satisfied	Boston
I (Who Have Nothing)	Sylvester
The Logical Song	Supertramp
I Need Your Help Barry Manilow	Ray Stevens
(If Loving You Is Wrong) I Don't Want To Be Right	Barbara Mandrell
Get Used To It	Roger Voudouris
Can You Read My Mind	Maureen McGovern
Old Time Rock & Roll	Bob Seger & The Silver Bullet Band
Dancer	Gino Soccio
Rhumba Girl	Nicolette Larson
California Dreamin'	America
Hot Number	Foxy
Maybe I'm A Fool	Eddie Money
It Must Be Love	Alton McClain & Destiny
Saturday Night, Sunday Morning	Thelma Houston
Little Bit Of Soap	Nigel Olsson
Diamonds	Chris Rea
Makin' It	David Naughton
Just The Same Way	Journey
Heart To Heart	Errol Sober
I Don't Want Nobody Else (To Dance With You)	Narada Michael Walden
Give Me An Inch	Ian Matthews
Deeper Than The Night	Olivia Newton-John
Love Is Gonna Come At Last	Badfinger
(Sittin' On) The Dock Of The Bay	Sammy Hagar
Honesty	Billy Joel
You Says It All	Randy Brown
Ain't Love A Bitch	Rod Stewart
High On Your Love Suite	Rick James
Gone Long Gone	Chicago
Bustin' Loose	Chuck Brown & The Soul Searchers
Star Love	Cheryl Lynn
One Chain (Don't Make No Prison)	Santana
Hot Stuff	Donna Summer
Dancin' Fool	Frank Zappa
I Need You	Euclid Beach Band
I'll Come Running	Livingston Taylor
When You're In Love With A Beautiful Woman	Dr. Hook
You Take My Breath Away	Rex Smith
Touch Me Baby	Ultimate
I Never Said I Love You	Orsa Lia
Every Time I Think Of You	The Babys
Crazy Love	Poco
Boogie Woogie Dancin' Shoes	Claudja Barry
Can't Sleep	Rockets
Hard Times For Lovers	Judy Collins
One More Minute	Saint Tropez
Walk On By	AWB
Big Shot	Billy Joel
Keep On Dancin'	Gary's Gang
Here Comes The Night	The Beach Boys
Rubber Biscuit	Blues Brothers
Don't Cry Out Loud	Melissa Manchester
Elena	The Marc Tanner Band
There But For The Grace Of God Go I	Machine
