Ring My Bell	Anita Ward
Bad Girls	Donna Summer
Hot Stuff	Donna Summer
Chuck E.'s In Love	Rickie Lee Jones
She Believes In Me	Kenny Rogers
The Logical Song	Supertramp
Boogie Wonderland	Earth, Wind & Fire with The Emotions
We Are Family	Sister Sledge
Makin' It	David Naughton
I Want You To Want Me	Cheap Trick
Gold	John Stewart
Love You Inside Out	Bee Gees
Shine A Little Love	Electric Light Orchestra
Just When I Needed You Most	Randy VanWarmer
You Take My Breath Away	Rex Smith
Dance The Night Away	Van Halen
When You're In Love With A Beautiful Woman	Dr. Hook
Ain't No Stoppin' Us Now	McFadden & Whitehead
I Can't Stand It No More	Peter Frampton
Days Gone Down (Still Got The Light In Your Eyes)	Gerry Rafferty
You Can't Change That	Raydio
Does Your Mother Know	ABBA
Heart Of The Night	Poco
I Was Made For Lovin' You	KISS
Good Times	Chic
Do It Or Die	Atlanta Rhythm Section
Mama Can't Buy You Love	Elton John
Minute By Minute	The Doobie Brothers
Shadows In The Moonlight	Anne Murray
People Of The South Wind	Kansas
Getting Closer	Wings
Up On The Roof	James Taylor
The Main Event/Fight	Barbra Streisand
One Way Or Another	Blondie
Weekend	Wet Willie
Sad Eyes	Robert John
Lead Me On	Maxine Nightingale
Reunited	Peaches & Herb
Is She Really Going Out With Him?	Joe Jackson
Married Men	Bette Midler
Rock 'n' Roll Fantasy	Bad Company
Get Used To It	Roger Voudouris
If I Said You Have A Beautiful Body Would You Hold It Against Me	Bellamy Brothers
Shakedown Cruise	Jay Ferguson
Go West	Village People
Suspicions	Eddie Rabbitt
Shake Your Body (Down To The Ground)	The Jacksons
Kiss In The Dark	Pink Lady
Wasn't It Good	Cher
Do You Wanna Go Party	KC And The Sunshine Band
Vengeance	Carly Simon
My Sharona	The Knack
If You Can't Give Me Love	Suzi Quatro
I'll Never Love This Way Again	Dionne Warwick
The Devil Went Down To Georgia	The Charlie Daniels Band
Amanda	Waylon
Since I Don't Have You	Art Garfunkel
Morning Dance	Spyro Gyra
Rock Me	Nick Gilder
Heaven Must Have Sent You	Bonnie Pointer
You Angel You	Manfred Mann's Earth Band
Highway Song	Blackfoot
Renegade	Styx
Hold On	Triumph
Hot Summer Nights	Night
You Gonna Make Me Love Somebody Else	The Jones Girls
Born To Be Alive	Patrick Hernandez
Long Live Rock	The Who
Let's Go	The Cars
Last Of The Singing Cowboys	The Marshall Tucker Band
You're The Only One	Dolly Parton
We've Got Love	Peaches & Herb
Light My Fire/137 Disco Heaven	Amii Stewart
I Do Love You	GQ
Motown Review	Philly Cream
You're My Weakness	Faith Band
After The Love Has Gone	Earth, Wind & Fire
Goodbye Stranger	Supertramp
I Know A Heartache When I See One	Jennifer Warnes
Goodnight Tonight	Wings
Girl Of My Dreams	Bram Tchaikovsky
I'll Know Her When I See Her	Cooper Brothers Band
Cuba	The Gibson Brothers
Oh Well	Rockets
Sweets For My Sweet	Tony Orlando
When I Dream	Crystal Gayle
Here I Go (Fallin' In Love Again)	Frannie Golde
Keep On Running Away	Lazy Racer
Different Worlds	Maureen McGovern
Deeper Than The Night	Olivia Newton-John
Make Love To Me	Helen Reddy
In The Navy	Village People
Disco Nights (Rock-Freak)	G.Q.
Ain't Love A Bitch	Rod Stewart
Don't Ever Wanna Lose Ya	New England
Love Is The Answer	England Dan & John Ford Coley
Hot Number	Foxy
Heart Of Glass	Blondie
(Wish I Could Fly Like) Superman	The Kinks
Feel That You're Feelin'	Maze Featuring Frankie Beverly
