Rise	Herb Alpert
Pop Muzik	M
Don't Stop 'til You Get Enough	Michael Jackson
Dim All The Lights	Donna Summer
I'll Never Love This Way Again	Dionne Warwick
Sail On	Commodores
Heartache Tonight	Eagles
Still	Commodores
Tusk	Fleetwood Mac
You Decorated My Life	Kenny Rogers
Sad Eyes	Robert John
Dirty White Boy	Foreigner
Please Don't Go	KC And The Sunshine Band
Babe	Styx
Good Girls Don't	The Knack
Lovin', Touchin', Squeezin'	Journey
Come To Me	France Joli
Hold On	Ian Gomm
My Sharona	The Knack
Ships	Barry Manilow
Heaven Must Have Sent You	Bonnie Pointer
I Know A Heartache When I See One	Jennifer Warnes
This Night Won't Last Forever	Michael Johnson
Broken Hearted Me	Anne Murray
Gotta Serve Somebody	Bob Dylan
Lonesome Loser	Little River Band
Where Were You When I Was Falling In Love	Lobo
Midnight Wind	John Stewart
If You Remember Me	Chris Thompson & Night
Spooky	Atlanta Rhythm Section
So Good, So Right	Brenda Russell
Get It Right Next Time	Gerry Rafferty
No More Tears (Enough Is Enough)	Barbra Streisand/Donna Summer
Rainbow Connection	Kermit (Jim Henson)
You're Only Lonely	J.D. Souther
Fins	Jimmy Buffett
Dream Police	Cheap Trick
Please Don't Leave	Lauren Wood
Street Life	The Crusaders
Victim Of Love	Elton John
Don't Bring Me Down	Electric Light Orchestra
Dreaming	Blondie
Take The Long Way Home	Supertramp
Let Me Know (I Have A Right)	Gloria Gaynor
Half The Way	Crystal Gayle
5:15	The Who
Sure Know Something	KISS
Better Love Next Time	Dr. Hook
My Forbidden Lover	Chic
Cruel To Be Kind	Nick Lowe
I Need A Lover	John Cougar
Damned If I Do	The Alan Parsons Project
I Want You Tonight	Pablo Cruise
Who Listens To The Radio	The Sports
Confusion	Electric Light Orchestra
Starry Eyes	The Records
If You Want It	Niteflyte
Cruisin'	Smokey Robinson
Cool Change	Little River Band
Do You Think I'm Disco?	Steve Dahl And Teenage Radiation
Dependin' On You	The Doobie Brothers
It's All I Can Do	The Cars
Ladies Night	Kool & The Gang
Pretty Girls	Melissa Manchester
Love Pains	Yvonne Elliman
Do That To Me One More Time	Captain & Tennille
We Don't Talk Anymore	Cliff Richard
Slip Away	Ian Lloyd
Highway To Hell	AC/DC
In The Stone	Earth, Wind & Fire
This Is It	Kenny Loggins
Get It Up	Ronnie Milsap
After The Love Has Gone	Earth, Wind & Fire
Escape (The Pina Colada Song)	Rupert Holmes
Found A Cure	Ashford & Simpson
Born To Be Alive	Patrick Hernandez
Plain Jane	Sammy Hagar
What Can I Do With This Broken Heart	England Dan & John Ford Coley
Train, Train	Blackfoot
Hey Hey, My My (Into The Black)	Neil Young & Crazy Horse
Don't Let Go	Isaac Hayes
(Not Just) Knee Deep - Part 1	Funkadelic
Good Friend	Mary Macgregor
Pow Wow	Cory Daye
I Still Have Dreams	Richie Furay
Touch Me When We're Dancing	Bama
Wait For Me	Daryl Hall John Oates
She's Got A Whole Number	Keith Herman
Fooled By A Feeling	Barbara Mandrell
It's A Disco Night (Rock Don't Stop)	The Isley Brothers
You Stepped Into My Life	Wayne Newton
The Boss	Diana Ross
Arrow Through Me	Wings
Lead Me On	Maxine Nightingale
Since You've Been Gone	Cherie & Marie Currie
Reason To Be	Kansas
Bad Case Of Loving You (Doctor, Doctor)	Robert Palmer
I've Never Been In Love	Suzi Quatro
Driver's Seat	Sniff 'n' the Tears
Rolene	Moon Martin
