Rock With You	Michael Jackson
Do That To Me One More Time	Captain & Tennille
Escape (The Pina Colada Song)	Rupert Holmes
Coward Of The County	Kenny Rogers
Send One Your Love	Stevie Wonder
Cruisin'	Smokey Robinson
We Don't Talk Anymore	Cliff Richard
Ladies Night	Kool & The Gang
Please Don't Go	KC And The Sunshine Band
Cool Change	Little River Band
The Long Run	Eagles
Better Love Next Time	Dr. Hook
I Wanna Be Your Lover	Prince
Jane	Jefferson Starship
Sara	Fleetwood Mac
This Is It	Kenny Loggins
Don't Do Me Like That	Tom Petty And The Heartbreakers
Crazy Little Thing Called Love	Queen
Wait For Me	Daryl Hall John Oates
Don't Let Go	Isaac Hayes
Deja Vu	Dionne Warwick
Still	Commodores
Babe	Styx
Yes, I'm Ready	Teri DeSario With K.C.
Romeo's Tune	Steve Forbert
Third Time Lucky (First Time I Was A Fool)	Foghat
Head Games	Foreigner
Daydream Believer	Anne Murray
An American Dream	The Dirt Band
Rotation	Herb Alpert
Fool In The Rain	Led Zeppelin
Why Me	Styx
Forever Mine	The O'Jays
Savannah Nights	Tom Johnston
Longer	Dan Fogelberg
You Know That I Love You	Santana
Voices	Cheap Trick
No More Tears (Enough Is Enough)	Barbra Streisand/Donna Summer
September Morn'	Neil Diamond
Do You Love What You Feel	Rufus And Chaka Khan
She's In Love With You	Suzi Quatro
Wonderland	Commodores
Lost Her In The Sun	John Stewart
Last Train To London	Electric Light Orchestra
Dig The Gold	Joyce Cobb
Lonely Eyes	Robert John
You're Only Lonely	J.D. Souther
Working My Way Back To You/Forgive Me, Girl	The Spinners
On The Radio	Donna Summer
Money	The Flying Lizards
Dirty Water	The Inmates
Looks Like Love Again	Dann Rogers
When I Wanted You	Barry Manilow
Heartbreaker	Pat Benatar
99	Toto
The Second Time Around	Shalamar
I Don't Want To Talk About It	Rod Stewart
I Want You Tonight	Pablo Cruise
Stargazer	Peter Brown
Glide	Pleasure
Can We Still Be Friends	Robert Palmer
Memorize Your Number	Leif Garrett
I Can't Help Myself (Sugar Pie, Honey Bunch)	Bonnie Pointer
Star	Earth, Wind & Fire
Chiquitita	ABBA
Volcano	Jimmy Buffett
Don't Make Me Over	Jennifer Warnes
Flirtin' With Disaster	Molly Hatchet
Let Me Go, Love	Nicolette Larson & Michael McDonald
I'm Alive	Gamma
Too Late	Journey
Him	Rupert Holmes
Remember (Walking In The Sand)	Aerosmith
Shooting Star	Dollar
Goodnight My Love	Mike Pinera
Too Hot	Kool & The Gang
Another Brick In The Wall (Part II)	Pink Floyd
Make Believe It's Your First Time	Bobby Vinton
Kiss Me In The Rain	Barbra Streisand
When A Man Loves A Woman	Bette Midler
I Thank You	ZZ Top
Bad Times	Tavares
I Wish I Was Eighteen Again	George Burns
Holdin' On For Dear Love	Lobo
Got To Love Somebody	Sister Sledge
I Call Your Name	Switch
Back On My Feet Again	The Babys
With You I'm Born Again	Billy Preston & Syreeta
Give It All You Got	Chuck Mangione
I Pledge My Love	Peaches & Herb
Trust Me	Cindy Bullens
Takin' It Back	Breathless
I Don't Want To Be Lonely	Dana Valery
Take The Long Way Home	Supertramp
Rapper's Delight	Sugarhill Gang
I'd Rather Leave While I'm In Love	Rita Coolidge
Damned If I Do	The Alan Parsons Project
Move Your Boogie Body	Bar-Kays
Train, Train	Blackfoot
Pop Muzik	M
