Call Me	Blondie
Ride Like The Wind	Christopher Cross
Another Brick In The Wall (Part II)	Pink Floyd
With You I'm Born Again	Billy Preston & Syreeta
Special Lady	Ray, Goodman & Brown
Lost In Love	Air Supply
Fire Lake	Bob Seger
I Can't Tell You Why	Eagles
You May Be Right	Billy Joel
Sexy Eyes	Dr. Hook
Working My Way Back To You/Forgive Me, Girl	The Spinners
Hold On To My Love	Jimmy Ruffin
Don't Fall In Love With A Dreamer	Kenny Rogers With Kim Carnes
Too Hot	Kool & The Gang
Pilot Of The Airwaves	Charlie Dore
Off The Wall	Michael Jackson
Biggest Part Of Me	Ambrosia
Hurt So Bad	Linda Ronstadt
I Pledge My Love	Peaches & Herb
Think About Me	Fleetwood Mac
I Can't Help It	Andy Gibb & Olivia Newton-John
Cars	Gary Numan
Any Way You Want It	Journey
Stomp!	The Brothers Johnson
Brass In Pocket (I'm Special)	Pretenders
Breakdown Dead Ahead	Boz Scaggs
Crazy Little Thing Called Love	Queen
And The Beat Goes On	The Whispers
Funkytown	Lipps, Inc.
How Do I Make You	Linda Ronstadt
Do Right	Paul Davis
Fire In The Morning	Melissa Manchester
Heart Hotels	Dan Fogelberg
Him	Rupert Holmes
The Second Time Around	Shalamar
Set Me Free	Utopia
Only A Lonely Heart Sees	Felix Cavaliere
Train In Vain (Stand By Me)	The Clash
The Rose	Bette Midler
The Seduction (Love Theme)	James Last Band
Let Me Be The Clock	Smokey Robinson
Wondering Where The Lions Are	Bruce Cockburn
Let Me Be	Korona
Three Times In Love	Tommy James
It's Hard To Be Humble	Mac Davis
Let's Get Serious	Jermaine Jackson
Carrie	Cliff Richard
Starting Over Again	Dolly Parton
She's Out Of My Life	Michael Jackson
Gee Whiz	Bernadette Peters
Stay In Time	Off Broadway USA
Should've Never Let You Go	Neil Sedaka & Dara Sedaka
Lucky Me	Anne Murray
Headed For A Fall	Firefall
When The Feeling Comes Around	Jennifer Warnes
We Were Meant To Be Lovers	Photoglo
Keep The Fire	Kenny Loggins
White Hot	Red Rider
Steal Away	Robbie Dupree
We Live For Love	Pat Benatar
I Don't Want To Walk Without You	Barry Manilow
Can't Put A Price On Love	The Knack
Solitaire	Peter McIan
Love Stinks	The J. Geils Band
After You	Dionne Warwick
Don't Say Goodnight (It's Time For Love) (Parts 1 & 2)	The Isley Brothers
The Good Lord Loves You	Neil Diamond
Lady	The Whispers
It's A Night For Beautiful Girls	The Fools
Don't Push It Don't Force It	Leon Haywood
Somewhere In America	Survivor
Catching The Sun	Spyro Gyra
Coming Up (Live At Glasgow)	Paul McCartney And Wings
Twilight Zone/Twilight Tone	The Manhattan Transfer
New Romance (It's A Mystery)	Spider
You've Got What I Need	Shooting Star
Two Places At The Same Time	Ray Parker Jr. & Raydio
Rock Lobster	The B-52s
Coming Down From Love	Bobby Caldwell
Here Comes My Girl	Tom Petty And The Heartbreakers
Autograph	John Denver
Longer	Dan Fogelberg
Desire	Andy Gibb
I Was Looking For Someone To Love	Leif Garrett
Fool For A Pretty Face (Hurt By Love)	Humble Pie
On The Radio	Donna Summer
Give It All You Got	Chuck Mangione
You're My Blessing	Lou Rawls
It Takes Time	The Marshall Tucker Band
Shining Star	The Manhattans
Borrowed Time	Styx
Even It Up	Heart
Refugee	Tom Petty And The Heartbreakers
Years	Wayne Newton
Seasons	Grace Slick
Goin' On	The Beach Boys
Say Goodbye To Little Jo	Steve Forbert
What's Your Hurry Darlin'	Ironhorse
Don't Cry For Me Argentina	Festival
You Are My Heaven	Roberta Flack With Donny Hathaway
