Funkytown	Lipps, Inc.
Call Me	Blondie
Coming Up (Live At Glasgow)	Paul McCartney And Wings
Don't Fall In Love With A Dreamer	Kenny Rogers With Kim Carnes
Sexy Eyes	Dr. Hook
Biggest Part Of Me	Ambrosia
Stomp!	The Brothers Johnson
Hurt So Bad	Linda Ronstadt
Against The Wind	Bob Seger
Cars	Gary Numan
The Rose	Bette Midler
I Can't Help It	Andy Gibb & Olivia Newton-John
Little Jeannie	Elton John
Brass In Pocket (I'm Special)	Pretenders
Breakdown Dead Ahead	Boz Scaggs
Steal Away	Robbie Dupree
She's Out Of My Life	Michael Jackson
Lost In Love	Air Supply
Cupid/I've Loved You For A Long Time	The Spinners
Let's Get Serious	Jermaine Jackson
It's Still Rock And Roll To Me	Billy Joel
Ride Like The Wind	Christopher Cross
Train In Vain (Stand By Me)	The Clash
Let Me Love You Tonight	Pure Prairie League
Wondering Where The Lions Are	Bruce Cockburn
Another Brick In The Wall (Part II)	Pink Floyd
Should've Never Let You Go	Neil Sedaka & Dara Sedaka
The Seduction (Love Theme)	James Last Band
With You I'm Born Again	Billy Preston & Syreeta
Lady	The Whispers
Gee Whiz	Bernadette Peters
We Live For Love	Pat Benatar
You May Be Right	Billy Joel
Shining Star	The Manhattans
Twilight Zone/Twilight Tone	The Manhattan Transfer
I Don't Want To Walk Without You	Barry Manilow
We Were Meant To Be Lovers	Photoglo
Love Stinks	The J. Geils Band
Don't Say Goodnight (It's Time For Love) (Parts 1 & 2)	The Isley Brothers
Theme From New York, New York	Frank Sinatra
New Romance (It's A Mystery)	Spider
Two Places At The Same Time	Ray Parker Jr. & Raydio
Tired Of Toein' The Line	Rocky Burnette
Heart Hotels	Dan Fogelberg
Answering Machine	Rupert Holmes
All Night Long	Joe Walsh
Coming Down From Love	Bobby Caldwell
Power	The Temptations
Don't Push It Don't Force It	Leon Haywood
Pilot Of The Airwaves	Charlie Dore
It's Not A Wonder	Little River Band
Fool For A Pretty Face (Hurt By Love)	Humble Pie
Run Like Hell	Pink Floyd
Atomic	Blondie
One Fine Day	Carole King
Angel Say No	Tommy Tutone
Happy Together (A Fantasy)	Captain & Tennille
Back Together Again	Roberta Flack With Donny Hathaway
All Night Thing	The Invisible Man's Band
Clones (We're All)	Alice Cooper
King Of The Hill	Rick Pinette & Oak
I'm Alive	Electric Light Orchestra
Ashes By Now	Rodney Crowell
Magic	Olivia Newton-John
Stand By Me	Mickey Gilley
Is This Love	Pat Travers Band
Let Me Be The Clock	Smokey Robinson
Somethin' 'Bout You Baby I Like	Glen Campbell & Rita Coolidge
Headed For A Fall	Firefall
A Lover's Holiday	Change
Misunderstanding	Genesis
Dancin' Like Lovers	Mary Macgregor
Walks Like A Lady	Journey
And The Cradle Will Rock...	Van Halen
More Love	Kim Carnes
Take You Tonight	Ozark Mountain Daredevils
Gimme Some Lovin'	Blues Brothers
Everything Works If You Let It	Cheap Trick
Love And Loneliness	The Motors
Slipstream	Allan Clarke
Real Love	The Cretones
In America	The Charlie Daniels Band
I Only Want To Be With You	The Tourists
Do Right	Paul Davis
Fire Lake	Bob Seger
I Can't Tell You Why	Eagles
Shotgun Rider	Joe Sun
Take Your Time (Do It Right) Part 1	The S.O.S. Band
What's Your Hurry Darlin'	Ironhorse
Time For Me To Fly	REO Speedwagon
Here Comes My Girl	Tom Petty And The Heartbreakers
Rock Lobster	The B-52s
Starting Over Again	Dolly Parton
Hold On To My Love	Jimmy Ruffin
Inside Of You	Ray, Goodman & Brown
It's Hard To Be Humble	Mac Davis
Think About Me	Fleetwood Mac
Off The Wall	Michael Jackson
Any Way You Want It	Journey
Working My Way Back To You/Forgive Me, Girl	The Spinners
