Magic	Olivia Newton-John
It's Still Rock And Roll To Me	Billy Joel
Little Jeannie	Elton John
Take Your Time (Do It Right) Part 1	The S.O.S. Band
Sailing	Christopher Cross
Shining Star	The Manhattans
Emotional Rescue	The Rolling Stones
Cupid/I've Loved You For A Long Time	The Spinners
Coming Up (Live At Glasgow)	Paul McCartney And Wings
Upside Down	Diana Ross
In America	The Charlie Daniels Band
More Love	Kim Carnes
Tired Of Toein' The Line	Rocky Burnette
Love The World Away	Kenny Rogers
Misunderstanding	Genesis
One Fine Day	Carole King
Fame	Irene Cara
Empire Strikes Back (Medley)	Meco
Let My Love Open The Door	Pete Townshend
Into The Night	Benny Mardones
JoJo	Boz Scaggs
Stand By Me	Mickey Gilley
Take A Little Rhythm	Ali Thomson
Old-Fashion Love	Commodores
Why Not Me	Fred Knoblock
Make A Little Magic	The Dirt Band
Boulevard	Jackson Browne
All Out Of Love	Air Supply
You're The Only Woman (You & I)	Ambrosia
Drivin' My Life Away	Eddie Rabbitt
I Can't Let Go	Linda Ronstadt
Tulsa Time/Cocaine	Eric Clapton And His Band
Give Me The Night	George Benson
Lookin' For Love	Johnny Lee
The Rose	Bette Midler
Steal Away	Robbie Dupree
One In A Million You	Larry Graham
Gimme Some Lovin'	Blues Brothers
Hot Rod Hearts	Robbie Dupree
Someone That I Used To Love	Natalie Cole
All Night Long	Joe Walsh
Let Me Love You Tonight	Pure Prairie League
All Over The World	Electric Light Orchestra
I'm Alive	Electric Light Orchestra
Play The Game	Queen
Late In The Evening	Paul Simon
Let's Get Serious	Jermaine Jackson
I'm Alright	Kenny Loggins
You'll Accomp'ny Me	Bob Seger
Love That Got Away	Firefall
Years From Now	Dr. Hook
Hey There Lonely Girl	Robert John
You Better Run	Pat Benatar
Free Me	Roger Daltrey
You're Supposed To Keep Your Love For Me	Jermaine Jackson
How Does It Feel To Be Back	Daryl Hall John Oates
Don't Ask Me Why	Billy Joel
Under The Gun	Poco
Funkytown	Lipps, Inc.
The Royal Mile (Sweet Darlin')	Gerry Rafferty
Jesse	Carly Simon
Shandi	KISS
He's So Shy	The Pointer Sisters
Against The Wind	Bob Seger
Honey, Honey	David Hudson
First Time Love	Livingston Taylor
Don't Misunderstand Me	Rossington Collins Band
No Night So Long	Dionne Warwick
(Call Me) When The Spirit Moves You	Touch
Walks Like A Lady	Journey
First...Be A Woman	Lenore O'malley
Half Moon Silver	Hotel
Rock It	Lipps, Inc.
Fool For Your Loving	Whitesnake
That Lovin' You Feelin' Again	Roy Orbison & Emmylou Harris
Beyond	Herb Alpert
Whatever You Decide	Randy VanWarmer
Darlin'	Yipes!!
Xanadu	Olivia Newton-John And The Electric Light Orchestra
How Do I Survive	Amy Holland
Stranger In My Home Town	Foghat
(Sartorial Eloquence) Don't Ya Wanna Play This Game No More?	Elton John
Never Knew Love Like This Before	Stephanie Mills
Over You	Roxy Music
One More Time For Love	Billy Preston & Syreeta
Everything Is Alright	Spider
Let Me Be Your Angel	Stacy Lattisaw
A Lover's Holiday	Change
Red Light	Linda Clifford
Where Did We Go Wrong	Frankie Valli & Chris Forde
Shiver And Shake	The Silencers
Biggest Part Of Me	Ambrosia
Landlord	Gladys Knight And The Pips
King Of The Hill	Rick Pinette & Oak
You And Me	Rockie Robbins
Wango Tango	Ted Nugent
Just Can't Wait	The J. Geils Band
My Mistake	The Kingbees
Cry Just A Little	Paul Davis
Let's Go 'round Again	Average White Band
