Lady	Kenny Rogers
More Than I Can Say	Leo Sayer
Another One Bites The Dust	Queen
(Just Like) Starting Over	John Lennon
Master Blaster (Jammin')	Stevie Wonder
Love On The Rocks	Neil Diamond
Hungry Heart	Bruce Springsteen
Woman In Love	Barbra Streisand
Guilty	Barbra Streisand & Barry Gibb
Hit Me With Your Best Shot	Pat Benatar
Every Woman In The World	Air Supply
You've Lost That Lovin' Feeling	Daryl Hall John Oates
Tell It Like It Is	Heart
I'm Coming Out	Diana Ross
Never Be The Same	Christopher Cross
De Do Do Do, De Da Da Da	The Police
Whip It	Devo
It's My Turn	Diana Ross
Everybody's Got To Learn Sometime	The Korgis
The Tide Is High	Blondie
Theme From The Dukes Of Hazzard (Good Ol' Boys)	Waylon
Deep Inside My Heart	Randy Meisner
Sequel	Harry Chapin
Passion	Rod Stewart
Celebration	Kool & The Gang
I Believe In You	Don Williams
This Time	John Cougar
Suddenly	Olivia Newton-John & Cliff Richard
I Made It Through The Rain	Barry Manilow
One Step Closer	The Doobie Brothers
Time Is Time	Andy Gibb
I Love A Rainy Night	Eddie Rabbitt
Dreaming	Cliff Richard
Girls Can Get It	Dr. Hook
Hey Nineteen	Steely Dan
The Wanderer	Donna Summer
He's So Shy	The Pointer Sisters
Together	Tierra
Without Your Love	Roger Daltrey
Never Knew Love Like This Before	Stephanie Mills
Upside Down	Diana Ross
The Horizontal Bop	Bob Seger
Switchin' To Glide/This Beat Goes On	The Kings
Turn And Walk Away	The Babys
9 To 5	Dolly Parton
Let Me Be Your Angel	Stacy Lattisaw
Turning Japanese	The Vapors
Stop This Game	Cheap Trick
Gotta Have More Love	Climax Blues Band
Help Me!	Marcy Levy & Robin Gibb
The Winner Takes It All	ABBA
Could I Be Dreaming	The Pointer Sisters
You	Earth, Wind & Fire
Shine On	L.T.D.
He Can't Love You	Michael Stanley Band
Teacher Teacher	Rockpile
Killin' Time	Fred Knoblock & Susan Anton
My Mother's Eyes	Bette Midler
Need Your Loving Tonight	Queen
Lovely One	The Jacksons
Cold Love	Donna Summer
Easy Love	Dionne Warwick
I Need Your Lovin'	Teena Marie
Miss Sun	Boz Scaggs
Smoky Mountain Rain	Ronnie Milsap
Love T.K.O.	Teddy Pendergrass
Keep On Loving You	REO Speedwagon
On The Road Again	Willie Nelson
Giving It Up For Your Love	Delbert McClinton
One-Trick Pony	Paul Simon
Heartbreak Hotel	The Jacksons
I'm Happy That Love Has Found You	Jimmy Hall
Games People Play	The Alan Parsons Project
Trickle Trickle	The Manhattan Transfer
Same Old Lang Syne	Dan Fogelberg
Out Here On My Own	Irene Cara
Fashion	David Bowie
I Can't Stop The Feelin'	Pure Prairie League
I Ain't Gonna Stand For It	Stevie Wonder
You Shook Me All Night Long	AC/DC
Fool That I Am	Rita Coolidge
Breakfast In America	Supertramp
She's So Cold	The Rolling Stones
Morning Man	Rupert Holmes
Set The Night On Fire	Oak
Dreamer	Supertramp
Real Love	The Doobie Brothers
A Little In Love	Cliff Richard
Remote Control	The Reddings
Ah! Leah!	Donnie Iris
What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?)	The Star Wars Intergalactic Droid Choir & Chorale
If You Should Sail	Nielsen/Pearson
Jesse	Carly Simon
Look What You've Done To Me	Boz Scaggs
Gypsy Spirit	Pendulum
Spend The Night In Love	The 4 Seasons
All Out Of Love	Air Supply
That Girl Could Sing	Jackson Browne
Brite Eyes	Robbin Thompson Band
Texas In My Rear View Mirror	Mac Davis
