Celebration	Kool & The Gang
The Tide Is High	Blondie
I Love A Rainy Night	Eddie Rabbitt
9 To 5	Dolly Parton
Passion	Rod Stewart
(Just Like) Starting Over	John Lennon
Every Woman In The World	Air Supply
Woman	John Lennon
It's My Turn	Diana Ross
Giving It Up For Your Love	Delbert McClinton
Hey Nineteen	Steely Dan
Same Old Lang Syne	Dan Fogelberg
Keep On Loving You	REO Speedwagon
Miss Sun	Boz Scaggs
Love On The Rocks	Neil Diamond
The Winner Takes It All	ABBA
The Best Of Times	Styx
I Ain't Gonna Stand For It	Stevie Wonder
Together	Tierra
Crying	Don McLean
Seven Bridges Road	Eagles
Guilty	Barbra Streisand & Barry Gibb
Heartbreak Hotel	The Jacksons
A Little In Love	Cliff Richard
Hello Again	Neil Diamond
I Made It Through The Rain	Barry Manilow
Smoky Mountain Rain	Ronnie Milsap
Killin' Time	Fred Knoblock & Susan Anton
Games People Play	The Alan Parsons Project
Treat Me Right	Pat Benatar
Time Is Time	Andy Gibb
Hungry Heart	Bruce Springsteen
He Can't Love You	Michael Stanley Band
De Do Do Do, De Da Da Da	The Police
Tell It Like It Is	Heart
Lady	Kenny Rogers
Hearts On Fire	Randy Meisner
Ah! Leah!	Donnie Iris
Who's Making Love	Blues Brothers
Back In Black	AC/DC
Hit Me With Your Best Shot	Pat Benatar
Rapture	Blondie
Kiss On My List	Daryl Hall John Oates
(Ghost) Riders In The Sky	Outlaws
Shine On	L.T.D.
Flash's Theme Aka Flash	Queen
Suddenly	Olivia Newton-John & Cliff Richard
I Need Your Lovin'	Teena Marie
More Than I Can Say	Leo Sayer
Too Tight	ConFunkShun
Cold Love	Donna Summer
What Kind Of Fool	Barbra Streisand & Barry Gibb
Fool That I Am	Rita Coolidge
Guitar Man	Elvis Presley
Full Of Fire	Shalamar
Fly Away	Peter Allen
Precious To Me	Phil Seymour
Living In A Fantasy	Leo Sayer
Love T.K.O.	Teddy Pendergrass
Staying With It	Firefall
Master Blaster (Jammin')	Stevie Wonder
One Step Closer	The Doobie Brothers
Somebody's Knockin'	Terri Gibbs
My Mother's Eyes	Bette Midler
Fade Away	Bruce Springsteen
I Don't Want To Know Your Name	Glen Campbell
Another One Bites The Dust	Queen
United Together	Aretha Franklin
Lipstick	Suzi Quatro
Skateaway	Dire Straits
Ain't Even Done With The Night	John Cougar
Woman In Love	Barbra Streisand
Dreamer	The Association
Fantastic Voyage	Lakeside
Seasons	Charles Fox
Wynken, Blynken And Nod	The Doobie Brothers
Turn Me Loose	Loverboy
Don't Stand So Close To Me	The Police
Watching You	Slave
While You See A Chance	Steve Winwood
Everybody's Got To Learn Sometime	The Korgis
Fireflies	Fleetwood Mac
You've Lost That Lovin' Feeling	Daryl Hall John Oates
Whip It	Devo
Just Between You And Me	April Wine
Don't Stop The Music	Yarbrough & Peoples
And Love Goes On	Earth, Wind & Fire
Long Time Lovin' You	McGuffey Lane
Cafe Amore	Spyro Gyra
Don't You Know What Love Is	Touch
I Believe In You	Don Williams
Never Be The Same	Christopher Cross
Theme From The Dukes Of Hazzard (Good Ol' Boys)	Waylon
Need Your Loving Tonight	Queen
I'm Coming Out	Diana Ross
Teacher Teacher	Rockpile
You	Earth, Wind & Fire
8th Wonder	Sugarhill Gang
Dreaming	Cliff Richard
Remote Control	The Reddings
