Kiss On My List	Daryl Hall John Oates
Morning Train (Nine To Five)	Sheena Easton
Being With You	Smokey Robinson
Just The Two Of Us	Grover Washington, Jr. With Bill Withers
Angel Of The Morning	Juice Newton
Rapture	Blondie
While You See A Chance	Steve Winwood
Woman	John Lennon
The Best Of Times	Styx
Don't Stand So Close To Me	The Police
I Can't Stand It	Eric Clapton And His Band
Her Town Too	James Taylor & J.D. Souther
Somebody's Knockin'	Terri Gibbs
Keep On Loving You	REO Speedwagon
Crying	Don McLean
Living Inside Myself	Gino Vannelli
Take It On The Run	REO Speedwagon
Bette Davis Eyes	Kim Carnes
Too Much Time On My Hands	Styx
Ain't Even Done With The Night	John Cougar
Just Between You And Me	April Wine
Time Out Of Mind	Steely Dan
Sweetheart	Franke & The Knockouts
You Better You Bet	The Who
Watching The Wheels	John Lennon
How 'bout Us	Champaign
I Love You	Climax Blues Band
It's A Love Thing	The Whispers
I Missed Again	Phil Collins
Sukiyaki	A Taste Of Honey
Don't Stop The Music	Yarbrough & Peoples
Love You Like I Never Loved Before	John O'Banion
Hold On Loosely	38 Special
The Party's Over (Hopelessly In Love)	Journey
Turn Me Loose	Loverboy
What Are We Doin' In Love	Dottie West with Kenny Rogers
Mister Sandman	Emmylou Harris
A Woman Needs Love (Just Like You Do)	Ray Parker Jr. & Raydio
Wasn't That A Party	The Rovers
Say You'll Be Mine	Christopher Cross
9 To 5	Dolly Parton
Find Your Way Back	Jefferson Starship
Hello Again	Neil Diamond
Blessed Are The Believers	Anne Murray
What Kind Of Fool	Barbra Streisand & Barry Gibb
Celebration	Kool & The Gang
Jessie's Girl	Rick Springfield
Medley	Stars On 45
Since I Don't Have You	Don McLean
I Loved 'em Every One	T.G. Sheppard
Lonely Together	Barry Manilow
The Winner Takes It All	ABBA
I Love A Rainy Night	Eddie Rabbitt
But You Know I Love You	Dolly Parton
Treat Me Right	Pat Benatar
Me (Without You)	Andy Gibb
Somebody Send My Baby Home	Lenny LeBlanc
I Don't Need You	Rupert Holmes
Super Trouper	ABBA
Precious To Me	Phil Seymour
Ai No Corrida (I-No-Ko-ree-da)	Quincy Jones
A Little In Love	Cliff Richard
Hearts On Fire	Randy Meisner
Games People Play	The Alan Parsons Project
Winning	Santana
Lately	Stevie Wonder
This Little Girl	Gary U.S. Bonds
Limelight	Rush
That Didn't Hurt Too Bad	Dr. Hook
One Day In Your Life	Michael Jackson
Playing With Lightning	Shot In The Dark
Seduced	Leon Redbone
Time	The Alan Parsons Project
Fool In Love With You	Jim Photoglo
Hurry Up And Wait	The Isley Brothers
America	Neil Diamond
Still Right Here In My Heart	Pure Prairie League
I've Been Waiting For You All Of My Life	Paul Anka
One More Chance	Diana Ross
Just So Lonely	Get Wet
Give A Little Bit More	Cliff Richard
Who Do You Think You're Foolin'	Donna Summer
Walking On Thin Ice	Yoko Ono
I Can Take Care Of Myself	Billy & The Beaters
Memories	Tierra
Heaven In Your Arms	Dan Hartman
Say What	Jesse Winchester
Make That Move	Shalamar
Seven Year Ache	Rosanne Cash
Is It You	Lee Ritenour
You Like Me Don't You	Jermaine Jackson
Shotgun Rider	Delbert McClinton
Lover	Michael Stanley Band
Lovers After All	Melissa Manchester & Peabo Bryson
Right Away	Hawks
The Tide Is High	Blondie
Fade Away	Bruce Springsteen
Games	Phoebe Snow
Guitar Man	Elvis Presley
96 Tears	Garland Jeffreys
