Centerfold	The J. Geils Band
I Can't Go For That (No Can Do)	Daryl Hall John Oates
Harden My Heart	Quarterflash
Open Arms	Journey
Turn Your Love Around	George Benson
Shake It Up	The Cars
The Sweetest Thing (I've Ever Known)	Juice Newton
Physical	Olivia Newton-John
Waiting For A Girl Like You	Foreigner
Sweet Dreams	Air Supply
Cool Night	Paul Davis
Leader Of The Band	Dan Fogelberg
Waiting On A Friend	The Rolling Stones
Take It Easy On Me	Little River Band
Hooked On Classics	Royal Philharmonic Orchestra
Leather And Lace	Stevie Nicks With Don Henley
You Could Have Been With Me	Sheena Easton
Through The Years	Kenny Rogers
Mirror, Mirror	Diana Ross
Love Is Alright Tonite	Rick Springfield
Love In The First Degree	Alabama
That Girl	Stevie Wonder
Somewhere Down The Road	Barry Manilow
Pac-Man Fever	Buckner & Garcia
Spirits In The Material World	The Police
Key Largo	Bertie Higgins
Let's Groove	Earth, Wind & Fire
Abacab	Genesis
Working For The Weekend	Loverboy
All Our Tomorrows	Eddie Schwartz
We Got The Beat	Go-Go's
Daddy's Home	Cliff Richard
Sea Of Love	Del Shannon
Tonight I'm Yours (Don't Hurt Me)	Rod Stewart
When All Is Said And Done	ABBA
Bobbie Sue	The Oak Ridge Boys
Should I Do It	The Pointer Sisters
Love Is Like A Rock	Donnie Iris
I Love Rock 'N Roll	Joan Jett & the Blackhearts
One Hundred Ways	Quincy Jones Featuring James Ingram
Comin' In And Out Of Your Life	Barbra Streisand
Call Me	Skyy
Crazy (Keep On Falling)	The John Hall Band
Chariots Of Fire - Titles	Vangelis
You're My Latest, My Greatest Inspiration	Teddy Pendergrass
Let's Get It Up	AC/DC
Let The Feeling Flow	Peabo Bryson
I Believe	Chilliwack
Do You Believe In Love	Huey Lewis & The News
Tell Me Tomorrow - Part I	Smokey Robinson
Wanna Be With You	Earth, Wind & Fire
Trouble	Lindsey Buckingham
If Looks Could Kill	Player
Take Off	Bob & Doug McKenzie
Circle Of Love	The Steve Miller Band
Come Go With Me	The Beach Boys
Genius Of Love	Tom Tom Club
867-5309/jenny	Tommy Tutone
Perhaps Love	Placido Domingo & John Denver
Just Can't Win 'em All	Stevie Woods
My Guy	Sister Sledge
Don't Let Him Know	Prism
I'll Fall In Love Again	Sammy Hagar
Anyone Can See	Irene Cara
Voice On The Radio	Conductor
Theme From Magnum P.i.	Mike Post
Tainted Love	Soft Cell
Another Sleepless Night	Anne Murray
Make A Move On Me	Olivia Newton-John
On The Way To The Sky	Neil Diamond
Here To Love You	The Doobie Brothers
Why You Wanna Try Me	Commodores
Juke Box Hero	Foreigner
(oh) Pretty Woman	Van Halen
Why Do Fools Fall In Love	Diana Ross
Only One You	T.G. Sheppard
Pop Goes The Movies Part I	Meco
Opposites Do Attract	All Sports Band
You Can	Madleen Kane
Natural Love	Petula Clark
Our Lips Are Sealed	Go-Go's
Someone Could Lose A Heart Tonight	Eddie Rabbitt
Young Turks	Rod Stewart
She's Got A Way	Billy Joel
Nobody Said It Was Easy (Lookin' For The Lights)	LeRoux
Mama Used To Say	Junior
Find Another Fool	Quarterflash
Apache	Sugarhill Gang
Steppin' Out	Kool & The Gang
Goin' Down	Greg Guidry
Cool (Part 1)	The Time
I Wouldn't Have Missed It For The World	Ronnie Milsap
Be Mine (Tonight)	Grover Washington, Jr.
Yesterday's Songs	Neil Diamond
Keeping Our Love Alive	Henry Paul Band
Power Play	Molly Hatchet
Under Pressure	Queen & David Bowie
Start It All Over	McGuffey Lane
Tonight Tonight	Bill Champlin
Don't Stop Believin'	Journey
