Don't You Want Me	The Human League
Rosanna	Toto
Ebony And Ivory	Paul McCartney And Stevie Wonder
Heat Of The Moment	Asia
Hurts So Good	John Cougar
Always On My Mind	Willie Nelson
Let It Whip	Dazz Band
Love's Been A Little Bit Hard On Me	Juice Newton
Eye Of The Tiger	Survivor
Caught Up In You	38 Special
Tainted Love	Soft Cell
Crimson And Clover	Joan Jett & the Blackhearts
Only The Lonely	The Motels
The Other Woman	Ray Parker Jr.
Any Day Now	Ronnie Milsap
Do I Do	Stevie Wonder
Play The Game Tonight	Kansas
Take Me Down	Alabama
Abracadabra	The Steve Miller Band
Keep The Fire Burnin'	REO Speedwagon
What Kind Of Fool Am I	Rick Springfield
Hold Me	Fleetwood Mac
Forget Me Nots	Patrice Rushen
Still They Ride	Journey
Personally	Karla Bonoff
Break It Up	Foreigner
Even The Nights Are Better	Air Supply
Body Language	Queen
Wasted On The Way	Crosby, Stills & Nash
Going To A Go-Go	The Rolling Stones
Early In The Morning	The Gap Band
After The Glitter Fades	Stevie Nicks
This Man Is Mine	Heart
Hard To Say I'm Sorry	Chicago
Be Mine Tonight	Neil Diamond
Hope You Love Me Like You Say You Do	Huey Lewis & The News
Island Of Lost Souls	Blondie
Dancing In The Street	Van Halen
Hooked On Swing	Larry Elgart And His Manhattan Swing Orchestra
Angel In Blue	The J. Geils Band
If The Love Fits Wear It	Leslie Pearl
You Should Hear How She Talks About You	Melissa Manchester
Kids In America	Kim Wilde
Out Of Work	Gary U.S. Bonds
Nice Girls	Eye To Eye
Love Plus One	Haircut One Hundred
I Found Somebody	Glenn Frey
Paperlate	Genesis
Your Imagination	Daryl Hall John Oates
Making Love	Roberta Flack
I'll Find My Way Home	Jon & Vangelis
Landslide	Olivia Newton-John
If You Want My Love	Cheap Trick
It's Gonna Take A Miracle	Deniece Williams
Love Will Turn You Around	Kenny Rogers
Right Kind Of Love	Quarterflash
American Music	The Pointer Sisters
Route 101	Herb Alpert
What Do All The People Know	The Monroes
Street Corner	Ashford & Simpson
Hooked On Big Bands	The Frank Barber Orch.
I Want Candy	Bow Wow Wow
Cutie Pie	One Way
(Sittin' On) The Dock Of The Bay	The Reddings
Love Is In Control (Finger On The Trigger)	Donna Summer
Think I'm In Love	Eddie Money
Vacation	Go-Go's
Don't Talk To Strangers	Rick Springfield
867-5309/jenny	Tommy Tutone
Happy Hour	Deodato
I Really Don't Need No Light	Jeffrey Osborne
I've Never Been To Me	Charlene
Man On Your Mind	Little River Band
To Dream The Dream	Frankie Miller
Without You (Not Another Lonely Night)	Franke & The Knockouts
Loveline	Dr. Hook
Hot In The City	Billy Idol
Dance Wit' Me - Part 1	Rick James
Empty Garden (Hey Hey Johnny)	Elton John
Soup For One	Chic
Don't Talk	Larry Lee
No One Like You	Scorpions
And I Am Telling You I'm Not Going	Jennifer Holliday
When It's Over	Loverboy
Eye In The Sky	The Alan Parsons Project
Too Good To Turn Back Now	Rick Bowles
Words	Missing Persons
Stone Cold	Rainbow
Just Another Day In Paradise	Bertie Higgins
Enough Is Enough	April Wine
Friends In Love	Dionne Warwick & Johnny Mathis
When He Shines	Sheena Easton
Fantasy	Aldo Nova
So Fine	The Oak Ridge Boys
'65 Love Affair	Paul Davis
Dreamin'	John Schneider
Happy Man	Greg Kihn Band
Did It In A Minute	Daryl Hall John Oates
Run For The Roses	Dan Fogelberg
I Don't Know Where To Start	Eddie Rabbitt
