Eye Of The Tiger	Survivor
Hurts So Good	John Cougar
Abracadabra	The Steve Miller Band
Hold Me	Fleetwood Mac
Hard To Say I'm Sorry	Chicago
Even The Nights Are Better	Air Supply
Keep The Fire Burnin'	REO Speedwagon
Rosanna	Toto
Vacation	Go-Go's
Wasted On The Way	Crosby, Stills & Nash
Only The Lonely	The Motels
Take It Away	Paul McCartney
You Should Hear How She Talks About You	Melissa Manchester
Love Is In Control (Finger On The Trigger)	Donna Summer
Don't You Want Me	The Human League
Let It Whip	Dazz Band
Tainted Love	Soft Cell
Love Will Turn You Around	Kenny Rogers
Personally	Karla Bonoff
American Music	The Pointer Sisters
Think I'm In Love	Eddie Money
Out Of Work	Gary U.S. Bonds
Eye In The Sky	The Alan Parsons Project
Who Can It Be Now?	Men At Work
Kids In America	Kim Wilde
And I Am Telling You I'm Not Going	Jennifer Holliday
Jack & Diane	John Cougar
If The Love Fits Wear It	Leslie Pearl
Love's Been A Little Bit Hard On Me	Juice Newton
Do I Do	Stevie Wonder
I Found Somebody	Glenn Frey
Paperlate	Genesis
Your Imagination	Daryl Hall John Oates
Hot In The City	Billy Idol
Only Time Will Tell	Asia
What Kind Of Fool Am I	Rick Springfield
Route 101	Herb Alpert
Blue Eyes	Elton John
I Really Don't Need No Light	Jeffrey Osborne
Someday, Someway	Marshall Crenshaw
Somebody's Baby	Jackson Browne
Let Me Go	Ray Parker Jr.
You Can Do Magic	America
Words	Missing Persons
Love Or Let Me Be Lonely	Paul Davis
Valley Girl	Frank Zappa
Let Me Tickle Your Fancy	Jermaine Jackson
Do You Wanna Touch Me (Oh Yeah)	Joan Jett & the Blackhearts
I Ran (So Far Away)	A Flock Of Seagulls
Enough Is Enough	April Wine
Gloria	Laura Branigan
Caught Up In You	38 Special
I'm The One	Roberta Flack
Love Plus One	Haircut One Hundred
I Keep Forgettin' (Every Time You're Near)	Michael McDonald
What's Forever For	Michael Murphey
Still They Ride	Journey
Early In The Morning	The Gap Band
Planet Rock	Afrika Bambaataa & The Soul Sonic Force
Never Been In Love	Randy Meisner
Should I Stay Or Should I Go	The Clash
She Got The Goldmine (i Got The Shaft)	Jerry Reed
Hot Fun In The Summertime	Dayton
Now Or Never	Axe
Foolin' Yourself	Aldo Nova
Oh Julie	Barry Manilow
Make Believe	Toto
Calling All Girls	Queen
Themes From E.T. (The Extra-Terrestrial)	Walter Murphy
Sara	Bill Champlin
I Will Always Love You	Dolly Parton
Hold On	Santana
Workin' For A Livin'	Huey Lewis & The News
Why	Carly Simon
Luanne	Foreigner
Still In The Game	Steve Winwood
I Only Want To Be With You	Nicolette Larson
Emotions In Motion	Billy Squier
How Can I Live Without Her	Christopher Atkins
Younger Days	Joe Fagin
Let It Be Me	Willie Nelson
Seasons Of The Heart	John Denver
Night Shift	Quarterflash
Your Daddy Don't Know	Toronto
You Dropped A Bomb On Me	The Gap Band
Going To A Go-Go	The Rolling Stones
Hooked On Swing	Larry Elgart And His Manhattan Swing Orchestra
Don't Run My Life	Spys
Holdin' On	Tane Cain
In The Driver's Seat	John Schneider
Nice Girls	Eye To Eye
Any Day Now	Ronnie Milsap
Take Me Down	Alabama
Mega Force	707
If You Want My Love	Cheap Trick
Play The Game Tonight	Kansas
Forget Me Nots	Patrice Rushen
Heat Of The Moment	Asia
Ebony And Ivory	Paul McCartney And Stevie Wonder
Loveline	Dr. Hook
