Truly	Lionel Richie
Gloria	Laura Branigan
Heart Attack	Olivia Newton-John
Up Where We Belong	Joe Cocker And Jennifer Warnes
Heartlight	Neil Diamond
Mickey	Toni Basil
Maneater	Daryl Hall John Oates
Steppin' Out	Joe Jackson
The Girl Is Mine	Michael Jackson And Paul McCartney
Muscles	Diana Ross
Dirty Laundry	Don Henley
Rock This Town	Stray Cats
Sexual Healing	Marvin Gaye
It's Raining Again	Supertramp Featuring Roger Hodgson
Nobody	Sylvia
Shadows Of The Night	Pat Benatar
American Heartbeat	Survivor
Southern Cross	Crosby, Stills & Nash
Heartbreaker	Dionne Warwick
Pressure	Billy Joel
Who Can It Be Now?	Men At Work
Jack & Diane	John Cougar
You Don't Want Me Anymore	Steel Breeze
Love Me Tomorrow	Chicago
The Look Of Love (Part One)	ABC
I.g.y. (what A Beautiful World)	Donald Fagen
Missing You	Dan Fogelberg
You And I	Eddie Rabbitt With Crystal Gayle
Rock The Casbah	The Clash
I'm So Excited	The Pointer Sisters
Down Under	Men At Work
Be My Lady	Jefferson Starship
Africa	Toto
You Can Do Magic	America
On The Wings Of Love	Jeffrey Osborne
Hand To Hold On To	John Cougar
What About Me	Moving Pictures
Everybody Wants You	Billy Squier
A Penny For Your Thoughts	Tavares
You Can't Hurry Love	Phil Collins
Shock The Monkey	Peter Gabriel
Destination Unknown	Missing Persons
Whatcha Gonna Do	Chilliwack
You Got Lucky	Tom Petty And The Heartbreakers
Baby, Come To Me	Patti Austin A Duet With James Ingram
I Keep Forgettin' (Every Time You're Near)	Michael McDonald
A Love Song	Kenny Rogers
Used To Be	Charlene & Stevie Wonder
Let's Go Dancin' (ooh La, La, La)	Kool & The Gang
I Do	The J. Geils Band
The Other Guy	Little River Band
Does It Make You Remember	Kim Carnes
1999	Prince
Two Less Lonely People In The World	Air Supply
Eye In The Sky	The Alan Parsons Project
Get Closer	Linda Ronstadt
Bad Boy/Having A Party	Luther Vandross
I Gotta Try	Michael McDonald
Heart To Heart	Kenny Loggins
Wake Up My Love	George Harrison
Goody Two Shoes	Adam Ant
Forever Mine	The Motels
Theme From Dynasty	Bill Conti
I Wouldn't Beg For Water	Sheena Easton
Space Age Love Song	A Flock Of Seagulls
(you're So Square) Baby, I Don't Care	Joni Mitchell
You've Got Another Thing Comin'	Judas Priest
I Know There's Something Going On	Frida
Memory	Barry Manilow
Valerie	Steve Winwood
Goodbye To You	Scandal Featuring Patty Smyth
Love In Store	Fleetwood Mac
Heart Of The Night	Juice Newton
Pledge Pin	Robert Plant
The One You Love	Glenn Frey
Allentown	Billy Joel
Put It In A Magazine	Sonny Charles
Right Before Your Eyes	America
Nowhere To Run	Santana
Twilight Zone	Golden Earring
Love Come Down	Evelyn King
Psychobabble	The Alan Parsons Project
New World Man	Rush
The Elvis Medley	Elvis Presley
Tough World	Donnie Iris
Break It To Me Gently	Juice Newton
Gypsy	Fleetwood Mac
Sweet Time	REO Speedwagon
Athena	The Who
Stand Or Fall	The Fixx
State Of Independence	Donna Summer
Somebody's Baby	Jackson Browne
Cool Magic	The Steve Miller Band
The Message	Grandmaster Flash
Shakin'	Eddie Money
I Ran (So Far Away)	A Flock Of Seagulls
What's Forever For	Michael Murphey
I Get Excited	Rick Springfield
Talk Talk	Talk Talk
I Need You	Paul Carrack
